batch=8V5_LONG300_REVIEWED
timeframe=5m

8V5_V51C_V087_hammer_outside_refire40 | verdict=baseline_fail | final_return_pct=8.7641 | max_return_pct=8.8505 | max_drawdown_pct=2.1033 | cd_value=106.4764 | trades=594
8V5_V51E_V092_quality_hold_rare22_c1 | verdict=baseline_fail | final_return_pct=10.3072 | max_return_pct=10.5746 | max_drawdown_pct=3.5447 | cd_value=106.3972 | trades=969
8V5_V51E_V027_lowanchor_refire40 | verdict=baseline_fail | final_return_pct=8.1901 | max_return_pct=8.5430 | max_drawdown_pct=2.2069 | cd_value=105.8024 | trades=620
8V5_V51E_V037_shocklow_refire40 | verdict=baseline_fail | final_return_pct=8.1707 | max_return_pct=8.4989 | max_drawdown_pct=2.2222 | cd_value=105.7670 | trades=620
8V5_V51E_V017_strict_refire40 | verdict=baseline_fail | final_return_pct=7.9337 | max_return_pct=8.2071 | max_drawdown_pct=2.0564 | cd_value=105.7142 | trades=620
8V5_V51E_V028_lowanchor_softscore | verdict=baseline_fail | final_return_pct=9.1718 | max_return_pct=12.7336 | max_drawdown_pct=3.5395 | cd_value=105.3076 | trades=960
8V5_V51P_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=7.3237 | max_return_pct=7.8319 | max_drawdown_pct=1.9054 | cd_value=105.2788 | trades=620
8V5_V51E_V038_shocklow_softscore | verdict=baseline_fail | final_return_pct=9.1761 | max_return_pct=12.8330 | max_drawdown_pct=3.6171 | cd_value=105.2271 | trades=960
8V5_V51E_V018_strict_softscore | verdict=baseline_fail | final_return_pct=8.9297 | max_return_pct=12.3049 | max_drawdown_pct=3.4251 | cd_value=105.1988 | trades=960
8V5_V51E_V062_spring_rare22_c1 | verdict=baseline_fail | final_return_pct=7.3055 | max_return_pct=7.6997 | max_drawdown_pct=2.2064 | cd_value=104.9380 | trades=624
8V5_V51E_V067_spring_refire40 | verdict=baseline_fail | final_return_pct=7.1646 | max_return_pct=7.5223 | max_drawdown_pct=2.2064 | cd_value=104.8002 | trades=620
8V5_V51C_V099_quality_hold_microguard | verdict=baseline_fail | final_return_pct=7.8171 | max_return_pct=10.9874 | max_drawdown_pct=3.2258 | cd_value=104.3392 | trades=954
8V5_V51C_V092_quality_hold_rare22_c1 | verdict=baseline_fail | final_return_pct=7.4310 | max_return_pct=10.3912 | max_drawdown_pct=3.0123 | cd_value=104.1949 | trades=955
8V5_V51E_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=6.6477 | max_return_pct=6.8720 | max_drawdown_pct=2.3517 | cd_value=104.1396 | trades=620
8V5_V51P_V099_quality_hold_microguard | verdict=baseline_fail | final_return_pct=5.5799 | max_return_pct=6.2373 | max_drawdown_pct=1.9936 | cd_value=103.4751 | trades=522
8V5_V51E_V032_shocklow_rare22_c1 | verdict=mdd_fail | final_return_pct=15.2488 | max_return_pct=22.5174 | max_drawdown_pct=10.4266 | cd_value=103.2323 | trades=2130
8V5_V51C_V097_quality_hold_refire40 | verdict=baseline_fail | final_return_pct=4.8763 | max_return_pct=6.8663 | max_drawdown_pct=1.9155 | cd_value=102.8674 | trades=614
8V5_V51E_V068_spring_softscore | verdict=baseline_fail | final_return_pct=5.1129 | max_return_pct=7.7010 | max_drawdown_pct=2.4030 | cd_value=102.5871 | trades=619
8V5_V51E_V098_quality_hold_softscore | verdict=baseline_fail | final_return_pct=6.3184 | max_return_pct=9.9228 | max_drawdown_pct=3.7757 | cd_value=102.3042 | trades=960
8V5_V51P_V004_core_vol18 | verdict=baseline_fail | final_return_pct=2.7206 | max_return_pct=2.7637 | max_drawdown_pct=0.7261 | cd_value=101.9747 | trades=199
8V5_V51P_V034_shocklow_vol18 | verdict=baseline_fail | final_return_pct=2.7139 | max_return_pct=2.7409 | max_drawdown_pct=0.7739 | cd_value=101.9190 | trades=199
8V5_V51C_V049_prevhigh_microguard | verdict=baseline_fail | final_return_pct=1.4634 | max_return_pct=1.6404 | max_drawdown_pct=0.1741 | cd_value=101.2868 | trades=53
8V5_V51C_V042_prevhigh_rare22_c1 | verdict=baseline_fail | final_return_pct=1.3458 | max_return_pct=1.4646 | max_drawdown_pct=0.1361 | cd_value=101.2079 | trades=49
8V5_V51P_V042_prevhigh_rare22_c1 | verdict=baseline_fail | final_return_pct=0.7388 | max_return_pct=0.7703 | max_drawdown_pct=0.0717 | cd_value=100.6665 | trades=17
8V5_V51E_V031_shocklow_base | verdict=baseline_fail | final_return_pct=1.3527 | max_return_pct=1.4501 | max_drawdown_pct=0.6841 | cd_value=100.6593 | trades=181
8V5_V51P_V041_prevhigh_base | verdict=baseline_fail | final_return_pct=0.7169 | max_return_pct=0.7483 | max_drawdown_pct=0.0717 | cd_value=100.6446 | trades=17
8V5_V51P_V024_lowanchor_vol18 | verdict=baseline_fail | final_return_pct=1.0253 | max_return_pct=1.0253 | max_drawdown_pct=0.3970 | cd_value=100.6243 | trades=78
8V5_V51P_V014_strict_vol18 | verdict=baseline_fail | final_return_pct=1.0252 | max_return_pct=1.0252 | max_drawdown_pct=0.4093 | cd_value=100.6117 | trades=78
8V5_V51E_V034_shocklow_vol18 | verdict=baseline_fail | final_return_pct=1.3596 | max_return_pct=1.4570 | max_drawdown_pct=0.7494 | cd_value=100.5999 | trades=181
8V5_V51E_V094_quality_hold_vol18 | verdict=baseline_fail | final_return_pct=0.9514 | max_return_pct=0.9514 | max_drawdown_pct=0.3764 | cd_value=100.5715 | trades=72
8V5_V51E_V091_quality_hold_base | verdict=baseline_fail | final_return_pct=0.9140 | max_return_pct=0.9140 | max_drawdown_pct=0.3693 | cd_value=100.5414 | trades=72
8V5_V51E_V048_prevhigh_softscore | verdict=baseline_fail | final_return_pct=0.5882 | max_return_pct=0.6218 | max_drawdown_pct=0.0558 | cd_value=100.5321 | trades=15
8V5_V51E_V042_prevhigh_rare22_c1 | verdict=baseline_fail | final_return_pct=0.6839 | max_return_pct=0.7855 | max_drawdown_pct=0.1755 | cd_value=100.5071 | trades=42
8V5_V51E_V044_prevhigh_vol18 | verdict=baseline_fail | final_return_pct=0.5517 | max_return_pct=0.5765 | max_drawdown_pct=0.0697 | cd_value=100.4816 | trades=10
8V5_V51E_V001_core_base | verdict=baseline_fail | final_return_pct=1.1207 | max_return_pct=1.2180 | max_drawdown_pct=0.6487 | cd_value=100.4647 | trades=181
8V5_V51E_V004_core_vol18 | verdict=baseline_fail | final_return_pct=1.1067 | max_return_pct=1.2040 | max_drawdown_pct=0.6373 | cd_value=100.4623 | trades=181
8V5_V51C_V041_prevhigh_base | verdict=baseline_fail | final_return_pct=0.5642 | max_return_pct=0.6673 | max_drawdown_pct=0.1032 | cd_value=100.4604 | trades=16
8V5_V51E_V041_prevhigh_base | verdict=baseline_fail | final_return_pct=0.5202 | max_return_pct=0.5450 | max_drawdown_pct=0.0697 | cd_value=100.4501 | trades=10
8V5_V51P_V044_prevhigh_vol18 | verdict=baseline_fail | final_return_pct=0.4237 | max_return_pct=0.4379 | max_drawdown_pct=0.0142 | cd_value=100.4095 | trades=4
8V5_V51E_V002_core_rare22_c1 | verdict=baseline_fail | final_return_pct=1.0325 | max_return_pct=1.1297 | max_drawdown_pct=0.6449 | cd_value=100.3809 | trades=179
8V5_V51P_V047_prevhigh_refire40 | verdict=baseline_fail | final_return_pct=0.3721 | max_return_pct=0.3893 | max_drawdown_pct=0.0521 | cd_value=100.3198 | trades=7
8V5_V51C_V029_lowanchor_microguard | verdict=baseline_fail | final_return_pct=0.5560 | max_return_pct=0.5560 | max_drawdown_pct=0.2543 | cd_value=100.3003 | trades=41
8V5_V51P_V057_extreme_refire40 | verdict=baseline_fail | final_return_pct=0.3388 | max_return_pct=0.3546 | max_drawdown_pct=0.0478 | cd_value=100.2908 | trades=7
8V5_V51P_V094_quality_hold_vol18 | verdict=baseline_fail | final_return_pct=0.7014 | max_return_pct=0.7014 | max_drawdown_pct=0.4086 | cd_value=100.2899 | trades=72
8V5_V51P_V049_prevhigh_microguard | verdict=baseline_fail | final_return_pct=0.3033 | max_return_pct=0.3366 | max_drawdown_pct=0.0331 | cd_value=100.2701 | trades=5
8V5_V51P_V052_extreme_rare22_c1 | verdict=baseline_fail | final_return_pct=0.3082 | max_return_pct=0.3546 | max_drawdown_pct=0.0478 | cd_value=100.2602 | trades=8
8V5_V51P_V051_extreme_base | verdict=baseline_fail | final_return_pct=0.2993 | max_return_pct=0.3456 | max_drawdown_pct=0.0478 | cd_value=100.2513 | trades=8
8V5_V51P_V059_extreme_microguard | verdict=baseline_fail | final_return_pct=0.2759 | max_return_pct=0.3065 | max_drawdown_pct=0.0305 | cd_value=100.2454 | trades=5
8V5_V51C_V022_lowanchor_rare22_c1 | verdict=baseline_fail | final_return_pct=0.4702 | max_return_pct=0.4702 | max_drawdown_pct=0.2250 | cd_value=100.2442 | trades=39
8V5_V51E_V024_lowanchor_vol18 | verdict=baseline_fail | final_return_pct=0.6443 | max_return_pct=0.6443 | max_drawdown_pct=0.4000 | cd_value=100.2417 | trades=72
8V5_V51E_V014_strict_vol18 | verdict=baseline_fail | final_return_pct=0.6392 | max_return_pct=0.6392 | max_drawdown_pct=0.4058 | cd_value=100.2308 | trades=72
8V5_V51P_V084_hammer_outside_vol18 | verdict=baseline_fail | final_return_pct=0.3724 | max_return_pct=0.4146 | max_drawdown_pct=0.1451 | cd_value=100.2267 | trades=22
8V5_V51C_V052_extreme_rare22_c1 | verdict=baseline_fail | final_return_pct=0.2465 | max_return_pct=0.2898 | max_drawdown_pct=0.0447 | cd_value=100.2018 | trades=8
