period,trades,win_rate_pct,avg_net_ret_pct_1x,med_net_ret_pct_1x,profit_factor_1x,avg_mae_pct,p95_mae_pct,mae_gt_10_pct,max_concurrent_period_na
2020Q1,1,100.0,1.024294478527605,1.024294478527605,inf,0.49079754601227127,0.49079754601227127,0.0,not_computed
2020Q3,2,50.0,-0.602695183722457,-0.602695183722457,0.713206525615901,5.564549708689279,6.845763146969563,0.0,not_computed
2020Q4,5,20.0,-4.1172441395706585,-3.2430170316301754,0.3201455574155048,9.840680720018678,17.78725761118904,40.0,not_computed
2021Q1,3,66.66666666666666,0.861513801608203,1.0012696198116557,1.3982542626191914,7.011204834167908,13.401123889672219,33.33333333333333,not_computed
2021Q2,15,26.666666666666668,-0.10191602971164296,-2.211147540983613,0.9677010751388003,7.929307285909061,15.409198990326656,20.0,not_computed
2021Q3,9,11.11111111111111,-3.828520535611337,-2.9009471901009065,0.04339168048539197,6.686865122050715,11.985610214823954,22.22222222222222,not_computed
2021Q4,13,84.61538461538461,0.310243535960486,1.7917642373556306,1.1789036382737534,4.445768229100324,17.209891995664492,7.6923076923076925,not_computed
2022Q1,6,50.0,-0.7177101709595428,-0.38139270141506526,0.6139180959029579,2.79568664954224,6.651683882986194,0.0,not_computed
2022Q2,27,77.77777777777779,2.8913529373876536,2.4411267605633715,9.11070851542719,3.44396363293729,6.79708102800887,3.7037037037037033,not_computed
2022Q3,6,50.0,-0.13959775742943897,-0.1055246429104619,0.8948255504416894,3.930669580784478,6.882282283859217,0.0,not_computed
2022Q4,14,64.28571428571429,0.08139266951433458,1.1053087102734809,1.0401989109396033,4.209278039348535,12.029313735834144,14.285714285714285,not_computed
2023Q1,11,45.45454545454545,0.06770288840113037,-0.02244328265143116,1.1166420037353406,2.3647813998508194,4.67277079650906,0.0,not_computed
2023Q2,6,50.0,-1.4072342055140996,-0.7740966862146968,0.2816616778581856,2.5718984899354562,6.490552671343711,0.0,not_computed
2023Q3,6,50.0,-1.961778551324796,-0.737948162685252,0.3524307624714135,4.349310380875724,11.332664343130114,16.666666666666664,not_computed
2023Q4,24,62.5,1.5709628977178614,0.5132978137052386,3.788743401453161,3.013615301130528,8.025470188760483,0.0,not_computed
2024Q1,24,58.333333333333336,1.0990242592057557,0.8438565877192814,1.960008319604557,3.9086982816947855,7.547469675771922,4.166666666666666,not_computed
2024Q2,25,56.00000000000001,0.7746500365471488,0.9275171305616684,1.7992986870881915,3.0238991908795247,10.00206973325746,8.0,not_computed
2024Q3,15,66.66666666666666,0.7981391815869192,0.8701187648456,3.5770800747708646,2.4416389515400314,5.7786209928125105,0.0,not_computed
2024Q4,19,84.21052631578947,3.1745377772360457,2.6910228604789093,27.90937144992916,1.7321601262731277,4.881249172230577,0.0,not_computed
2025Q1,22,54.54545454545454,1.9763684790685305,0.2245882662399571,3.485003804258532,2.682052303344058,6.287438241820849,4.545454545454546,not_computed
2025Q2,17,52.94117647058824,0.8665712513062561,0.26482758620689684,1.4451586989448253,6.016957805491246,19.273128896581017,17.647058823529413,not_computed
2025Q3,30,33.33333333333333,-0.008250510865143109,-0.5590769424669378,0.9954981722322019,5.2550842689253665,14.048022737483006,16.666666666666664,not_computed
2025Q4,46,47.82608695652174,0.35142010085320935,-0.10208805772345836,1.1497966017765968,5.546033878454132,12.662012044831496,13.043478260869565,not_computed
2026Q1,2,0.0,-9.197643039277903,-9.197643039277903,0.0,12.873975093194819,16.250176665647025,50.0,not_computed
