atr_pct_max,atr_pct_min,atr_stop_mult,close_position_max,close_position_min,dd_brake_freeze_steps,dd_brake_trigger_pct,fail_fast_bars,fail_fast_min_progress_r,range20_pct_max,require_ema_reject,require_upper_sweep,ret10_ceil,ret20_ceil,ret3_ceil,ret5_ceil,rr_mult,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,upper_body_ratio_max,upper_body_ratio_min
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,RETEST_smx2v2_combo08_stop253_rr5025_t320,v3_highperf_embedded_gate_retest,3,0.0,320,999.0,0.0
999.0,0.0,2.5,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_01_stop250_rr505,stop250_rr505,3,0.0,320,999.0,0.0
999.0,0.0,2.56,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_02_stop256_rr505,stop256_rr505,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.15,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_03_stop253_rr515,stop253_rr515,3,0.0,320,999.0,0.0
999.0,0.0,2.58,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.1,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_04_stop258_rr510_t340,stop258_rr510_t340,3,0.0,340,999.0,0.0
999.0,0.0,2.48,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_05_stop248_rr500_t300,stop248_rr500_t300,3,0.0,300,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_06_score237,score237,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.4,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_07_score240,score240,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.3,SMX2V2_C08_EX20_08_dev033,dev033,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.35,SMX2V2_C08_EX20_09_dev033_wick135,dev033_wick135,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.38,2.0,0.8,2.5,0.7,0.032,77.0,1.3,SMX2V2_C08_EX20_10_rsi77_score238,rsi77_score238,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.36,2.0,0.8,2.5,0.7,0.032,76.0,1.32,SMX2V2_C08_EX20_11_wick132_score236,wick132_score236,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.35,SMX2V2_C08_EX20_12_wick135_score237,wick135_score237,3,0.0,320,999.0,0.0
999.0,0.0,2.53,0.95,-999.0,4,0.035,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_13_closepos095,closepos095,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,False,True,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_14_upper_sweep,upper_sweep,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,4,0.035,12,0.1,999.0,True,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_15_ema_reject,ema_reject,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,5,0.032,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_16_dd032_freeze5,dd032_freeze5,3,0.0,320,999.0,0.0
999.0,0.0,2.53,999.0,-999.0,6,0.03,12,0.1,999.0,False,False,999.0,999.0,999.0,999.0,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_EX20_17_dd030_freeze6,dd030_freeze6,3,0.0,320,999.0,0.0
