experiment_name,side,symbol,entry_time,exit_time,entry_price,exit_price,stop_price,target_price_initial,duration_bars,score,score_detail,atr,risk_multiple,pnl_pct_raw,risk_alloc_frac,exit_reason
2V2_L03_expansion_followthrough,long_only,TRX,2024-01-01 05:05:00,2024-01-01 05:05:00,0.1089899986982345,0.1088001032534521,0.1088001032534521,0.1093318104988429,0,2.0,trend+vol+close_high,0.0001494711323175,-1.0,-0.0017423199105472,0.0025,stop
2V2_L03_expansion_followthrough,long_only,BTC,2024-01-01 05:10:00,2024-01-01 05:25:00,42625.80078125,42691.141705474845,42589.50026779175,42691.141705474845,3,2.5,trend+expansion+vol,52.498661041259766,1.79999999999992,0.0015328961105074,0.0025,target
2V2_L03_expansion_followthrough,long_only,SOL,2024-01-01 05:10:00,2024-01-01 05:15:00,103.69400024414062,104.03459232687948,103.5047824203968,104.03459232687948,1,2.0,trend+expansion,0.3710997998714447,1.79999999999997,0.0032845881337103,0.0025,target
2V2_L03_expansion_followthrough,long_only,TRX,2024-01-01 05:10:00,2024-01-01 05:15:00,0.1088000014424324,0.1090016897249734,0.1086879523965762,0.1090016897249734,1,2.5,trend+expansion+vol,0.0001602235570317,1.8000000000000496,0.0018537525723078,0.0025,target
2V2_L03_expansion_followthrough,long_only,ADA,2024-01-01 05:15:00,2024-01-01 05:45:00,0.6011999845504761,0.5980974966892972,0.5980974966892972,0.6067844627005979,6,2.0,expansion+vol+close_high,0.0015125003410503,-1.0,-0.0051604922503426,0.0025,stop
2V2_L03_expansion_followthrough,long_only,TRX,2024-01-01 05:15:00,2024-01-01 06:05:00,0.1089399978518486,0.1090156105349888,0.1086879555747145,0.1093936739506898,10,2.0,trend+vol+close_high,0.0001602076663402,0.2999999999999779,0.0006940764148263,0.0025,time_reduce
2V2_L03_expansion_followthrough,long_only,SOL,2024-01-01 05:20:00,2024-01-01 06:15:00,104.49199676513672,104.77593399345876,103.54553933739662,106.19562013506888,11,3.0,trend+expansion+vol+close_high,0.3923060595989227,0.3000000000000015,0.0027173107712758,0.0025,time_reduce
2V2_L03_expansion_followthrough,long_only,BTC,2024-01-01 05:30:00,2024-01-01 05:30:00,42627.19921875,42589.61584167481,42589.61584167481,42694.84929748534,0,2.5,trend+expansion+vol,54.92860412597656,-1.0,-0.0008816759666129,0.0025,stop
2V2_L03_expansion_followthrough,long_only,BTC,2024-01-01 05:35:00,2024-01-01 05:45:00,42590.80078125,42559.491830444334,42559.491830444334,42647.1568927002,2,2.5,trend+expansion+vol,57.54084777832031,-1.0,-0.0007351106396536,0.0025,stop
2V2_L03_expansion_followthrough,long_only,BNB,2024-01-01 05:40:00,2024-01-01 06:30:00,311.5899963378906,312.7262762069702,307.802396774292,318.4076755523682,10,2.0,expansion+vol+close_high,1.038064956665039,0.300000000000003,0.0036467148574545,0.0025,time_reduce
2V2_L03_expansion_followthrough,long_only,BTC,2024-01-01 05:50:00,2024-01-01 06:40:00,42609.1015625,42632.2468586731,42531.95057525635,42747.97333953857,10,2.0,trend+vol+close_high,56.75102996826172,0.3000000000000283,0.0005432007558091,0.0025,time_reduce
2V2_L03_expansion_followthrough,long_only,ADA,2024-01-01 05:55:00,2024-01-01 06:15:00,0.5995000004768372,0.6040744100930169,0.5969586618011817,0.6040744100930169,4,2.0,expansion+vol+close_high,0.0017066561849787,1.7999999999999825,0.0076303746664575,0.0025,target
2V2_L03_expansion_followthrough,long_only,AVAX,2024-01-01 05:55:00,2024-01-01 07:00:00,39.54399871826172,39.20571068227291,39.20571068227291,40.15291718304158,13,2.0,expansion+vol+close_high,0.1664386540651321,-1.0,-0.0085547250392911,0.0025,stop
2V2_L03_expansion_followthrough,long_only,SOL,2024-01-01 06:20:00,2024-01-01 06:50:00,105.06999969482422,104.48151746988296,104.48151746988296,106.12926769971848,6,2.0,trend+breakout+vol,0.3924004435539245,-1.0,-0.0056008587289474,0.0025,stop
2V2_L03_expansion_followthrough,long_only,ADA,2024-01-01 06:35:00,2024-01-01 06:45:00,0.6047999858856201,0.6031901377718896,0.6031901377718896,0.6076977124903351,2,2.0,trend+breakout+close_high,0.0015493540558964,-1.0,-0.002661785964451,0.0025,stop
2V2_L03_expansion_followthrough,long_only,BTC,2024-01-01 06:40:00,2024-01-01 06:50:00,42654.0,42581.32630386353,42581.32630386353,42784.81265304565,2,2.0,trend+vol+close_high,51.86457443237305,-1.0,-0.0017037955675076,0.0025,stop
2V2_L03_expansion_followthrough,long_only,SOL,2024-01-01 06:55:00,2024-01-01 07:15:00,103.90399932861328,103.11012197732926,103.11012197732926,105.33297856092452,4,2.5,trend+expansion+vol,0.4393803477287292,-1.0,-0.0076404888783275,0.0025,stop
