run_tag,experiment_name,side,family,run_mode,date_from,symbols_selected,symbols_scanned,symbols_with_trade,runtime_sec,final_return_pct,mdd_pct,cd_value,pf,win_rate_pct,trades,max_conc,baseline_name,delta_cd_value_vs_baseline,code_path,result_path,summary_file,verdict
1V2_FAST,1V2_L01_mirror_exact,long_only,behavioral_mirror_from_short_top,FAST,2024-01-01,10,10,10,125.976,-3.384573,-3.384573,93.345406,0.083333,62.5,40,13,long_hybrid_wick_bridge_halfhalf,-15.465194,run_1V2_batch.py,local_results\1V2\FAST\1V2_L01_mirror_exact,local_results\1V2\FAST\1V2_L01_mirror_exact\summary.json,candidate_under_mdd5
1V2_FAST,1V2_L02_mirror_capped,long_only,behavioral_mirror_plus_long_caps,FAST,2024-01-01,10,10,9,157.986,-0.509672,-0.748127,98.746015,0.32,72.727273,11,7,long_hybrid_wick_bridge_halfhalf,-10.064585,run_1V2_batch.py,local_results\1V2\FAST\1V2_L02_mirror_capped,local_results\1V2\FAST\1V2_L02_mirror_capped\summary.json,candidate_under_mdd5
1V2_FAST,1V2_S01_ddbrake_cap,short_only,short_top_risk_diet,FAST,2024-01-01,10,10,5,217.542,-0.946745,-0.971504,98.090949,0.05,50.0,8,1,short_beh_dd_brake,-293.869651,run_1V2_batch.py,local_results\1V2\FAST\1V2_S01_ddbrake_cap,local_results\1V2\FAST\1V2_S01_ddbrake_cap\summary.json,candidate_under_mdd5
1V2_FAST,1V2_S02_fast_harvest,short_only,short_top_fast_harvest,FAST,2024-01-01,10,10,6,213.045,-0.897213,-0.976455,98.135092,0.1,55.555556,9,2,short_beh_dd_brake,-293.825508,run_1V2_batch.py,local_results\1V2\FAST\1V2_S02_fast_harvest,local_results\1V2\FAST\1V2_S02_fast_harvest\summary.json,candidate_under_mdd5
