rank_by_general_consistency,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v13_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v13,mdd_delta_vs_short_max_v13,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,active_months,positive_months,negative_months,positive_month_ratio_pct,monthly_net_pnl_total,avg_month_pnl,median_month_pnl,min_month_pnl,max_month_pnl,top1_month_pnl,top3_month_pnl,top6_month_pnl,top1_month_share_pct,top3_month_share_pct,top6_month_share_pct,abs_pnl_concentration_top3_pct,active_years,positive_years,negative_years,positive_year_ratio_pct,min_year_pnl,max_year_pnl,avg_trades_per_month,general_consistency_score,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
1,smv13_general_topcombo2_pre_q4_32_topcombo2_32_stop245_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53649,4158,49491,7.750377453447409,3566.4855917171863,3466.4855917171863,3566.4855917171863,3466.4855917171863,2.2774507674795497,3485.2606382365757,2.2589719429377744,306,306,1939,0,0,0,53649,53649,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.45,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3251.4952453310816,-0.9927188022328726,-3251.4952453310816,-0.9927188022328726,71,66,5,92.95774647887323,3466.485591717209,48.823740728411394,5.945933478870311,-0.5582377767188418,1038.7154843103856,1038.7154843103856,1842.4404115575362,2505.990335185359,29.964511803893934,53.150095761535766,72.29195878307272,53.12574729490339,7,7,0,100.0,0.051645742859481994,2860.8608255412373,755.6197183098592,1517.8524495398833,14.459,0.241,15.927,45
2,smv13_general_topcombo2_pre_q4_33_topcombo2_33_stop245_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53586,4139,49447,7.72403239652148,3573.04312342888,3473.04312342888,3573.04312342888,3473.04312342888,2.5230242412912163,3482.894379272981,2.269569277777492,306,306,1939,0,0,0,53586,53586,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.45,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3253.8615042946763,-0.747145328421206,-3253.8615042946763,-0.747145328421206,71,66,5,92.95774647887323,3473.0431234288653,48.91610032998402,5.964796327237126,-0.5582377767188418,1045.712575361102,1045.712575361102,1864.1165086431524,2521.6035406923293,30.109403718796646,53.67386589783394,72.60501672673736,53.64932368158579,7,7,0,100.0,0.051645742859481994,2876.1939237370602,754.7323943661971,1499.8642418507206,16.094,0.268,16.196,45
3,smv13_general_topcombo2_pre_q4_27_topcombo2_27_timeout360_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53692,4052,49640,7.546748118900395,3363.608124190966,3263.6081241909656,3363.608124190966,3263.6081241909656,2.447313297352771,3281.2900952968025,2.2153160433582384,306,306,2076,0,0,0,53692,53692,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,360,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3455.465788270855,-0.8228562723596511,-3455.465788270855,-0.8228562723596511,71,66,5,92.95774647887323,3263.608124190972,45.96631160832355,6.205676645066006,-0.6124508160133114,969.7322051851403,969.7322051851403,1725.9536554375484,2347.1957756167963,29.713500159444873,52.88483144297239,71.92027002931461,52.856049747365354,7,7,0,100.0,0.04959915591497822,2679.9203258547623,756.2253521126761,1437.1131508466656,14.999,0.25,14.673,45
4,smv13_general_topcombo2_pre_q4_28_topcombo2_28_timeout360_rr540,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53654,4035,49619,7.520408543631415,3325.2178002787828,3225.2178002787828,3325.2178002787828,3225.2178002787828,2.4473116703661146,3243.839356987469,2.2172174864220007,306,306,2076,0,0,0,53654,53654,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,360,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3492.9165265801885,-0.8228578993463076,-3492.9165265801885,-0.8228578993463076,71,66,5,92.95774647887323,3225.2178002787796,45.42560282082788,5.878266333128728,-0.6124508160133114,956.2781009613279,956.2781009613279,1713.7922300503562,2319.639757174991,29.65003172432788,53.13725571966707,71.92195692875337,53.10799201630464,7,7,0,100.0,0.04959915591497822,2650.4780431257595,755.6901408450705,1413.099174931958,15.135,0.252,14.926,45
5,smv13_general_topcombo2_pre_q4_21_topcombo2_21_tr2_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57165,3644,53521,6.3745298696755,3366.8221066142537,3266.8221066142537,3366.8221066142537,3266.8221066142537,2.2057665811230587,3292.557869740693,2.617606668669453,304,304,2148,0,0,0,57165,57165,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.6,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3444.198013826964,-1.0644029885893636,-3444.198013826964,-1.0644029885893636,71,66,5,92.95774647887323,3266.8221066142823,46.011578966398346,6.299861485778063,-0.6846900173458677,969.0210045944016,969.0210045944016,1758.5926393358982,2371.9507605258627,29.66249685382134,53.83190703207572,72.60728264705361,53.802344193940485,7,6,1,85.71428571428571,-0.005599865601791986,2671.511829934057,805.1408450704225,1413.0610953439855,15.504,0.258,13.23,45
6,smv13_general_topcombo2_pre_q4_23_topcombo2_23_tr2_rr560_dd040,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57165,3644,53521,6.3745298696755,3366.8221066142537,3266.8221066142537,3366.8221066142537,3266.8221066142537,2.2057665811230587,3292.557869740693,2.617606668669453,304,304,2148,0,0,0,57165,57165,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.6,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,False,False,True,True,True,-3444.198013826964,-1.0644029885893636,-3444.198013826964,-1.0644029885893636,71,66,5,92.95774647887323,3266.8221066142823,46.011578966398346,6.299861485778063,-0.6846900173458677,969.0210045944016,969.0210045944016,1758.5926393358982,2371.9507605258627,29.66249685382134,53.83190703207572,72.60728264705361,53.802344193940485,7,6,1,85.71428571428571,-0.005599865601791986,2671.511829934057,805.1408450704225,1413.0610953439855,13.727,0.229,13.689,45
7,smv13_general_topcombo2_pre_q4_01_topcombo2_01_control_stop240_timeout320_rr520,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53770,4169,49601,7.753394085921518,3319.030749664802,3219.030749664802,3319.030749664802,3219.030749664802,2.3712782752402295,3240.3272945494573,2.214092451393136,306,306,2076,0,0,0,53770,53770,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3496.4285890182,-0.8988912944721927,-3496.4285890182,-0.8988912944721927,71,66,5,92.95774647887323,3219.0307496648243,45.33846126288485,5.548363457385042,-0.6535341280495217,968.6547092547129,968.6547092547129,1708.9553105590842,2317.9928267982245,30.091502212446166,53.08912661791212,72.00903026600729,53.06020356658644,7,7,0,100.0,0.05237688825993247,2648.7204270453744,757.3239436619718,1413.0189445710953,20.091,0.335,8.229,45
8,smv13_general_topcombo2_pre_q4_11_topcombo2_11_rr520_dd030_freeze5,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53770,4169,49601,7.753394085921518,3319.030749664802,3219.030749664802,3319.030749664802,3219.030749664802,2.3712782752402295,3240.3272945494573,2.214092451393136,306,306,2076,0,0,0,53770,53770,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,False,False,True,True,True,-3496.4285890182,-0.8988912944721927,-3496.4285890182,-0.8988912944721927,71,66,5,92.95774647887323,3219.0307496648243,45.33846126288485,5.548363457385042,-0.6535341280495217,968.6547092547129,968.6547092547129,1708.9553105590842,2317.9928267982245,30.091502212446166,53.08912661791212,72.00903026600729,53.06020356658644,7,7,0,100.0,0.05237688825993247,2648.7204270453744,757.3239436619718,1413.0189445710953,14.463,0.241,10.733,45
9,smv13_general_topcombo2_pre_q4_12_topcombo2_12_rr520_dd030_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53770,4169,49601,7.753394085921518,3319.030749664802,3219.030749664802,3319.030749664802,3219.030749664802,2.3712782752402295,3240.3272945494573,2.214092451393136,306,306,2076,0,0,0,53770,53770,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,4,edge_current,False,False,True,True,True,-3496.4285890182,-0.8988912944721927,-3496.4285890182,-0.8988912944721927,71,66,5,92.95774647887323,3219.0307496648243,45.33846126288485,5.548363457385042,-0.6535341280495217,968.6547092547129,968.6547092547129,1708.9553105590842,2317.9928267982245,30.091502212446166,53.08912661791212,72.00903026600729,53.06020356658644,7,7,0,100.0,0.05237688825993247,2648.7204270453744,757.3239436619718,1413.0189445710953,14.427,0.24,10.974,45
10,smv13_general_topcombo2_pre_q4_13_topcombo2_13_rr520_dd040_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53770,4169,49601,7.753394085921518,3319.030749664802,3219.030749664802,3319.030749664802,3219.030749664802,2.3712782752402295,3240.3272945494573,2.214092451393136,306,306,2076,0,0,0,53770,53770,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.2,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,False,False,True,True,True,-3496.4285890182,-0.8988912944721927,-3496.4285890182,-0.8988912944721927,71,66,5,92.95774647887323,3219.0307496648243,45.33846126288485,5.548363457385042,-0.6535341280495217,968.6547092547129,968.6547092547129,1708.9553105590842,2317.9928267982245,30.091502212446166,53.08912661791212,72.00903026600729,53.06020356658644,7,7,0,100.0,0.05237688825993247,2648.7204270453744,757.3239436619718,1413.0189445710953,15.802,0.263,11.238,45
