side,trades,wins,losses,win_rate_pct,avg_pnl_decimal,sum_pnl_decimal,same_bar_trades
long,57035,20451,36584,35.85692995529061,0.002457231846478079,140.14821836387722,16744
short,36542,5020,31522,13.73761698867057,0.005055420871759444,184.7351894958336,3938
