symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side,plan_id
BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,4618,4619,4619,1569383400,1569383400,9068.78,9015.847843177138,-0.0066367450553284964,stop,99.99336325494467,0.01,0.0004,1
BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,12897,12898,12905,1571867100,1571869200,7470.58,7414.746403384711,-0.008273796762137442,stop,99.98509000729332,0.01,0.0004,2
BTC,short,short_main_v6_timeout210,13511,13512,13513,1572051300,1572051600,8260.03,8445.134799874291,-0.02271851335245065,stop,99.97728148664756,0.01,0.0004,57036
BTC,short,short_main_v6_timeout210,13512,13513,13514,1572051600,1572051900,8267.5,8466.004953454698,-0.024247299469591563,stop,99.95303969580392,0.01,0.0004,57037
BTC,short,short_main_v6_timeout210,13514,13515,13523,1572052200,1572054600,8354.94,8365.881457470368,-0.002107866663661339,stop,99.95093281900087,0.01,0.0004,57038
BTC,short,short_main_v6_timeout210,13631,13632,13842,1572087300,1572150300,9990.01,9002.06,0.10894710232991126,timeout,100.05982646405889,0.01,0.0004,57039
BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,21277,21278,21282,1574381100,1574382300,7500.97,7676.245780473135,0.022567081920489642,target,100.00765372446355,0.01,0.0004,3
ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5600,5601,5601,1576553400,1576553400,135.01,134.4130121913772,-0.005221804374659666,stop,100.00243152042638,0.01,0.0004,4
ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5901,5902,5909,1576643700,1576645800,122.39,121.51673995400212,-0.007935060429756313,stop,99.99449626705402,0.01,0.0004,5
BCH,short,short_main_v6_timeout210,7558,7559,7567,1579045800,1579048200,327.93,328.5696522383635,-0.0027467782067087435,stop,100.05707804255191,0.01,0.0004,57040
BCH,short,short_main_v6_timeout210,7572,7573,7586,1579050000,1579053900,341.28,342.0671413696795,-0.0031011311946763423,stop,100.05397514129226,0.01,0.0004,57041
XRP,short,short_main_v6_timeout210,2408,2409,2417,1579053900,1579056300,0.2411,0.24133749868687546,-0.0017840935957640128,stop,100.05219008472945,0.01,0.0004,57042
BCH,short,short_main_v6_timeout210,7661,7662,7662,1579076700,1579076700,350.81,358.9638354718651,-0.023514921855976676,stop,100.02866289041583,0.01,0.0004,57043
TRX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,207,208,209,1579170300,1579170600,0.01633,0.016148995064034874,-0.011884196936015145,stop,99.98261272419246,0.01,0.0004,6
ETC,short,short_main_v6_timeout210,252,253,262,1579269900,1579272600,9.22,9.233124597404936,-0.0022214686768794226,stop,100.02644078500182,0.01,0.0004,57044
ETC,short,short_main_v6_timeout210,265,266,267,1579273800,1579274100,9.814,10.11588041722317,-0.03064222873069875,stop,99.9957904542253,0.01,0.0004,57045
ETC,short,short_main_v6_timeout210,267,268,282,1579274400,1579278600,10.123,10.141367435079264,-0.0026111398878746243,stop,99.99317942425455,0.01,0.0004,57046
ETC,short,short_main_v6_timeout210,387,388,389,1579310400,1579310700,11.552,12.072285881016617,-0.04389754475204686,stop,99.94928487356779,0.01,0.0004,57047
ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,427,428,428,1579322400,1579322400,10.92,10.689638596535634,-0.021895366617615906,stop,99.96072116458262,0.01,0.0004,7
LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,141,142,163,1579323000,1579329300,2.628,2.685,0.02088949771689488,time,99.9816024571481,0.01,0.0004,8
ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,479,480,492,1579338000,1579341600,9.16,8.947460497471148,-0.0240030024594817,stop,99.95760387065128,0.01,0.0004,9
BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8589,8590,8596,1579355100,1579356900,358.4,353.5183076219075,-0.014420793465659698,stop,99.94318919104387,0.01,0.0004,10
LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,248,249,270,1579355100,1579361400,2.571,2.624,0.019814546868922502,time,99.96299248110843,0.01,0.0004,11
BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8720,8721,8730,1579394400,1579397100,341.18,335.82339270029695,-0.016500238289768075,stop,99.92906930034849,0.01,0.0004,13
ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,667,668,676,1579394400,1579396800,8.586,8.44314288117373,-0.017438378619411974,stop,99.94556055600027,0.01,0.0004,12
ETC,short,short_main_v6_timeout210,827,828,828,1579442400,1579442400,9.084,9.25072524206459,-0.018822937413216254,stop,99.93047148223108,0.01,0.0004,57048
BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8953,8954,8954,1579464300,1579464300,338.0,334.32311748443,-0.011678350637781087,stop,99.91739923324653,0.01,0.0004,14
BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,38221,38222,38222,1579464300,1579464300,8694.1,8636.233521645407,-0.007455833076982476,stop,99.90994955874483,0.01,0.0004,15
ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,900,901,901,1579464300,1579464300,8.612,8.477491367073892,-0.016418745114504005,stop,99.89354559878275,0.01,0.0004,16
ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,15303,15304,15304,1579464300,1579464300,168.38,167.07356586577865,-0.00855884389013748,stop,99.88499586615863,0.01,0.0004,17
