axis,strategy,parent,side,kind,tag,verdict,trades,baseline_trades,parent_trade_ratio,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,note
long_main,6V2_L01_doubleflush_core,6V2_L01_doubleflush_core,long,baseline,embedded_exact_reference,baseline,592,592,1.0,,,,,23.91906,1.751183,121.7490287208,embedded_reference_pass_no_repo_path_dependency
long_max,8V4_V51_V002_core_rare22_c1,8V4_V51_V002_core_rare22_c1,long,baseline,embedded_exact_reference,baseline,2276,2276,1.0,,,,,44.266371,6.758722,134.5158668232,embedded_reference_pass_no_repo_path_dependency
short_main,short_beh_dd_brake,short_beh_dd_brake,short,baseline,embedded_exact_reference,baseline,28017,28017,1.0,,,,,311.81215,4.758886,392.2144692142,embedded_reference_pass_no_repo_path_dependency
short_max,short_only_reference_1x,short_only_reference_1x,short,baseline,embedded_exact_reference,baseline,36505,36505,1.0,,,,,394.614496,7.77924,456.137448816,embedded_reference_pass_no_repo_path_dependency
long_main,8V28_long_main_001_reclaim_lowanchor_local_tp03,6V2_L01_doubleflush_core,long,improve,add_lowanchor_small_rr_tp03,invalid_trade_explosion,13009,592,21.97466216216216,4473,8536,34.38388807748482,-11.838898116681573,0.0,72.08025829122633,27.91974170877367,parent_trade_ratio=21.975
long_max,8V28_long_max_001_rare22_lowanchor_exit_local_tp03,8V4_V51_V002_core_rare22_c1,long,improve,add_lowanchor_soft_exit_tp03,invalid_trade_explosion,433797,2276,190.59622144112478,145306,288491,33.49631279146698,-98.91565003681036,0.0,99.99999999698248,3.017519567549698e-09,parent_trade_ratio=190.596
short_main,8V28_short_main_001_dev_rsi_soft_replace_tp03,short_beh_dd_brake,short,improve,soft_replace_dev_rsi_keep_quality_tp03,invalid_trade_starvation,1134,28017,0.040475425634436235,324,810,28.57142857142857,17.20279700592875,17.20279700592875,30.27034517913232,81.72510579263636,parent_trade_ratio=0.040
short_max,8V28_short_max_001_blowoff_soft_replace_tp03,short_only_reference_1x,short,improve,soft_replace_blowoff_keep_wick_tp03,invalid_trade_starvation,3423,36505,0.0937679769894535,945,2478,27.607361963190186,48.23932977462781,48.23932977462781,66.43427051665816,49.757612420070586,parent_trade_ratio=0.094
