run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,use_fail_exit,verdict,note
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_028,tight_stop_big_rr,short_stop_long_tp,long,431,132,299,30.62645011600928,0.9311020562334349,0.9311020562334349,3.541013612765742,97.35711799290773,597,0,0.01,0.0004,0.08,A016_TS_028,0.75,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_033,tight_stop_big_rr,short_stop_long_tp,long,431,141,290,32.71461716937355,1.0781478366557185,1.0781478366557185,3.6899703185632626,97.34839418292962,597,0,0.01,0.0004,0.08,A016_TS_033,0.85,9.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_008,rr_expand,same_stop_bigger_tp,long,431,141,290,32.71461716937355,1.0522594246749728,1.0522594246749728,3.6899703185632626,97.32346104566692,597,0,0.01,0.0004,0.08,A016_RR_008,0.85,8.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_032,tight_stop_big_rr,short_stop_long_tp,long,431,141,290,32.71461716937355,1.0069561246687675,1.0069561246687675,3.6899703185632626,97.27982942398427,597,0,0.01,0.0004,0.08,A016_TS_032,0.85,7.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_027,tight_stop_big_rr,short_stop_long_tp,long,431,132,299,30.62645011600928,0.8356753741394662,0.8356753741394662,3.541013612765742,97.26507038261691,597,0,0.01,0.0004,0.08,A016_TS_027,0.75,7.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_007,rr_expand,same_stop_bigger_tp,long,431,141,290,32.71461716937355,0.927442273678114,0.927442273678114,3.6899703185632626,97.20324961049431,597,0,0.01,0.0004,0.08,A016_RR_007,0.85,6.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_RR_006,rr_expand,same_stop_bigger_tp,long,431,142,289,32.94663573085847,0.8695748780942258,0.8695748780942258,3.676254912472099,97.16135217644856,597,0,0.01,0.0004,0.08,A016_RR_006,0.85,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_031,tight_stop_big_rr,short_stop_long_tp,long,431,142,289,32.94663573085847,0.8695748780942258,0.8695748780942258,3.676254912472099,97.16135217644856,597,0,0.01,0.0004,0.08,A016_TS_031,0.85,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_HOLD_037,hold_expand,longer_fixed_hold,long,431,142,289,32.94663573085847,0.8695748780942258,0.8695748780942258,3.676254912472099,97.16135217644856,597,0,0.01,0.0004,0.08,A016_HOLD_037,0.85,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
LONG_A016_EXIT_STRUCTURE_V20_1H,A016_TS_026,tight_stop_big_rr,short_stop_long_tp,long,431,133,298,30.8584686774942,0.6996628525062443,0.6996628525062443,3.5288024622427083,97.1461706702969,597,0,0.01,0.0004,0.08,A016_TS_026,0.75,5.0,12,48,5,-0.42,1,mdd_under5,official candidate pool
