strategy,trades,wins,losses,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,final_asset,final_return_pct,max_return_pct,max_drawdown_pct,profit_factor,official_cd_value,take_profit_count,timeout_count,reentry_stop_count
D20_LONG_reentry_rr2_t12,438,210,228,47.94520547945205,-0.09505456538655695,-0.12440907618977196,99.58446435302841,-0.4155356469715876,0.030620334029252128,0.45925158848514724,0.6179195615604306,99.57122812117368,202,16,220
D20_LONG_reentry_rr2_t6,438,200,238,45.662100456621005,-0.09854841851635109,-0.12951847471870162,99.56923252036903,-0.43076747963097795,0.02977162476089923,0.4675601291953004,0.589065627964335,99.5620722953184,191,43,204
D20_LONG_reentry_rr1.5_t12,438,183,255,41.78082191780822,-0.11387448803198102,-0.004999999999997161,99.50242155711463,-0.49757844288537134,0.043905154920720335,0.542824614751186,0.5124807058803214,99.50084221218148,222,11,205
D20_LONG_reentry_rr1.5_t6,438,175,263,39.95433789954338,-0.11628289185544155,-0.02296657367086612,99.49193002862157,-0.5080699713784331,0.03738132705584096,0.5452474776913733,0.4896437571809448,99.49193002862158,213,32,193
D20_LONG_reentry_rr1_t12,438,169,269,38.58447488584475,-0.13800899665101843,-0.030000000000005512,99.39730487516249,-0.6026951248375045,0.014890224607633229,0.619397649280859,0.36626187736354493,99.39540034562559,242,8,188
D20_LONG_reentry_rr1_t6,438,164,274,37.44292237442922,-0.13966300231055898,-0.030000000000005512,99.39010715468444,-0.6098928453155517,0.011185913983835505,0.6210092937339651,0.3472255418335995,99.39010715468444,236,21,181
D20_SHORT_reentry_rr2_t72,551,236,315,42.83121597096189,-0.13701987489118383,-0.20696800406297725,99.24768519351471,-0.752314806485288,0.004132182490756975,0.758328124846802,0.5743978373002534,99.24577272214196,235,2,314
D20_SHORT_reentry_rr1.5_t72,551,211,340,38.294010889292196,-0.13848880027185248,-0.12884004884004865,99.23970062938109,-0.760299370618911,0.0028945812807990023,0.771322054684792,0.5221694472546778,99.2315502000522,265,2,284
D20_SHORT_reentry_rr1.5_t36,551,211,340,38.294010889292196,-0.1403478505964414,-0.12884004884004865,99.22954000149535,-0.7704599985046467,0.0028945812807990023,0.7814815540162421,0.5115245350995087,99.22139040664578,263,5,283
D20_SHORT_reentry_rr1.5_t12,551,211,340,38.294010889292196,-0.14147902300421358,-0.12607684879507355,99.22337172926547,-0.7766282707345362,0.0028945812807990023,0.7876491411280192,0.4845574586537768,99.21522264100817,257,21,273
D20_SHORT_reentry_rr2_t36,551,236,315,42.83121597096189,-0.1459685831324997,-0.20696800406297725,99.19877683694736,-0.8012231630526445,0.004132182490756975,0.8072335181055629,0.5430390855703862,99.1968653080231,232,6,313
D20_SHORT_reentry_rr2_t12,551,238,313,43.19419237749546,-0.14672951321168407,-0.1940882867819215,99.1946462866482,-0.8053537133518085,0.004132182490756975,0.8113638181388081,0.508357956395879,99.19273483731831,224,30,297
D20_SHORT_reentry_rr1_t12,551,210,341,38.11252268602541,-0.15301637953106623,-0.02997498749376153,99.16034662023011,-0.8396533797698891,0.0016600246002473895,0.8420153303677029,0.3797168075854714,99.15963071657093,287,16,248
D20_SHORT_reentry_rr1_t36,551,210,341,38.11252268602541,-0.1547265994376807,-0.02997498749376153,99.15099238724775,-0.8490076127522506,0.0016600246002473895,0.8513693405368351,0.3968131603667621,99.15027655112291,292,3,256
D20_SHORT_reentry_rr1_t72,551,210,341,38.11252268602541,-0.15640168555990286,-0.02997498749376153,99.14183957411244,-0.8581604258875664,0.0016600246002473895,0.8605219356566869,0.39619160963535205,99.14112380406773,293,1,257
D10_SHORT_reentry_rr2_t36,9072,4188,4884,46.164021164021165,-0.11010951052088437,-0.14205036327239232,90.49242528845173,-9.507574711548273,0.004132182490756975,9.511313869192692,0.5397756208651792,90.49242528845173,4158,51,4863
D10_SHORT_reentry_rr2_t12,9072,4195,4877,46.24118165784832,-0.11058362340639252,-0.13493861671958532,90.45366095316707,-9.54633904683293,0.004132182490756975,9.550076602730458,0.5184551865813974,90.45366095316707,4042,323,4707
D10_SHORT_reentry_rr2_t72,9072,4182,4890,46.0978835978836,-0.11164881067020758,-0.14338890835662635,90.36610795269766,-9.63389204730234,0.004132182490756975,9.637625985499605,0.5374862116438304,90.36610795269765,4173,20,4879
D10_LONG_reentry_rr2_t6,8983,4085,4898,45.47478570633419,-0.11574860568566706,-0.12849660523762454,90.12370936196365,-9.876290638036355,0.0,9.876290638036352,0.4761871693340114,90.12370936196365,3743,840,4400
D10_LONG_reentry_rr2_t12,8983,4111,4872,45.76422130691306,-0.11682168418406597,-0.1395491280306337,90.03673429647687,-9.963265703523138,0.0,9.963265703523135,0.5003054472268607,90.03673429647687,3964,333,4686
D10_SHORT_reentry_rr1.5_t36,9072,3555,5517,39.18650793650794,-0.1169571416120061,-0.004943707780844452,89.93223313558472,-10.067766864415272,0.0028945812807990023,10.070369950652577,0.46570727986872895,89.93223313558472,4583,33,4456
D10_SHORT_reentry_rr1.5_t72,9072,3555,5517,39.18650793650794,-0.11829199136405577,-0.004943707780844452,89.82337179112466,-10.176628208875337,0.0028945812807990023,10.179228144123751,0.46313496288105727,89.82337179112466,4592,14,4466
D10_SHORT_reentry_rr1.5_t12,9072,3539,5533,39.010141093474424,-0.11852681561501727,-0.004943707780844452,89.80435499522015,-10.195645004779852,0.0028945812807990023,10.198244389587577,0.4443241802243091,89.80435499522015,4495,226,4351
D10_LONG_reentry_rr1.5_t12,8983,3435,5548,38.23889569186241,-0.12286154932081357,-0.005000000000019366,89.54971244418734,-10.450287555812665,0.0,10.450287555812665,0.43367194475697,89.54971244418734,4429,223,4331
D10_LONG_reentry_rr1.5_t6,8983,3378,5605,37.604363798285654,-0.12340903650884655,-0.04792815907633578,89.50579111484431,-10.494208885155686,0.0,10.494208885155686,0.4070972064993823,89.50579111484431,4255,610,4118
