experiment_name,side,symbol,entry_time,exit_time,entry_price,exit_price,stop_price,target_price_initial,duration_bars,score,score_detail,atr,risk_multiple,pnl_pct_raw,risk_alloc_frac,exit_reason
1V2_L01_mirror_exact,long_only,BTC,2019-09-19 12:05:00,2019-09-19 12:05:00,9712.76,9616.386187993736,9616.386187993736,10291.002872037589,0,2.5,dev+rsi+vol,50.78988775033716,-0.9999999999999964,-0.009922391988092407,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 03:50:00,2019-09-25 03:50:00,9068.78,8977.472029480563,8977.472029480563,9616.627823116623,0,2.5,dev+rsi+vol,48.120142566238215,-1.000000000000008,-0.010068385220441749,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 03:55:00,2019-09-25 03:55:00,8770.81,8614.490988089094,8614.490988089094,9708.724071465434,0,2.5,dev+rsi+vol,82.3815609543641,-0.9999999999999997,-0.017822642596397122,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:00:00,2019-09-25 04:00:00,8606.07,8422.435331797016,8422.435331797016,9707.878009217904,0,2.5,dev+rsi+vol,96.77716374333811,-0.9999999999999968,-0.02133780787316202,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:05:00,2019-09-25 04:35:00,8683.2,8461.497031311515,8461.497031311515,10013.417812130912,6,3.0,dev+rsi+wick+vol,116.8395091902425,-1.0000000000000007,-0.025532403801419436,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:15:00,2019-09-25 04:35:00,8667.8,8451.288114498193,8451.288114498193,9966.871313010834,4,3.0,dev+rsi+wick+vol,114.10376047525993,-1.0000000000000027,-0.024978874166663553,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:20:00,2019-09-25 04:40:00,8605.42,8384.834420605466,8384.834420605466,9928.933476367203,4,2.5,dev+rsi+vol,116.25063472702708,-0.9999999999999999,-0.025633331016328528,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:30:00,2019-09-25 04:40:00,8566.37,8339.765542256755,8339.765542256755,9925.996746459477,2,2.5,dev+rsi+vol,119.42263912687534,-0.9999999999999993,-0.026452798296506663,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:35:00,2019-09-25 04:40:00,8578.36,8354.627901738415,8354.627901738415,9920.752589569514,1,3.0,dev+rsi+wick+vol,117.90887918924149,-0.9999999999999997,-0.026080987305450647,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:40:00,2019-09-25 04:40:00,8424.74,8191.792676614242,8191.792676614242,9822.423940314548,0,2.5,dev+rsi+vol,122.76538781858136,-0.9999999999999992,-0.02765038723874659,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-09-25 04:45:00,2019-09-25 05:35:00,7802.15,7817.498877782195,7495.1724443560815,9644.015333863508,10,2.5,dev+rsi+vol,161.78000297439695,0.049999999999999684,0.0019672625855944596,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,BTC,2019-10-23 21:45:00,2019-10-23 22:35:00,7470.58,7475.395647708068,7374.2670458386265,8048.457724968239,10,2.5,dev+rsi+vol,50.75781510480795,0.04999999999999689,0.0006446149707343144,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,BTC,2019-10-23 21:50:00,2019-10-23 22:15:00,7564.9,7453.751010421582,7453.751010421582,8231.793937470507,5,2.5,dev+rsi+vol,58.57654259732169,-1.0000000000000004,-0.01469272423672725,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-10-23 21:55:00,2019-10-23 22:20:00,7546.42,7434.479013248612,7434.479013248612,8218.065920508328,5,2.5,dev+rsi+vol,58.993932411798724,-0.9999999999999971,-0.014833654468130286,0.0025,stop
1V2_L01_mirror_exact,long_only,BTC,2019-11-22 00:05:00,2019-11-22 00:55:00,7500.97,7505.289296018803,7414.584079623955,8019.285522256268,10,2.5,dev+rsi+vol,45.5261767462686,0.05000000000000379,0.0005758316616121063,0.0025,time_reduce
1V2_L01_mirror_exact,long_only,BTC,2019-11-22 19:05:00,2019-11-22 19:05:00,7170.78,7045.6795159609865,7045.6795159609865,7921.382904234078,0,2.5,dev+rsi+vol,65.9291088479647,-1.0000000000000022,-0.017445868376803262,0.0025,stop
