run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,min_market_count,breadth20_min,breadth60_min,mret20_min,mret20_max,mret60_min,mret60_max,prev_res20_max,prev_res60_max,cur_res20_min,cur_res60_min,d_res20_min,d_res60_min,rel_ret1_min,rel_ret5_min,xret20_min,xret20_max,xret60_min,xret60_max,ret5_min,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,volr_min,volr_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,close_pos_min,upper_wick_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_C_042_BR50_RR240,breadth_supported_recoupling,recoupling_when_market_breadth_supports,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_C_042_BR50_RR240,0.95,2.4,10,26,80,0.5,0.36,-0.02,0.05,-0.06,0.12,-0.018,-0.035,-0.006,-0.012,0.014,0.01,0.0,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.36,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_C_043_BR57_RR140,breadth_supported_recoupling,recoupling_when_market_breadth_supports,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_C_043_BR57_RR140,0.95,1.4,10,26,80,0.58,0.43999999999999995,-0.02,0.05,-0.06,0.12,-0.018,-0.035,-0.006,-0.012,0.014,0.01,0.0,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.36,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_C_044_BR57_RR190,breadth_supported_recoupling,recoupling_when_market_breadth_supports,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_C_044_BR57_RR190,0.95,1.9,10,26,80,0.58,0.43999999999999995,-0.02,0.05,-0.06,0.12,-0.018,-0.035,-0.006,-0.012,0.014,0.01,0.0,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.36,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_C_045_BR57_RR240,breadth_supported_recoupling,recoupling_when_market_breadth_supports,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_C_045_BR57_RR240,0.95,2.4,10,26,80,0.58,0.43999999999999995,-0.02,0.05,-0.06,0.12,-0.018,-0.035,-0.006,-0.012,0.014,0.01,0.0,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.36,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_046_XLO25_RR150,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_046_XLO25_RR150,0.95,1.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.25,0.6,0.2,0.6,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_047_XLO25_RR200,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_047_XLO25_RR200,0.95,2.0,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.25,0.6,0.2,0.6,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_048_XLO25_RR250,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_048_XLO25_RR250,0.95,2.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.25,0.6,0.2,0.6,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_049_XLO35_RR150,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_049_XLO35_RR150,0.95,1.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.35,0.7,0.3,0.7,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_050_XLO35_RR200,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_050_XLO35_RR200,0.95,2.0,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.35,0.7,0.3,0.7,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_051_XLO35_RR250,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_051_XLO35_RR250,0.95,2.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.35,0.7,0.3,0.7,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_052_XLO45_RR150,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_052_XLO45_RR150,0.95,1.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.45,0.8,0.4,0.8,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_053_XLO45_RR200,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_053_XLO45_RR200,0.95,2.0,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.45,0.8,0.4,0.8,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_D_054_XLO45_RR250,mid_rank_recoupling,middle_rank_symbol_recouples_to_market,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_D_054_XLO45_RR250,0.95,2.5,14,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.022,-0.035,-0.008,-0.012,0.018,0.012,-0.001,0.0,0.45,0.8,0.4,0.8,-0.08,-0.16,-0.26,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,66.0,0.88,0.82,0.72,0.52,0.72,2.3,5,-0.42,invalid_zero_trade,0 trades
