batch=8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED
cd_value_formula=100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100)
official_promotion=max_drawdown_pct < 5.0
strategies=200
failed_symbols=0

REFERENCE COMPARISON
mdd5_reference=6V2_L01_doubleflush_core | cd=121.749029 | mdd=1.7512 | max=23.9191
any_cd_reference=8V4_V51_V002_core_rare22_c1 | cd=134.515867 | mdd=6.7587 | max=44.2664
top_mdd5_candidate=8V9_RAWV51_I103_raw_dryup_reaccel_r003 | cd=111.836758 | delta_vs_mdd5_ref=-9.912271 | mdd=4.0653 | max=16.5759
top_any_candidate=8V9_RAWV51_I103_raw_dryup_reaccel_r003 | cd=111.836758 | delta_vs_any_ref=-22.679109 | mdd=4.0653 | max=16.5759

TOP 30
15. 8V9_RAWV51_I107_raw_dryup_reaccel_r007 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_dryup_reaccel | verdict=official_mdd_pass | trades=1327 | win=36.8500 | final=2.9569 | max=6.9558 | mdd=4.0145 | cd=102.662130 | old_ratio_cd=1.7327
16. 8V9_RAWV51_I190_raw_followthrough_runner_r090 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_followthrough_runner | verdict=official_mdd_pass | trades=1218 | win=40.0657 | final=2.5790 | max=7.0812 | mdd=4.2197 | cd=102.562659 | old_ratio_cd=1.6781
17. 8V9_SAFE6V2_I019_safe_dryup_reaccel_s019 | parent=6V2_L01_doubleflush_core | group=safe_dryup_reaccel | verdict=official_mdd_pass | trades=764 | win=43.8482 | final=2.8312 | max=4.1984 | mdd=1.5985 | cd=102.532745 | old_ratio_cd=2.6264
18. 8V9_SAFE6V2_I004_safe_dryup_reaccel_s004 | parent=6V2_L01_doubleflush_core | group=safe_dryup_reaccel | verdict=official_mdd_pass | trades=1579 | win=35.0855 | final=2.8444 | max=5.5414 | mdd=2.8860 | cd=102.495481 | old_ratio_cd=1.9201
19. 8V9_RAWV51_I138_raw_absorption_mdd_cut_r038 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=664 | win=40.0602 | final=3.4811 | max=5.4516 | mdd=2.8143 | cd=102.483893 | old_ratio_cd=1.9371
20. 8V9_RAWV51_I143_raw_absorption_mdd_cut_r043 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=1039 | win=41.2897 | final=2.4464 | max=5.0560 | mdd=2.4840 | cd=102.446367 | old_ratio_cd=2.0354
21. 8V9_RAWV51_I108_raw_dryup_reaccel_r008 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_dryup_reaccel | verdict=official_mdd_pass | trades=818 | win=39.2421 | final=2.9131 | max=5.8497 | mdd=3.3445 | cd=102.309605 | old_ratio_cd=1.7491
22. 8V9_RAWV51_I139_raw_absorption_mdd_cut_r039 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=501 | win=40.5190 | final=2.4850 | max=4.3871 | mdd=2.0785 | cd=102.217467 | old_ratio_cd=2.1107
23. 8V9_SAFE6V2_I042_safe_absorption_floor_s042 | parent=6V2_L01_doubleflush_core | group=safe_absorption_floor | verdict=official_mdd_pass | trades=1372 | win=36.4431 | final=2.7494 | max=5.1831 | mdd=2.8697 | cd=102.164745 | old_ratio_cd=1.8062
24. 8V9_RAWV51_I124_raw_dryup_reaccel_r024 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_dryup_reaccel | verdict=official_mdd_pass | trades=717 | win=41.1437 | final=2.2228 | max=5.0556 | mdd=2.8551 | cd=102.056083 | old_ratio_cd=1.7707
25. 8V9_SAFE6V2_I023_safe_dryup_reaccel_s023 | parent=6V2_L01_doubleflush_core | group=safe_dryup_reaccel | verdict=official_mdd_pass | trades=1434 | win=41.4226 | final=2.1368 | max=4.3301 | mdd=2.5321 | cd=101.688408 | old_ratio_cd=1.7101
26. 8V9_RAWV51_I146_raw_absorption_mdd_cut_r046 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=1016 | win=43.5039 | final=2.1556 | max=4.1416 | mdd=2.4886 | cd=101.549916 | old_ratio_cd=1.6642
27. 8V9_RAWV51_I128_raw_absorption_mdd_cut_r028 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=679 | win=39.3225 | final=1.5083 | max=4.1834 | mdd=2.5698 | cd=101.506091 | old_ratio_cd=1.6279
28. 8V9_RAWV51_I147_raw_absorption_mdd_cut_r047 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_absorption_mdd_cut | verdict=official_mdd_pass | trades=724 | win=45.4420 | final=1.7338 | max=3.1938 | mdd=1.6534 | cd=101.487633 | old_ratio_cd=1.9317
29. 8V9_RAWV51_I120_raw_dryup_reaccel_r020 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_dryup_reaccel | verdict=official_mdd_pass | trades=359 | win=41.7827 | final=1.6344 | max=3.5744 | mdd=2.0396 | cd=101.461912 | old_ratio_cd=1.7525
30. 8V9_RAWV51_I166_raw_shelf_conversion_r066 | parent=8V4_V51_V002_core_rare22_c1 | group=raw_shelf_conversion | verdict=official_mdd_pass | trades=663 | win=42.3831 | final=1.9070 | max=3.8969 | mdd=2.3492 | cd=101.456191 | old_ratio_cd=1.6588
