batch_label,strategy_name,parent,family,group,side,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,official_pass_mdd_lt_5,verdict,description
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I103_raw_dryup_reaccel_r003,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_dryup_reaccel,long,5m,597,2210,844,1366,38.190045,11.89592,16.575898,4.065283,111.836757705,4.077428,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_dryup_reaccel; tag=r003; focus=raw V51 dryup-to-reaccel MDD compression
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I119_raw_dryup_reaccel_r019,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_dryup_reaccel,long,5m,597,966,403,563,41.718427,5.761457,9.400406,3.401444,105.679211631,2.763651,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_dryup_reaccel; tag=r019; focus=raw V51 dryup-to-reaccel MDD compression
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I104_raw_dryup_reaccel_r004,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_dryup_reaccel,long,5m,597,1078,418,660,38.77551,5.086415,7.971309,2.734918,105.018381971,2.914643,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_dryup_reaccel; tag=r004; focus=raw V51 dryup-to-reaccel MDD compression
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_SAFE6V2_I003_safe_dryup_reaccel_s003,6V2_L01_doubleflush_core,official_mdd5_cd_leader_6v2_no_trade_cap,safe_dryup_reaccel,long,5m,597,2651,959,1692,36.175028,4.676518,9.448033,4.413409,104.617644072,2.140756,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 6V2_L01_doubleflush_core; group=safe_dryup_reaccel; tag=s003; focus=official leader dryup-to-reaccel without trade-count cap
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I126_raw_absorption_mdd_cut_r026,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_absorption_mdd_cut,long,5m,597,2185,835,1350,38.215103,4.559371,7.740991,3.04433,104.460998969,2.542756,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_absorption_mdd_cut; tag=r026; focus=raw V51 absorption floor to cut MDD spikes
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I116_raw_dryup_reaccel_r016,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_dryup_reaccel,long,5m,597,2152,748,1404,34.758364,5.689027,8.682812,4.152881,104.169344197,2.090792,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_dryup_reaccel; tag=r016; focus=raw V51 dryup-to-reaccel MDD compression
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I142_raw_absorption_mdd_cut_r042,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_absorption_mdd_cut,long,5m,597,1292,576,716,44.582043,4.400152,6.276735,2.32167,103.809339293,2.703543,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_absorption_mdd_cut; tag=r042; focus=raw V51 absorption floor to cut MDD spikes
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_SAFE6V2_I043_safe_absorption_floor_s043,6V2_L01_doubleflush_core,official_mdd5_cd_leader_6v2_no_trade_cap,safe_absorption_floor,long,5m,597,824,338,486,41.019417,3.44573,4.660616,1.345358,103.252556274,3.46422,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 6V2_L01_doubleflush_core; group=safe_absorption_floor; tag=s043; focus=official leader absorption-floor for MDD compression without starving trades
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I111_raw_dryup_reaccel_r011,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_dryup_reaccel,long,5m,597,2339,922,1417,39.418555,4.745562,7.810389,4.281543,103.194441037,1.8242,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_dryup_reaccel; tag=r011; focus=raw V51 dryup-to-reaccel MDD compression
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_SAFE6V2_I028_safe_absorption_floor_s028,6V2_L01_doubleflush_core,official_mdd5_cd_leader_6v2_no_trade_cap,safe_absorption_floor,long,5m,597,1025,425,600,41.463415,3.31209,5.041163,1.92004,103.024330752,2.625551,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 6V2_L01_doubleflush_core; group=safe_absorption_floor; tag=s028; focus=official leader absorption-floor for MDD compression without starving trades
8V9_LONG_DUAL_BEST_200_UNTRIED_NO_TRADE_CAP_FIXED,8V9_RAWV51_I127_raw_absorption_mdd_cut_r027,8V4_V51_V002_core_rare22_c1,unrestricted_cd_leader_v51_no_trade_cap,raw_absorption_mdd_cut,long,5m,597,1705,622,1083,36.480938,3.023591,7.147969,3.884655,102.985640379,1.840053,True,official_mdd_pass,8V9 long dual-best no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; group=raw_absorption_mdd_cut; tag=r027; focus=raw V51 absorption floor to cut MDD spikes
