period,candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,199766,174920,87.56244806423516,89661,85259,0,51.258289503773156,0.0750358888706488,0.15509792804186545,4.701970078372954,1.0644019542191228,0.0,100.0,72.0,0.0068888657713759615,0.0,-83.41965461958478,634.274683249677,0.000750358888706488
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,178126,155811,87.47235103241525,79749,76062,0,51.183164218187414,0.08138242302274783,0.16144700182347715,3.597671391330295,1.0738116839627827,0.0,100.0,72.0,0.006138497505839266,0.0,-83.41965461958478,115.6291535221478,0.0008138242302274782
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,175445,153459,87.46843740203482,78401,75058,0,51.08921601209444,0.07638412247701155,0.1564467011574745,3.5980683439185244,1.0688437301826783,0.0,100.0,72.0,0.006032980321531127,0.0,-83.41965461958478,115.6291535221478,0.0007638412247701155
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,21640,19109,88.30406654343807,9912,9197,0,51.87084619812654,0.023287506811268406,0.10332883834660701,9.840600563325399,1.0139018465835201,0.0,100.0,72.0,0.013007219940696067,0.0,-73.92384047607085,634.274683249677,0.00023287506811268407
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,2681,2352,87.72845953002611,1348,1004,0,57.31292517006803,0.40750240748199007,0.4876974864765806,3.5565275339645224,1.6284714879816131,0.0,100.0,72.0,0.013023090017209488,0.0,-64.00594237541665,78.06709258227657,0.004075024074819901
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,199766,186998,93.60852197070572,97281,89717,0,52.022481523866574,-0.021283302109717697,0.05874019396786942,3.668025958376653,0.9771168893182095,0.0,100.0,36.0,0.006826732580683963,0.0,-91.58393430386143,380.29656699128867,-0.00021283302109717698
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,178126,166805,93.64438655782985,86943,79862,0,52.12253829321662,0.01631872911855874,0.09635727202736967,2.8718874078154,1.0189811984287056,0.0,100.0,36.0,0.006147181889755906,0.0,-91.58393430386143,200.7343182869213,0.0001631872911855874
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,175445,164283,93.63789221693408,85393,78890,0,51.97920661297882,0.012167567341800717,0.09220444912144926,2.8749404556236904,1.0140551539128688,0.0,100.0,36.0,0.006040310832997443,0.0,-91.58393430386143,200.7343182869213,0.00012167567341800717
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,21640,20193,93.31330868761553,10338,9855,0,51.19595899569158,-0.33189622832338833,-0.25199702713424205,7.5070764947556805,0.7803859926827976,0.0,100.0,36.0,0.012440185410885263,0.0,-73.03674893281381,380.29656699128867,-0.0033189622832338833
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,2681,2522,94.06937709809773,1550,972,0,61.45915939730373,0.2867252755781701,0.36687202438792454,2.651526386169485,1.6089777869303428,0.0,100.0,36.0,0.01310875913696077,0.0,-59.248420888327544,65.68330771986092,0.0028672527557817014
