symbol,file,accepted_nonoverlap_trades
0G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\0G_5m.csv,446
1000000BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000BOB_5m.csv,768
1000000MOG,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000MOG_5m.csv,1627
1000BONK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000BONK_5m.csv,2153
1000CAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CAT_5m.csv,1532
1000CHEEMS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CHEEMS_5m.csv,1935
1000FLOKI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000FLOKI_5m.csv,2673
1000LUNC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000LUNC_5m.csv,3933
1000PEPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000PEPE_5m.csv,3183
1000RATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000RATS_5m.csv,2731
1000SATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SATS_5m.csv,1776
1000SHIB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SHIB_5m.csv,6789
1000WHY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000WHY_5m.csv,1662
1000X,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,1479
1000XEC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,7845
1INCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,7663
1MBABYDOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,1485
2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,393
42,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\42_5m.csv,273
4,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\4_5m.csv,338
A2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A2Z_5m.csv,545
A,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A_5m.csv,930
AAVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AAVE_5m.csv,7207
ACE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACE_5m.csv,2364
ACH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACH_5m.csv,3632
ACT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACT_5m.csv,1180
ACX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACX_5m.csv,1442
ADA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ADA_5m.csv,8619
AERGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERGO_5m.csv,1674
AERO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERO_5m.csv,1428
AEVO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AEVO_5m.csv,1867
AGIX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGIX_5m.csv,1600
AGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGLD_5m.csv,3466
AGT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGT_5m.csv,864
AI16Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI16Z_5m.csv,782
AI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI_5m.csv,2276
AIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIA_5m.csv,200
AIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIN_5m.csv,958
AIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIO_5m.csv,680
AIOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIOT_5m.csv,991
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,919
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,527
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,1964
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,1646
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,7969
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,6170
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,895
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,115
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,1112
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,7427
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,1059
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,2269
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,2569
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,1004
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,8298
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,4695
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,6170
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,304
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,3636
