candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,199766,174920,87.56244806423516,89661,85259,0,51.258289503773156,0.0750358888706488,0.15509792804186556,4.7019700783729546,1.0644019542191228,0.0,100.0,72.0,0.0068888657713759615,0.0,-83.41965461958478,634.274683249677,0.000750358888706488
bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,199766,186998,93.60852197070572,97281,89717,0,52.022481523866574,-0.021283302109717704,0.05874019396786943,3.66802595837665,0.9771168893182105,0.0,100.0,36.0,0.00682673258068396,0.0,-91.58393430386143,380.29656699128867,-0.00021283302109717704
bear_range25_body08_vol15_cp20__all__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,all,1.0,0.0,no_stop,72,276718,239296,86.47648508589972,119531,119765,0,49.95110657929928,0.059696926552129985,0.13975282768320324,4.612153165268414,1.0508642227379814,0.0,100.0,72.0,0.006468358680698952,0.0,-83.41965461958478,634.274683249677,0.0005969692655212999
bear_range25_body08_vol15_cp20__all__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,all,1.0,0.0,no_stop,36,276718,257978,93.22776255971783,130117,127861,0,50.43724658691826,-0.024221220589815903,0.055801099850124186,3.608218189658667,0.9739774996003303,0.0,100.0,36.0,0.006409246968591495,0.0,-91.58393430386143,380.29656699128867,-0.00024221220589815904
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,72,198584,173750,87.49446078233896,88845,84905,0,51.13381294964029,0.05309055290703096,0.13314381043120363,4.70925188616668,1.0448206276826413,0.0,100.0,72.0,0.007767395253269137,0.0,-83.41965461958478,634.274683249677,0.0005309055290703096
bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,36,198584,185356,93.33883897997825,96214,89142,0,51.90768035563996,-0.029329316623685868,0.05069095976021815,3.669112127091854,0.9686913319500519,0.0,100.0,36.0,0.007698773133763394,0.0,-92.97892451549748,328.80421217399595,-0.00029329316623685867
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,72,260736,226083,86.70954528718704,113449,112634,0,50.18024353887731,0.04700317935671803,0.1270540009571009,4.603159111222242,1.0396705023511557,0.0,100.0,72.0,0.00753260042950691,0.0,-83.41965461958478,634.274683249677,0.0004700317935671803
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,36,260736,242607,93.04699005891017,123201,119406,0,50.78212912240785,-0.026204772017774425,0.053816754684099265,3.560067930950635,0.971860177133438,0.0,100.0,36.0,0.007478423577014779,0.0,-92.97892451549748,328.80421217399595,-0.00026204772017774427
