symbol,file,bars,first_ts,last_ts,raw_profile_events,eligible_scenario_events
1000X,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,120492,2024-11-13 21:30:00,2026-01-12 07:35:00,458,49620
1000XEC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,454450,2021-09-17 12:30:00,2026-01-12 11:15:00,2528,263760
1INCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,530997,2020-12-25 19:00:00,2026-01-12 12:40:00,2424,253020
1MBABYDOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,137212,2024-09-16 20:35:00,2026-01-12 07:45:00,464,48180
2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,27450,2025-10-02 21:30:00,2026-01-12 06:35:00,132,13320
42,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\42_5m.csv,15648,2025-11-18 22:40:00,2026-01-12 06:35:00,83,8820
4,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\4_5m.csv,25733,2025-10-08 20:30:00,2026-01-12 06:35:00,104,11160
A2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A2Z_5m.csv,45936,2025-07-30 17:00:00,2026-01-12 06:45:00,173,17820
A,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A_5m.csv,64083,2025-05-28 17:00:00,2026-01-12 06:55:00,283,30540
AAVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AAVE_5m.csv,551197,2020-10-16 16:00:00,2026-01-12 13:00:00,2255,237300
ACE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACE_5m.csv,215873,2023-12-18 19:00:00,2026-01-12 08:30:00,727,76560
ACH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACH_5m.csv,303679,2023-02-22 23:30:00,2026-01-12 10:00:00,1151,119400
ACT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACT_5m.csv,121070,2024-11-11 21:15:00,2026-01-12 07:35:00,377,38040
ACX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACX_5m.csv,113836,2024-12-07 00:00:00,2026-01-12 07:30:00,451,46620
ADA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ADA_5m.csv,625803,2020-01-31 17:00:00,2026-01-12 15:10:00,2702,284880
AERGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERGO_5m.csv,76147,2025-04-16 20:00:00,2026-01-12 07:05:00,542,57480
AERO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AERO_5m.csv,114421,2024-12-04 23:15:00,2026-01-12 07:30:00,470,47400
AEVO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AEVO_5m.csv,191055,2024-03-13 22:30:00,2026-01-12 08:10:00,575,61320
AGIX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGIX_5m.csv,305412,2023-02-16 23:15:00,2026-01-12 10:10:00,496,52920
AGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGLD_5m.csv,256878,2023-07-29 11:30:00,2026-01-12 09:15:00,1101,111840
AGT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGT_5m.csv,66357,2025-05-20 19:30:00,2026-01-12 06:55:00,273,28440
AI16Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI16Z_5m.csv,106071,2025-01-02 22:45:00,2026-01-12 07:20:00,237,25320
AI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI_5m.csv,209794,2024-01-08 21:30:00,2026-01-12 08:25:00,719,75420
AIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIA_5m.csv,31530,2025-09-18 17:30:00,2026-01-12 06:40:00,83,6840
AIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIN_5m.csv,51665,2025-07-10 19:45:00,2026-01-12 06:50:00,317,32340
AIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIO_5m.csv,41863,2025-08-13 20:30:00,2026-01-12 06:45:00,231,23220
AIOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIOT_5m.csv,72094,2025-04-30 21:30:00,2026-01-12 07:00:00,315,32940
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,109759,2024-12-21 03:30:00,2026-01-12 07:25:00,272,28620
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,29178,2025-09-26 21:30:00,2026-01-12 06:40:00,179,18300
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,119062,2024-11-18 20:30:00,2026-01-12 07:30:00,673,66360
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,104655,2025-01-07 20:45:00,2026-01-12 07:20:00,533,54060
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,586326,2020-06-16 18:00:00,2026-01-12 14:25:00,2555,267900
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,507747,2021-03-16 12:00:00,2026-01-12 12:10:00,1908,205680
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,43903,2025-08-06 18:30:00,2026-01-12 06:45:00,307,32160
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,35,3480
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,144428,2024-08-22 19:30:00,2026-01-12 07:55:00,347,36780
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,540251,2020-11-23 16:00:00,2026-01-12 12:50:00,2359,247380
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,70400,2025-05-06 18:45:00,2026-01-12 07:00:00,346,35340
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,204879,2024-01-25 23:00:00,2026-01-12 08:25:00,691,73560
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,291624,2023-03-30 21:00:00,2026-01-12 09:45:00,817,84480
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,99982,2025-01-24 02:00:00,2026-01-12 07:15:00,324,32880
ANKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANKR_5m.csv,521815,2021-01-26 16:00:00,2026-01-12 12:30:00,2675,279780
APE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APE_5m.csv,402178,2022-03-18 00:00:00,2026-01-12 10:45:00,1436,154800
API3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\API3_5m.csv,408941,2022-02-22 12:30:00,2026-01-12 10:50:00,1982,207060
APR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APR_5m.csv,21425,2025-10-23 19:30:00,2026-01-12 06:35:00,93,9720
APT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\APT_5m.csv,340122,2022-10-19 11:00:00,2026-01-12 10:25:00,1109,117240
AR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AR_5m.csv,451281,2021-09-28 12:30:00,2026-01-12 11:10:00,2127,227880
ARB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARB_5m.csv,293607,2023-03-24 00:00:00,2026-01-12 09:50:00,1043,111720
ARC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARC_5m.csv,101758,2025-01-17 22:00:00,2026-01-12 07:15:00,362,37320
ARIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARIA_5m.csv,35819,2025-09-03 20:00:00,2026-01-12 06:40:00,243,24180
ARK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARK_5m.csv,241755,2023-09-19 23:30:00,2026-01-12 09:05:00,1296,131040
ARKM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARKM_5m.csv,257165,2023-07-28 11:45:00,2026-01-12 09:20:00,725,76380
ARPA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ARPA_5m.csv,445232,2021-10-19 12:30:00,2026-01-12 11:05:00,2106,222360
ASR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASR_5m.csv,70403,2025-05-06 18:30:00,2026-01-12 07:00:00,304,31680
ASTER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTER_5m.csv,31200,2025-09-19 21:00:00,2026-01-12 06:40:00,95,10440
ASTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ASTR_5m.csv,306129,2023-02-14 11:30:00,2026-01-12 10:10:00,1341,137160
AT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AT_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,68,7020
ATA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATA_5m.csv,459347,2021-08-31 12:30:00,2026-01-12 11:20:00,1769,185460
ATH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATH_5m.csv,80122,2025-04-03 00:45:00,2026-01-12 07:05:00,402,40560
ATOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ATOM_5m.csv,623733,2020-02-07 21:10:00,2026-01-12 14:50:00,2944,311820
AUCTION,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AUCTION_5m.csv,216702,2023-12-15 22:00:00,2026-01-12 08:30:00,947,96840
AVA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVA_5m.csv,111842,2024-12-13 22:00:00,2026-01-12 07:25:00,458,48360
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,2025-01-17 22:15:00,2026-01-12 07:15:00,348,36240
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,2020-09-23 16:00:00,2026-01-12 13:15:00,2175,235020
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,2025-09-10 00:00:00,2026-01-12 06:40:00,132,13980
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,2025-05-21 17:00:00,2026-01-12 06:55:00,399,40440
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,2024-03-02 00:30:00,2026-01-12 08:15:00,739,76560
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,2020-11-20 16:00:00,2026-01-12 12:50:00,2480,264420
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,2025-05-06 22:30:00,2026-01-12 07:00:00,490,50880
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,2025-02-13 20:30:00,2026-01-12 07:15:00,507,52200
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,2025-05-23 01:30:00,2026-01-12 06:55:00,496,50640
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,2025-04-05 22:30:00,2026-01-12 07:05:00,307,31740
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,2023-11-09 21:30:00,2026-01-12 08:40:00,585,61740
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,2021-05-19 16:00:00,2026-01-12 11:35:00,2153,229680
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,2020-09-01 16:00:00,2026-01-12 13:40:00,2661,276240
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,2024-11-18 20:30:00,2026-01-12 07:30:00,651,65340
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,2024-08-15 11:00:00,2026-01-12 08:00:00,592,60780
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,2025-03-22 18:15:00,2026-01-12 07:10:00,337,34560
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,2020-07-29 16:00:00,2026-01-12 14:00:00,2657,277680
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,2025-04-19 03:30:00,2026-01-12 07:00:00,465,47100
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,2025-09-18 20:00:00,2026-01-12 06:40:00,150,15060
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,2025-08-26 22:30:00,2026-01-12 06:45:00,171,16680
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,2020-02-13 17:05:00,2026-01-12 14:45:00,3277,337020
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,2024-05-13 21:30:00,2026-01-12 08:05:00,593,62100
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,2019-12-19 17:55:00,2026-01-12 15:35:00,3187,331620
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,2025-06-03 19:30:00,2026-01-12 06:55:00,329,33480
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,2023-11-17 22:30:00,2026-01-12 08:40:00,857,87780
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,71,6720
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,2020-11-18 16:00:00,2026-01-12 12:50:00,2462,258600
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,2025-02-07 00:00:00,2026-01-12 07:15:00,322,32580
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,2023-09-28 21:30:00,2026-01-12 09:05:00,885,90840
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,2025-03-20 18:30:00,2026-01-12 07:10:00,403,41520
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,2023-10-12 23:30:00,2026-01-12 09:00:00,1001,102780
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,2025-01-03 21:15:00,2026-01-12 07:20:00,331,33900
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,2025-09-23 18:30:00,2026-01-12 06:40:00,149,13800
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,2025-10-21 20:30:00,2026-01-12 06:35:00,107,10260
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,2023-04-28 21:00:00,2026-01-12 09:40:00,1049,112320
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,2020-09-17 16:00:00,2026-01-12 13:20:00,2547,264480
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,2025-03-17 22:30:00,2026-01-12 07:10:00,364,36300
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,2020-02-10 17:00:00,2026-01-12 14:55:00,3295,343260
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,2023-08-10 21:00:00,2026-01-12 09:15:00,1003,103080
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,2023-02-22 23:45:00,2026-01-12 10:00:00,994,101820
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,2025-11-21 19:45:00,2026-01-12 06:35:00,52,5700
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,2024-03-16 21:30:00,2026-01-12 08:10:00,512,55320
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,2023-10-15 23:30:00,2026-01-12 09:00:00,576,59220
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,2025-03-21 21:45:00,2026-01-12 07:10:00,421,43020
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,2024-08-20 19:35:00,2026-01-12 07:55:00,530,56580
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,2025-03-21 18:00:00,2026-01-12 07:10:00,305,29940
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,2025-03-21 18:15:00,2026-01-12 07:10:00,395,41640
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,2023-10-20 21:30:00,2026-01-12 08:55:00,1267,132660
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,2024-09-05 15:00:00,2026-01-12 07:50:00,467,48300
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,2019-09-09 02:55:00,2026-01-12 15:40:00,3575,367860
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,2021-06-21 12:30:00,2026-01-12 11:30:00,2268,237360
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,2025-08-27 19:30:00,2026-01-12 06:45:00,216,21840
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,2025-07-04 18:00:00,2026-01-12 06:50:00,321,31920
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,2021-08-24 12:30:00,2026-01-12 11:25:00,1733,184440
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,2025-07-15 18:00:00,2026-01-12 06:50:00,218,21840
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,2023-11-02 21:45:00,2026-01-12 08:50:00,824,85920
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,2025-08-08 01:45:00,2026-01-12 06:45:00,234,23880
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,2024-09-20 20:30:00,2026-01-12 07:45:00,473,48600
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,64,6240
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,2021-09-27 12:30:00,2026-01-12 11:10:00,1294,138420
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,2021-03-29 16:00:00,2026-01-12 11:55:00,2080,223980
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,2024-11-06 23:00:00,2026-01-12 07:35:00,390,40980
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,2023-02-20 23:30:00,2026-01-12 10:05:00,1035,107280
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,2024-12-21 04:15:00,2026-01-12 07:20:00,391,40560
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,2024-08-29 16:30:00,2026-01-12 07:50:00,595,60780
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,2024-11-27 23:45:00,2026-01-12 07:30:00,373,39240
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,2021-03-12 16:00:00,2026-01-12 12:15:00,2201,236340
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,2021-01-21 16:00:00,2026-01-12 12:35:00,2376,252180
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,2023-02-28 21:00:00,2026-01-12 10:00:00,1412,144600
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,88,9060
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,2025-10-14 20:30:00,2026-01-12 06:35:00,104,10320
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,2025-09-25 16:30:00,2026-01-12 06:40:00,108,10200
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,2023-06-02 21:00:00,2026-01-12 09:25:00,875,91860
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,69,7080
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,2020-06-30 18:00:00,2026-01-12 14:15:00,2959,313560
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,2025-01-07 20:30:00,2026-01-12 07:20:00,320,33120
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,2024-09-30 22:00:00,2026-01-12 07:40:00,671,67560
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,2021-03-10 16:00:00,2026-01-12 12:15:00,2167,230460
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,2024-11-06 22:30:00,2026-01-12 07:35:00,506,50160
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,2025-07-10 19:30:00,2026-01-12 06:50:00,333,35280
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,2020-09-01 16:00:00,2026-01-12 13:40:00,1515,165480
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,2025-04-30 19:15:00,2026-01-12 07:00:00,330,33060
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,2021-10-26 12:30:00,2026-01-12 11:05:00,1949,205200
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,2025-08-20 20:15:00,2026-01-12 06:45:00,211,21330
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,2025-05-16 17:30:00,2026-01-12 06:55:00,367,37380
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,2025-07-23 20:30:00,2026-01-12 06:50:00,172,18420
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,2023-08-21 21:00:00,2026-01-12 09:10:00,929,97080
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,2025-01-09 19:00:00,2026-01-12 07:20:00,387,39180
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,2025-08-18 21:30:00,2026-01-12 06:45:00,140,13860
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,2022-04-29 12:30:00,2026-01-12 10:35:00,1283,134760
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,2020-02-04 17:05:00,2026-01-12 15:05:00,3088,319260
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,2025-04-22 17:30:00,2026-01-12 07:00:00,360,37620
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,2020-08-28 16:00:00,2026-01-12 13:45:00,2971,308280
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,2024-11-15 20:30:00,2026-01-12 07:30:00,500,51780
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,2024-12-13 22:15:00,2026-01-12 07:25:00,510,51900
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,2021-03-24 13:00:00,2026-01-12 11:55:00,1842,196440
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,108690,2024-12-24 20:30:00,2026-01-12 07:20:00,559,57000
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,106959,2024-12-30 20:45:00,2026-01-12 07:20:00,477,49620
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,497367,2021-04-21 12:30:00,2026-01-12 11:40:00,1654,173820
DIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DIA_5m.csv,132590,2024-10-02 21:30:00,2026-01-12 07:40:00,607,61800
