rank,candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,robust_pass
1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,199766,199766,100.0,101744,98022,0,50.9315899602535,0.07669958608903342,0.15676229100543562,5.4037655454406455,1.063822115344006,0.0,100.0,72.0,0.006956930887179586,0.0,-83.41965461958478,634.274683249677,0.0007669958608903342,596,337,56.54362416107382,26,61.53846153846154,178126.0,0.08282741793902904,1.075110073377495,50.930240391632886,21640.0,0.026259374623584547,1.013019852264629,50.94269870609982,2681.0,0.4022411942572856,1.6109378958163885,57.105557627750834,True
2,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,72,198584,198584,100.0,101072,97512,0,50.896346130604684,0.05772460603404622,0.1377797179212146,5.362545819606484,1.0472703611646135,0.0,100.0,72.0,0.00781203953211905,0.0,-83.41965461958478,634.274683249677,0.0005772460603404622,597,318,53.266331658291456,26,53.84615384615385,177425.0,0.061053908510690126,1.0541896537361537,50.89305340284628,21159.0,0.02980733716885661,1.0148039825320532,50.92395670872914,2687.0,0.549569457265735,1.8837805006206496,60.40193524376628,False
3,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__ds5atr__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,5.0,5atr,72,198553,198553,100.0,88631,109922,0,44.63845925269324,-0.037143556734035264,0.042873592703046,3.878980697157307,0.9682956142169487,40.0830005086803,59.9169994913197,52.98026723343389,0.007788092523726069,2.7632561085671514,-65.1624329017058,229.95281421989958,-0.00037143556734035263,597,253,42.3785594639866,26,46.15384615384615,177424.0,-0.07796612104979549,0.9324326805690736,44.564433222112,21129.0,0.3056508325489143,1.2315851519291872,45.26006909934214,2687.0,0.3948625048133452,1.5649206062971739,56.12206922218087,False
4,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__ds3atr__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,3.0,3atr,72,198578,198578,100.0,69983,128595,0,35.24207112570375,-0.039885282932391755,0.04013076937535839,3.8428478684194873,0.9602385053923714,59.192861243440866,40.807138756559134,40.113094099044204,0.007820087720848851,1.6670062359997595,-52.05836583294825,263.9496852038934,-0.0003988528293239176,597,212,35.5108877721943,26,42.30769230769231,177425.0,-0.09734771690515512,0.9017071744147356,35.038466957869524,21153.0,0.4420923253320408,1.398325814693423,36.94984163002884,2687.0,0.37032384968319365,1.5848988188144122,48.90212132489766,False
5,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,36,198584,198584,100.0,103127,95457,0,51.93117270273536,0.026530271852721544,0.10657290101312683,4.5635698978120836,1.0279822912963057,0.0,100.0,36.0,0.00781203953211905,0.0,-92.97892451549748,346.70038657672694,0.00026530271852721546,597,283,47.403685092127304,26,53.84615384615385,177425.0,0.018493728284734192,1.0212703219558357,52.040016908552914,21159.0,0.09391926672725015,1.0584221878135571,51.01847913417459,2687.0,0.3626424373213198,1.7609252968111575,63.751395608485296,False
6,bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,72,260736,260736,100.0,130105,130631,0,49.899131688757976,0.0493296123557615,0.12938136490172228,5.136498029115597,1.0406587343218163,0.0,100.0,72.0,0.0075326690353270526,0.0,-83.41965461958478,634.274683249677,0.000493296123557615,597,312,52.26130653266332,26,50.0,233240.0,0.0545141335795588,1.0483223086310736,49.965700565940665,27496.0,0.0053509343575624075,1.0027648550311086,49.33444864707594,3966.0,0.35541281790154355,1.497592667432525,57.11043872919819,False
7,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__ds5atr__time36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,5.0,5atr,36,198553,198553,100.0,96453,102100,0,48.57796155182747,-0.05480437636986298,0.02520570591250201,3.392731344807107,0.9422921282179717,28.945420114528613,71.05457988547138,29.44970864202505,0.007788092523726069,2.7632561085671514,-65.1624329017058,232.56504942985873,-0.0005480437636986298,597,224,37.52093802345058,26,42.30769230769231,177424.0,-0.09317812038588534,0.8999867129625946,48.63716295427902,21129.0,0.26742682994840816,1.2428772205410572,48.08083676463628,2687.0,0.31139051135245027,1.6023516730665048,62.37439523632303,False
8,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__ds2atr__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,2.0,2atr,72,198583,198583,100.0,53422,145161,0,26.90159782055866,-0.04482501917265056,0.035189056449929444,3.6518865724309966,0.9454705383400364,70.97536042863689,29.02463957136311,30.505743190504727,0.007809917635935469,1.1133195642326956,-46.562469397336564,340.6045895410458,-0.00044825019172650563,597,207,34.67336683417086,26,38.46153846153847,177425.0,-0.093881021538528,0.8838999600401469,26.640552346061718,21158.0,0.3665447331558208,1.3922378684744758,29.090651290292087,2687.0,0.29899864174682345,1.5347905861199305,39.48641607740975,False
9,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,199766,199766,100.0,103793,95973,0,51.957290029334324,0.03640717300610445,0.11645375450790758,4.65811576029281,1.0386151438618039,0.0,100.0,36.0,0.006956930887179586,0.0,-91.58393430386143,380.29656699128867,0.00036407173006104454,596,304,51.006711409395976,26,53.84615384615385,178126.0,0.032333363396449454,1.0376403788240385,52.056409507876445,21640.0,0.06994004779951526,1.0428365319338597,51.141404805914966,2681.0,0.29117622856200137,1.6096102673374622,61.76799701603879,False
10,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__ds3atr__time36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,3.0,3atr,36,198578,198578,100.0,82563,116015,0,41.57711327538801,-0.04529237366817094,0.03472151493780423,3.45299986725235,0.9471219150744283,48.55623482963873,51.44376517036127,23.642936276928964,0.007820087720848851,1.6670062359997595,-52.05836583294825,263.7582292460409,-0.0004529237366817094,597,211,35.34338358458962,26,38.46153846153847,177425.0,-0.09771256151901694,0.8841221792662004,41.4992250246583,21153.0,0.39439239111395724,1.4073685515820118,42.23041648938685,2687.0,0.2864962279754896,1.582264667163105,57.16412355787123,False
11,bear_range25_body08_vol15_cp20__all__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,all,1.0,0.0,no_stop,72,276718,276718,100.0,137215,139503,0,49.58658273043315,0.05738426026946356,0.13743923596384897,5.152100212354219,1.0477500897352687,0.0,100.0,72.0,0.006493508652187033,0.0,-83.41965461958478,634.274683249677,0.0005738426026946356,597,319,53.43383584589615,26,46.15384615384615,246756.0,0.06743401031182784,1.0605158763310252,49.70740326476357,29962.0,-0.02538178076430069,0.9867934669404899,48.59154929577465,4165.0,0.2547797982766592,1.3354445759655613,54.57382953181272,False
12,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__ds5atr__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,5.0,5atr,72,199734,199734,100.0,89091,110643,0,44.60482441647391,-0.029020275516962266,0.051000124532850806,3.9260875693568744,0.9749979920871115,40.049265523145785,59.950734476854215,52.97533219181511,0.006931887117829556,2.7447545317968194,-65.1624329017058,307.950793069445,-0.0002902027551696227,596,247,41.442953020134226,26,50.0,178125.0,-0.06782292423057308,0.9405462328261724,44.562526315789476,21609.0,0.2908335725145017,1.2194688614176172,44.953491600721925,2681.0,0.2457997687557314,1.3382550648127365,52.74151436031331,False
13,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__ds3atr__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,3.0,3atr,72,199759,199759,100.0,70127,129632,0,35.105802492002866,-0.039327544839103584,0.04068873065315766,3.8890630703272504,0.9605772780747153,59.27943171521684,40.72056828478316,40.029540596418684,0.006963800310173305,1.6558531593074826,-52.05836583294825,307.950793069445,-0.00039327544839103584,596,224,37.58389261744966,26,42.30769230769231,178126.0,-0.09717852834154848,0.9012094190225806,34.90843560176504,21633.0,0.4370171270675437,1.3929769964039278,36.73092035316415,2681.0,0.23967927541564626,1.3685560981145093,45.654606490115626,False
14,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__ds5atr__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,5.0,5atr,36,199734,199734,100.0,97106,102628,0,48.61766148978141,-0.0434308992617495,0.036583734231943284,3.480844548726357,0.9538588405478647,28.925470876265436,71.07452912373456,29.461648993160903,0.006931887117829556,2.7447545317968194,-65.1624329017058,380.29656699128867,-0.000434308992617495,596,240,40.26845637583892,26,38.46153846153847,178125.0,-0.08028100450647224,0.9128839598301829,48.6860350877193,21609.0,0.260327951065255,1.2358428167571707,48.054051552593826,2681.0,0.22318328234596008,1.4210822666111815,60.052219321148826,False
