rank,candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,robust_pass
1,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,72,198584,173750,87.49446078233896,88845,84905,0,51.13381294964029,0.05309055290703096,0.13314381043120363,4.70925188616668,1.0448206276826413,0.0,100.0,72.0,0.007767395253269137,0.0,-83.41965461958478,634.274683249677,0.0005309055290703096,155047,0.05443042964582832,1.0484357648021787,51.03162266925513,18703,0.04198303706891378,1.0248700551151282,51.980965620488696,2361,0.5395936313410007,1.864963138710611,60.144006776789496,597,314,52.596314907872696,26,57.692307692307686,True
2,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,72,199766,174920,87.56244806423516,89661,85259,0,51.258289503773156,0.0750358888706488,0.15509792804186556,4.7019700783729546,1.0644019542191228,0.0,100.0,72.0,0.0068888657713759615,0.0,-83.41965461958478,634.274683249677,0.000750358888706488,155811,0.08138242302274783,1.0738116839627827,51.183164218187414,19109,0.023287506811268406,1.0139018465835201,51.87084619812654,2352,0.40750240748199007,1.6284714879816131,57.31292517006803,596,330,55.369127516778526,26,57.692307692307686,True
3,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.0,no_stop,36,198584,185356,93.33883897997825,96214,89142,0,51.90768035563996,-0.029329316623685868,0.05069095976021815,3.669112127091854,0.9686913319500519,0.0,100.0,36.0,0.007698773133763394,0.0,-92.97892451549748,328.80421217399595,-0.00029329316623685867,165601,-0.002250386165399019,0.9974132209338985,51.99364738135639,19755,-0.2563249107934033,0.8287669288912259,51.18704125537838,2522,0.3447869710527771,1.7263933313552824,63.243457573354476,597,231,38.69346733668342,26,46.15384615384615,False
4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.0,no_stop,36,199766,186998,93.60852197070572,97281,89717,0,52.022481523866574,-0.021283302109717704,0.05874019396786943,3.66802595837665,0.9771168893182105,0.0,100.0,36.0,0.00682673258068396,0.0,-91.58393430386143,380.29656699128867,-0.00021283302109717704,166805,0.01631872911855874,1.0189811984287056,52.12253829321662,20193,-0.33189622832338833,0.7803859926827976,51.19595899569158,2522,0.2867252755781701,1.6089777869303428,61.45915939730373,596,248,41.61073825503356,26,50.0,False
5,bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,72,260736,226083,86.70954528718704,113449,112634,0,50.18024353887731,0.04700317935671803,0.1270540009571009,4.603159111222242,1.0396705023511557,0.0,100.0,72.0,0.00753260042950691,0.0,-83.41965461958478,634.274683249677,0.0004700317935671803,202082,0.047614962041822036,1.0422162394376384,50.17319701903188,24001,0.04185213279319254,1.025145453112971,50.239573351110366,3423,0.27199450163841415,1.3733001385322912,56.470931931054636,597,316,52.93132328308208,26,50.0,False
6,bear_range25_body08_vol15_cp20__all__slip1bps__dsno_stop__time72,bear_range25_body08_vol15_cp20,all,1.0,0.0,no_stop,72,276718,239296,86.47648508589972,119531,119765,0,49.95110657929928,0.059696926552129985,0.13975282768320324,4.612153165268414,1.0508642227379814,0.0,100.0,72.0,0.006468358680698952,0.0,-83.41965461958478,634.274683249677,0.0005969692655212999,213321,0.06820278615716734,1.0611710230511093,50.03914288794821,25975,-0.010157875249840081,0.9938650165871065,49.22810394610202,3601,0.2245912065389773,1.296756395025767,54.457095251319075,597,334,55.9463986599665,26,50.0,False
7,bear_range25_body08_vol15_cp20__all__slip1bps__dsno_stop__time36,bear_range25_body08_vol15_cp20,all,1.0,0.0,no_stop,36,276718,257978,93.22776255971783,130117,127861,0,50.43724658691826,-0.024221220589815903,0.055801099850124186,3.608218189658667,0.9739774996003303,0.0,100.0,36.0,0.006409246968591495,0.0,-91.58393430386143,380.29656699128867,-0.00024221220589815904,230151,0.0035312181592106213,1.0040586481971292,50.64283883189732,27827,-0.2537555408732524,0.8229301259399562,48.736838322492545,3872,0.11014144032997997,1.1752582401425398,56.50826446280992,597,238,39.86599664991625,26,42.30769230769231,False
8,bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,36,260736,242607,93.04699005891017,123201,119406,0,50.78212912240785,-0.026204772017774425,0.053816754684099265,3.560067930950635,0.971860177133438,0.0,100.0,36.0,0.007478423577014779,0.0,-92.97892451549748,328.80421217399595,-0.00026204772017774427,217023,-0.006549879225587402,0.992488936569188,50.94160526764444,25584,-0.1929325627635063,0.8654062935435309,49.42933083176986,3664,0.09483150689171617,1.1474840490868954,57.94213973799127,597,211,35.34338358458962,26,46.15384615384615,False
