duration_threshold,failure_horizon,events,up_break_rate_pct,down_break_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_breakbar_close_slip_pct,reentry_rate_pct,avg_reentry_bars,med_reentry_bars,opposite_touch_rate_pct,avg_opposite_touch_bars,mid_back_rate_pct,avg_dir_ret_pct,med_dir_ret_pct,dir_win_rate_pct,avg_dir_mfe_pct,avg_dir_mae_pct,avg_max_favorable_r,med_max_favorable_r,avg_max_adverse_r,med_max_adverse_r,p75_max_favorable_r,p90_max_favorable_r,p75_max_adverse_r,p90_max_adverse_r
5,3,183083,51.10851362496791,48.89148637503209,2.1279474336776216,1.0,0.536670126131424,0.469583778014937,0.0418041965027652,61.53001644063075,1.4075330001509085,1.0,19.688884276530317,1.996032956972841,30.70246827941425,0.0375886411002907,0.013860974426505024,50.8829328774381,0.36586355492397865,-0.2711306967541876,0.8615919287722579,0.5616438356164286,0.4899379977541943,0.42937853107345386,1.0503597122300978,1.7360000000000109,0.8461538461538544,1.3454545454545508
5,6,183083,51.10851362496791,48.89148637503209,2.1279474336776216,1.0,0.536670126131424,0.469583778014937,0.0418041965027652,71.79475975377288,1.8968762362679163,1.0,33.98021662306167,3.223734970745194,45.20081056133011,0.03738166371427843,0.008061265618697355,50.304506699147375,0.5168231029514255,-0.4178355753168343,1.1968413697741949,0.7826086956521519,0.8008149156170394,0.6573426573426675,1.446808510638274,2.3442410048967206,1.2142857142857337,1.9523324604790364
5,12,183083,51.10851362496791,48.89148637503209,2.1279474336776216,1.0,0.536670126131424,0.469583778014937,0.0418041965027652,80.05877115843634,2.639076507429694,1.0,49.62885685727238,5.098534040633048,59.22505093318331,0.03804381381724524,0.0,49.89157922909281,0.7384049608655107,-0.6317502939553992,1.6608809130212683,1.100000000000008,1.2636211047916264,0.9767441860465301,2.0000000000000315,3.273570639945239,1.7850233644859614,2.8571428571428346
5,36,183083,51.10851362496791,48.89148637503209,2.1279474336776216,1.0,0.536670126131424,0.469583778014937,0.0418041965027652,89.2535079717942,4.577927641241555,2.0,71.90782322771639,10.23935253055427,77.38839761201204,0.0563009764577883,0.0,49.72007231692729,1.3915664639111498,-1.247835456028323,3.026333824324541,2.0000000000000173,2.617933142299458,1.8888888888889,3.6765437518291195,6.048764649984054,3.4310344827586094,5.571428571428609
5,72,183083,51.10851362496791,48.89148637503209,2.1279474336776216,1.0,0.536670126131424,0.469583778014937,0.0418041965027652,92.83385131333876,6.363867429970052,2.0,81.42481825183113,15.026080831796076,84.86588050228585,0.08182953277328556,0.0,49.67146048513516,2.102429148280587,-1.9044003790525699,4.510840875978882,2.976744186046437,4.094038376359177,2.8625000000000016,5.492283877113567,9.048941223035774,5.249999999999708,8.540816326530766
10,3,19318,50.67294751009421,49.32705248990579,3.143286054456983,2.0,0.8285710397694155,0.7207325265246811,0.04121011097399775,62.61000103530387,1.3956180239768499,1.0,9.819857128067087,2.1549815498154983,23.045863961072573,0.04096911432363088,0.007826384233033945,50.465886737757536,0.4186987340044256,-0.31294763449779317,0.6899615583087512,0.4,0.3306858281298763,0.32499999999998586,0.7704918032786872,1.2824925323597862,0.6309618492147617,0.9842598684210527
10,6,19318,50.67294751009421,49.32705248990579,3.143286054456983,2.0,0.8285710397694155,0.7207325265246811,0.04121011097399775,72.5333885495393,1.8629745932058235,1.0,21.047727508023605,3.643630103295622,37.02246609379853,0.03309579425663054,0.0,49.673879283569725,0.5798647300178346,-0.4739642275930874,0.9311034714593212,0.5589979291261886,0.5463934910869095,0.48680729601782746,1.043478260869582,1.6999999999999778,0.8962301136363656,1.4132454790303899
10,12,19318,50.67294751009421,49.32705248990579,3.143286054456983,2.0,0.8285710397694155,0.7207325265246811,0.04121011097399775,80.80546640438969,2.602498398462524,1.0,36.88787659177969,6.044344653381981,52.53649446112434,0.024393273651840953,0.0,49.63764364841081,0.8363313582794124,-0.729194643318632,1.2645790593311397,0.805755395683454,0.9017020442287368,0.7272727272727293,1.4545454545454637,2.3749999999999902,1.3263264388489266,2.102197802197787
10,36,19318,50.67294751009421,49.32705248990579,3.143286054456983,2.0,0.8285710397694155,0.7207325265246811,0.04121011097399775,90.10249508230666,4.542686429966678,2.0,63.51589191427684,12.789731051344743,73.81716533802671,0.04249263860730248,-0.012167363707021872,49.1458743141112,1.5961848257304774,-1.444045117699485,2.25853437399801,1.498061756780139,1.925561085881906,1.4285714285714557,2.6996794871794503,4.429483282674855,2.5582627989152873,4.0616436983212
10,72,19318,50.67294751009421,49.32705248990579,3.143286054456983,2.0,0.8285710397694155,0.7207325265246811,0.04121011097399775,93.31193705352521,6.1408521025185845,2.0,75.61859405735584,18.96830503833516,82.52924733409256,0.06839270687229886,-0.029944043581603408,48.89740138730718,2.4187951278091813,-2.197418546151183,3.3931251354343925,2.1666666666666243,3.0427003436760844,2.1673333333333558,3.9893427051672106,6.545454545454554,3.8866682974559983,6.218566176470059
20,3,1052,46.7680608365019,53.2319391634981,5.153992395437262,3.0,1.3734560493557981,1.176331954653953,0.05552722660300283,61.97718631178707,1.3819018404907975,1.0,3.70722433460076,2.3333333333333335,12.167300380228136,0.08321307044528467,0.047045605415863,54.18250950570342,0.5331180270143897,-0.3605741589050482,0.550646947867218,0.3140577507598685,0.23645327516495335,0.24661369523692594,0.592592592592564,0.9935967898832619,0.4501056928347956,0.7009540375289903
20,6,1052,46.7680608365019,53.2319391634981,5.153992395437262,3.0,1.3734560493557981,1.176331954653953,0.05552722660300283,72.52851711026615,1.8859764089121887,1.0,11.02661596958175,4.189655172413793,25.665399239543724,0.06570588369588387,0.004665198271047721,50.475285171102655,0.7535145978410608,-0.558861498980293,1.0004746422448265,0.45307917888560956,0.38932284519289034,0.34551014734501084,0.8373664362036429,1.3076923076923253,0.6507603686635959,1.027127659574468
20,12,1052,46.7680608365019,53.2319391634981,5.153992395437262,3.0,1.3734560493557981,1.176331954653953,0.05552722660300283,81.1787072243346,2.689695550351288,1.0,25.0,7.11787072243346,43.06083650190114,0.01032790081523323,-0.0422295251537641,47.43346007604563,1.0455187004381135,-0.8748778664023509,1.244051566436779,0.6094948849104798,0.6454502067578253,0.5484375000000032,1.1068008429363871,1.7500000000000242,0.9983642311886589,1.5082123758594397
20,36,1052,46.7680608365019,53.2319391634981,5.153992395437262,3.0,1.3734560493557981,1.176331954653953,0.05552722660300283,90.11406844106465,4.465189873417722,2.0,54.372623574144484,15.353146853146853,70.34220532319392,-0.11235928519421001,-0.09487073243463207,46.29277566539924,1.9281962009671305,-1.8425182400630613,1.9677115682981687,1.0710916442048433,1.4642707269421573,1.087292693859257,2.0,3.3870370370370457,1.9580316742081512,3.305999999999912
20,72,1052,46.7680608365019,53.2319391634981,5.153992395437262,3.0,1.3734560493557981,1.176331954653953,0.05552722660300283,93.15589353612167,5.972448979591837,2.0,69.48669201520913,22.913816689466483,79.18250950570342,-0.0028869723473211296,-0.17386681019416206,46.29277566539924,3.0076571480698133,-2.740692436194845,3.1928848929557296,1.5611443381180126,2.275899542155088,1.6576361709067169,2.9908394698085434,5.1984593023255785,3.153167420814466,4.811141304347773
40,3,19,57.89473684210527,42.10526315789473,6.842105263157895,5.0,2.325487516733479,2.0891776170087084,0.14311056200876185,52.63157894736842,1.4,1.0,0.0,,10.526315789473683,0.09945613835424863,0.10846771277750467,52.63157894736842,0.7248707072992486,-0.44341149206685854,0.307360460592792,0.24436936936937415,0.19459923113748345,0.1324550471782098,0.3299505372676121,0.7177245263696926,0.3962378640776722,0.5461344556235059
40,6,19,57.89473684210527,42.10526315789473,6.842105263157895,5.0,2.325487516733479,2.0891776170087084,0.14311056200876185,73.68421052631578,2.5,1.5,0.0,,21.052631578947366,-0.07464201071098202,-0.03236245954691963,42.10526315789473,0.7973196494842651,-0.6245293408983656,0.33899683402012537,0.2625956916503468,0.29445199532649013,0.24074074074074062,0.39199162811192034,0.7283836832224005,0.49871341877750985,0.7610631229235852
40,12,19,57.89473684210527,42.10526315789473,6.842105263157895,5.0,2.325487516733479,2.0891776170087084,0.14311056200876185,84.21052631578947,3.1875,2.0,5.263157894736842,10.0,36.84210526315789,-0.12194705370046223,-0.21693542555499823,42.10526315789473,1.0082915069088971,-0.9869252997666541,0.4577470307069311,0.3137472283813756,0.4662490857132293,0.5052910052910069,0.647148493543757,0.8632459702227209,0.7776578073089697,0.9467635015551449
40,36,19,57.89473684210527,42.10526315789473,6.842105263157895,5.0,2.325487516733479,2.0891776170087084,0.14311056200876185,89.47368421052632,4.470588235294118,2.0,42.10526315789473,23.375,84.21052631578947,-0.5807394523238056,-1.1003236245954673,31.57894736842105,1.5381382979079425,-2.22722687520102,0.7258050771189035,0.5882352941176452,1.091302224748281,0.9126213592233103,0.8244362587873393,1.7895348837209164,1.1018499272500484,1.6600030450669823
