symbol,failure_horizon,events,up_break_rate_pct,down_break_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_breakbar_close_slip_pct,reentry_rate_pct,avg_reentry_bars,med_reentry_bars,opposite_touch_rate_pct,avg_opposite_touch_bars,mid_back_rate_pct,avg_dir_ret_pct,med_dir_ret_pct,dir_win_rate_pct,avg_dir_mfe_pct,avg_dir_mae_pct,avg_max_favorable_r,med_max_favorable_r,avg_max_adverse_r,med_max_adverse_r,p75_max_favorable_r,p90_max_favorable_r,p75_max_adverse_r,p90_max_adverse_r
0G,3,114,52.63157894736842,47.368421052631575,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.03926872206289505,68.42105263157895,1.2564102564102564,1.0,22.807017543859647,1.8461538461538463,29.82456140350877,-0.05741147817434682,0.012934230280170489,51.75438596491229,0.3377212509805051,-0.38255651182678646,0.5055375066909302,0.36621613714820855,0.5794354668941015,0.4649270072992644,0.7695329897562908,1.1554545454545255,0.8802829593583796,1.540076335877876
0G,6,114,52.63157894736842,47.368421052631575,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.03926872206289505,78.0701754385965,1.696629213483146,1.0,32.45614035087719,2.810810810810811,42.98245614035088,-0.1105906833518953,-0.07017464674343166,42.98245614035088,0.47385329031531215,-0.5801016752688227,0.7790704210675776,0.6232142857142978,0.8386214606839767,0.6451256558961583,1.2088205645161438,1.6014946823800205,1.1687786089092187,1.9692079207920827
0G,12,114,52.63157894736842,47.368421052631575,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.03926872206289505,81.57894736842105,2.053763440860215,1.0,50.877192982456144,5.120689655172414,59.64912280701754,-0.05318054148090354,-0.05275369137380248,48.24561403508772,0.7996148892556938,-0.8646851811846796,1.2178190255265964,1.005000000000023,1.2983673690785114,1.0123152709359613,1.6318772007042626,2.6943850267379825,1.809284535773195,2.5621512151215415
0G,36,114,52.63157894736842,47.368421052631575,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.03926872206289505,92.10526315789474,3.761904761904762,1.0,75.43859649122807,10.081395348837209,79.82456140350878,0.23032334791570164,-0.032840427410074646,48.24561403508772,1.6803648802243836,-1.5386606897112074,2.577943413128536,1.9003456221198354,2.3056004287335674,1.9608614232209778,3.4561532792925935,5.5107581627006414,3.1624999999999495,4.756332767402412
0G,72,114,52.63157894736842,47.368421052631575,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.03926872206289505,95.6140350877193,5.853211009174312,1.0,85.08771929824562,14.639175257731958,85.08771929824562,0.3500920539850366,-0.02709492543015446,49.122807017543856,2.849798202543837,-2.341538231308778,4.299009290174761,2.7765151515151825,3.6162164985380754,2.9408705701078333,4.854545454545412,7.656064834692929,4.494718309859092,7.127272727272835
1000000BOB,3,103,59.22330097087378,40.77669902912621,2.029126213592233,1.0,0.8457440442042982,0.8403361344537785,0.026096785124660588,73.7864077669903,1.4342105263157894,1.0,28.155339805825243,1.8275862068965518,33.980582524271846,-0.028356776684141747,-0.10143702451395065,43.689320388349515,0.5066961851247267,-0.5307125182296483,0.6132443270356465,0.43333333333332485,0.6975008359120813,0.58139534883721,0.9517203107658241,1.3624801271860063,1.029411764705892,1.5824561403508834
1000000BOB,6,103,59.22330097087378,40.77669902912621,2.029126213592233,1.0,0.8457440442042982,0.8403361344537785,0.026096785124660588,81.55339805825243,1.7380952380952381,1.0,39.80582524271845,2.7560975609756095,50.48543689320388,0.07967274025075952,-0.03937783028155062,47.57281553398058,0.8306551398905693,-0.7023942537657369,0.9988489926363615,0.7499999999999891,0.9101909953835469,0.7977528089887649,1.3117647058823463,2.552830188679233,1.31698564593301,1.8977777777777418
1000000BOB,12,103,59.22330097087378,40.77669902912621,2.029126213592233,1.0,0.8457440442042982,0.8403361344537785,0.026096785124660588,90.29126213592234,2.5483870967741935,1.0,59.22330097087378,5.016393442622951,64.07766990291263,0.007948828712376297,-0.024207213749682932,47.57281553398058,1.2817864921136892,-1.1157095200182332,1.5683455265885986,1.127659574468095,1.382039656952835,1.2222222222222137,2.195833333333338,3.349019607843123,2.0909090909090957,2.9196396396396693
1000000BOB,36,103,59.22330097087378,40.77669902912621,2.029126213592233,1.0,0.8457440442042982,0.8403361344537785,0.026096785124660588,93.20388349514563,3.0833333333333335,1.0,70.87378640776699,7.5479452054794525,74.75728155339806,0.11973340237093558,-0.28530670470754416,48.54368932038835,2.437449494043001,-2.0389125383643663,2.8353987143376025,2.313432835820944,2.558909574290535,2.166666666666691,3.7879188712522134,6.1015729368670995,3.420833333333341,5.18333333333332
1000000BOB,72,103,59.22330097087378,40.77669902912621,2.029126213592233,1.0,0.8457440442042982,0.8403361344537785,0.026096785124660588,95.14563106796116,3.9183673469387754,1.0,79.6116504854369,12.097560975609756,80.58252427184466,-0.037804769723738745,0.11707643418630287,51.45631067961165,3.211107865093035,-2.9263179341409247,3.8746228609811713,2.9402985074627295,3.7583810643751456,3.0344827586206926,5.033333333333436,7.226262626262645,5.1216589861750546,8.47499999999987
1000000MOG,3,216,50.92592592592593,49.074074074074076,1.9166666666666667,1.0,0.7084216222146511,0.6436759919787316,0.06325394950034147,63.888888888888886,1.3478260869565217,1.0,18.98148148148148,2.024390243902439,29.629629629629626,0.06375699092350108,0.041422148892933386,53.70370370370371,0.4551011448746948,-0.3255505567377722,0.756805006703108,0.4965753424657513,0.5024914037562409,0.378620799872149,1.0077720207254282,1.9099378881987787,0.8571428571428386,1.3488020010531754
1000000MOG,6,216,50.92592592592593,49.074074074074076,1.9166666666666667,1.0,0.7084216222146511,0.6436759919787316,0.06325394950034147,73.61111111111111,1.79874213836478,1.0,31.48148148148148,3.1911764705882355,39.81481481481482,0.06695525695349241,0.026697872552350344,51.85185185185185,0.6733545239248253,-0.4973770401023904,1.0702855015975754,0.7197925427530488,0.7709492375955541,0.5559732664995869,1.5236572890025775,2.4197689345314304,1.1999999999999797,1.7499376403092977
1000000MOG,12,216,50.92592592592593,49.074074074074076,1.9166666666666667,1.0,0.7084216222146511,0.6436759919787316,0.06325394950034147,83.79629629629629,2.723756906077348,1.0,46.2962962962963,5.22,58.333333333333336,0.027781290820663402,0.0,49.53703703703704,0.9272769251194432,-0.7946134410087295,1.4829324396482089,1.0752314814814772,1.2722600296705115,0.9198170731707336,2.1227477477477965,3.551922164214519,1.8562845469838878,2.88041065482795
1000000MOG,36,216,50.92592592592593,49.074074074074076,1.9166666666666667,1.0,0.7084216222146511,0.6436759919787316,0.06325394950034147,93.98148148148148,4.699507389162561,1.0,73.61111111111111,11.182389937106919,81.48148148148148,-0.10884993192683545,-0.1768808462812077,42.592592592592595,1.4913799848127378,-1.542511064653432,2.3823178565936467,1.8161347517731037,2.498420866967093,1.8551702786377944,3.108552631578935,5.255263157894722,3.280987654320993,5.433114035087691
1000000MOG,72,216,50.92592592592593,49.074074074074076,1.9166666666666667,1.0,0.7084216222146511,0.6436759919787316,0.06325394950034147,96.29629629629629,5.889423076923077,2.0,82.4074074074074,15.196629213483146,87.96296296296296,-0.43801261680701836,-0.5096333465457126,43.98148148148148,2.1654452994530837,-2.4098187494055643,3.4947626158346927,2.333333333333357,3.8465886988323623,2.888480392156872,4.838709677419439,8.117647058823511,5.05515399120047,8.435416666666669
1000BONK,3,642,50.0,50.0,1.9485981308411215,1.0,0.6885508205968541,0.6169702910893915,0.044143045538702165,62.30529595015576,1.3075,1.0,17.133956386292834,2.0636363636363635,31.308411214953267,0.06530002324753863,0.05248208739535576,54.361370716510905,0.4481905609943308,-0.3260146518309592,0.6724923751059869,0.5057159655082168,0.5134447500988497,0.40745115856428454,0.9729842595567113,1.5271632608217773,0.8516548463356978,1.241231066231059
1000BONK,6,642,50.0,50.0,1.9485981308411215,1.0,0.6885508205968541,0.6169702910893915,0.044143045538702165,73.5202492211838,1.86864406779661,1.0,30.218068535825545,3.3195876288659796,45.17133956386293,0.07077252207959953,0.019219320818120167,50.62305295950156,0.6209291364693758,-0.4879768902089851,0.9250655917052298,0.7429882044560914,0.7748375990650516,0.6564419294734561,1.347318007662825,1.9711949685534889,1.1219560094265533,1.6363636363636438
1000BONK,12,642,50.0,50.0,1.9485981308411215,1.0,0.6885508205968541,0.6169702910893915,0.044143045538702165,80.68535825545172,2.523166023166023,1.0,45.17133956386293,5.2379310344827585,59.19003115264797,0.06151799023792328,-0.03743069969717738,48.442367601246104,0.8870372755668442,-0.721859643369766,1.3257120669998088,1.0613266583228937,1.1623519298039524,0.9222254169062747,1.8484848484848515,2.755942275042478,1.6496924128503077,2.5898411747078818
1000BONK,36,642,50.0,50.0,1.9485981308411215,1.0,0.6885508205968541,0.6169702910893915,0.044143045538702165,91.43302180685359,4.836456558773424,1.0,68.22429906542055,10.639269406392694,77.10280373831776,0.11916131259526198,0.02923269382328897,51.4018691588785,1.6246697484470094,-1.427714402121292,2.4013441883436673,1.9365382681283285,2.2869017957391207,1.7474532730977068,3.3232478728169603,5.08181818181814,3.1190856777493656,5.07971938775509
1000BONK,72,642,50.0,50.0,1.9485981308411215,1.0,0.6885508205968541,0.6169702910893915,0.044143045538702165,93.30218068535827,5.721202003338898,1.0,77.72585669781932,15.641282565130261,83.33333333333334,0.18194493705773623,0.09497098489058553,52.336448598130836,2.49606364118274,-2.1449771699145033,3.6572623491784664,2.746414499605984,3.459995283800949,2.5275327477852825,5.058252427184471,7.417399267399261,4.701415797317351,7.310290415669072
1000CAT,3,198,46.96969696969697,53.03030303030303,2.0353535353535355,1.0,0.7449111648067199,0.6922764450286611,0.03338818164433943,62.121212121212125,1.3577235772357723,1.0,18.68686868686869,2.0,31.818181818181817,0.00045634470861442774,0.015867453184303937,51.010101010101,0.43391843227626276,-0.37303522470721395,0.6479834600868172,0.5,0.5225883058971448,0.40270270270271474,0.8794642857142467,1.4649999999999799,0.8661548731642132,1.2527777777777656
1000CAT,6,198,46.96969696969697,53.03030303030303,2.0353535353535355,1.0,0.7449111648067199,0.6922764450286611,0.03338818164433943,71.21212121212122,1.7872340425531914,1.0,28.78787878787879,2.982456140350877,42.92929292929293,0.07213503819118372,0.04050952512733019,53.03030303030303,0.6276752322620691,-0.526682872141689,0.9220981335681709,0.7087712939470796,0.7294090444089072,0.6568627450980324,1.3429487179487156,1.999999999999996,1.1186868686868805,1.6261180679785034
1000CAT,12,198,46.96969696969697,53.03030303030303,2.0353535353535355,1.0,0.7449111648067199,0.6922764450286611,0.03338818164433943,78.28282828282829,2.470967741935484,1.0,44.44444444444444,5.181818181818182,56.060606060606055,0.04028743657300861,0.09481316848130028,52.52525252525253,0.8778021923379707,-0.76758616571271,1.2929553920014865,1.0000000000000062,1.0847758676305497,0.8571428571428483,1.7994382022472164,2.813559322033896,1.4645593869731768,2.173423423423421
1000CAT,36,198,46.96969696969697,53.03030303030303,2.0353535353535355,1.0,0.7449111648067199,0.6922764450286611,0.03338818164433943,87.87878787878788,4.258620689655173,1.0,64.64646464646465,10.03125,73.23232323232324,0.020388540271555095,0.12920538977251317,51.515151515151516,1.6635774249526132,-1.4450313926152352,2.403861108893066,1.854103343465022,2.1131804351375427,1.6481481481481337,2.9999999999999827,4.99833333333332,2.850168756026993,4.880350877193033
1000CAT,72,198,46.96969696969697,53.03030303030303,2.0353535353535355,1.0,0.7449111648067199,0.6922764450286611,0.03338818164433943,91.91919191919192,6.252747252747253,2.0,79.29292929292929,17.67515923566879,83.33333333333334,0.12429212067846918,-0.1649632931162992,48.98989898989899,2.459352177031761,-2.238321908314166,3.4771127785902576,2.476190476190487,3.377671952697063,2.4216374269005856,4.563186813186876,7.862443778110984,4.3253119429589,7.267751937984482
1000CHEEMS,3,252,43.25396825396825,56.74603174603175,2.0912698412698414,1.0,0.5879439228178736,0.47445021560488243,0.013032830004219445,65.07936507936508,1.4024390243902438,1.0,19.841269841269842,1.9,31.746031746031743,0.011485905412718532,-0.007494533463542341,47.22222222222222,0.34048408158890675,-0.30929767518612206,0.7224071881566934,0.5017943698732298,0.5361729619344802,0.46332737030408533,1.0568759071117628,1.8513333333333588,0.8648353062274855,1.351661129568092
1000CHEEMS,6,252,43.25396825396825,56.74603174603175,2.0912698412698414,1.0,0.5879439228178736,0.47445021560488243,0.013032830004219445,75.79365079365078,1.87434554973822,1.0,35.317460317460316,3.2134831460674156,46.03174603174603,0.0034168775020467796,-0.008161623403007967,47.61904761904761,0.5102941898369984,-0.4822286968331525,1.0629697417914004,0.6308579668348897,0.8663907867384615,0.6947679324894444,1.4621710526315725,2.465333333333319,1.23560606060605,1.876848484848433
1000CHEEMS,12,252,43.25396825396825,56.74603174603175,2.0912698412698414,1.0,0.5879439228178736,0.47445021560488243,0.013032830004219445,82.93650793650794,2.535885167464115,1.0,51.98412698412699,5.0458015267175576,61.50793650793651,-0.009516264398978774,0.009911061559886303,50.79365079365079,0.730260600216468,-0.7050712241545305,1.468975820014013,1.0269076778143926,1.3597898320511714,1.0268567639256854,2.0478773584905867,3.0442424242424506,1.6864587369236845,2.8619230769230817
1000CHEEMS,36,252,43.25396825396825,56.74603174603175,2.0912698412698414,1.0,0.5879439228178736,0.47445021560488243,0.013032830004219445,93.25396825396825,4.5574468085106385,2.0,75.79365079365078,10.256544502617801,80.95238095238095,-0.01708157120390748,-0.027089461090534783,49.2063492063492,1.3628718922658947,-1.4079836164790824,2.8862315669464325,1.9571384990848468,2.9392982005668857,1.9624505928853861,3.4660625444207467,6.760000000000145,3.499999999999937,5.9747978436658045
1000CHEEMS,72,252,43.25396825396825,56.74603174603175,2.0912698412698414,1.0,0.5879439228178736,0.47445021560488243,0.013032830004219445,96.82539682539682,6.213114754098361,2.0,88.09523809523809,15.4009009009009,90.07936507936508,-0.14801471769927502,-0.30923199258031664,41.66666666666667,2.146487170642332,-2.248673575351285,4.376544653218859,2.760024549918112,4.748114893582099,3.056193208990903,5.066964285714109,10.563909774436082,6.047857142857273,10.678614457831348
1000FLOKI,3,653,50.22970903522205,49.77029096477795,2.214395099540582,1.0,0.6237622627437049,0.5460970125281017,0.028602262092258905,62.32771822358346,1.4054054054054055,1.0,15.926493108728943,2.1538461538461537,27.871362940275652,0.0349483513944397,0.04012197079121815,52.220520673813176,0.3605690125798477,-0.2839995263606668,0.659161815061908,0.4838709677419196,0.49518933412090915,0.3750000000000271,0.925925925925905,1.6037209302325435,0.7941176470588123,1.1779922779922622
1000FLOKI,6,653,50.22970903522205,49.77029096477795,2.214395099540582,1.0,0.6237622627437049,0.5460970125281017,0.028602262092258905,72.74119448698315,1.9073684210526316,1.0,26.79938744257274,3.297142857142857,41.807044410413475,0.060169772203652105,0.019000570017091434,50.84226646248086,0.5208604704352299,-0.4197258088304226,0.9425926683079374,0.7124999999999883,0.7342164203827375,0.5714285714285762,1.302158273381297,2.0666666666666553,1.0357142857142971,1.6795932203389914
1000FLOKI,12,653,50.22970903522205,49.77029096477795,2.214395099540582,1.0,0.6237622627437049,0.5460970125281017,0.028602262092258905,81.01071975497703,2.6502835538752363,1.0,45.0229709035222,5.690476190476191,58.652373660030634,0.0065909998371156695,-0.008862105636298079,49.004594180704444,0.7401487548085846,-0.6782854103550937,1.3075146202734527,0.9677419354838392,1.1814444269668278,0.9000000000000347,1.7216981132075322,2.9838637094181872,1.6153846153846256,2.588019427954673
1000FLOKI,36,653,50.22970903522205,49.77029096477795,2.214395099540582,1.0,0.6237622627437049,0.5460970125281017,0.028602262092258905,89.43338437978561,4.5479452054794525,2.0,68.30015313935681,11.5,77.4885145482389,0.07659995507595015,0.0,49.77029096477795,1.4210859887179608,-1.299823822993006,2.4784054426534117,1.7164179104477277,2.2308321262751147,1.7058823529411333,3.2380952380952635,5.302631578947317,2.9999999999999636,4.729192546583845
1000FLOKI,72,653,50.22970903522205,49.77029096477795,2.214395099540582,1.0,0.6237622627437049,0.5460970125281017,0.028602262092258905,92.80245022970904,6.146864686468647,2.0,78.71362940275651,16.731517509727627,83.76722817764166,0.17588895552966605,0.01922337562476617,50.22970903522205,2.312338795652397,-2.0665287015347893,3.891302291876503,2.594202898550739,3.5246555172552037,2.6410256410256214,4.898734177215194,8.717948717948389,4.582222222222218,7.524426559356102
1000LUNC,3,656,51.67682926829268,48.323170731707314,2.153963414634146,1.0,0.49111433216042005,0.4185452833692205,0.041020089167620115,60.213414634146346,1.3974683544303796,1.0,21.49390243902439,2.0354609929078014,30.945121951219512,0.017898525541119918,0.0,49.390243902439025,0.3222172398381069,-0.25838529753614164,0.7359655201816303,0.5333333333333673,0.5526796612312218,0.4473684210526294,1.000000000000007,1.6899038461538591,0.8888888888888717,1.3831561392536798
1000LUNC,6,656,51.67682926829268,48.323170731707314,2.153963414634146,1.0,0.49111433216042005,0.4185452833692205,0.041020089167620115,70.57926829268293,1.8898488120950323,1.0,34.146341463414636,3.111607142857143,44.81707317073171,0.006897594326244147,0.00928683113085027,50.15243902439024,0.450665803376983,-0.38683959733208173,1.0231404347565787,0.7082066869300798,0.8368718454552053,0.6408730158730048,1.3656789319439773,2.250000000000009,1.220390720390724,1.9869565217391183
1000LUNC,12,656,51.67682926829268,48.323170731707314,2.153963414634146,1.0,0.49111433216042005,0.4185452833692205,0.041020089167620115,78.5060975609756,2.5941747572815532,1.0,47.5609756097561,4.759615384615385,56.70731707317073,0.06246860534996557,0.056747814440472055,51.829268292682926,0.6462992142137209,-0.55013366793736,1.4700379525635947,1.021903859815271,1.2020270014206642,0.8965517241379228,2.0890269151138963,3.1644144144143826,1.737499999999996,2.6642156862745194
1000LUNC,36,656,51.67682926829268,48.323170731707314,2.153963414634146,1.0,0.49111433216042005,0.4185452833692205,0.041020089167620115,86.89024390243902,4.419298245614035,2.0,71.1890243902439,10.599571734475374,76.0670731707317,0.013385250032293593,0.035445639300024645,51.0670731707317,1.2515889531548428,-1.1047114158924682,2.817923386348139,2.1037472593183173,2.5980511103499127,1.7936105476673758,3.733974358974381,6.126984126984258,3.1124031007752295,4.814646946564779
