symbol,file,bars,raw_duration_events,kept_failure_rows,first_ts,last_ts
AEVO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AEVO_5m.csv,191055,349,1715,2024-03-13 22:30:00,2026-01-12 08:10:00
AGIX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGIX_5m.csv,305412,349,1690,2023-02-16 23:15:00,2026-01-12 10:10:00
AGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGLD_5m.csv,256878,459,2290,2023-07-29 11:30:00,2026-01-12 09:15:00
AGT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AGT_5m.csv,66357,108,525,2025-05-20 19:30:00,2026-01-12 06:55:00
AI16Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI16Z_5m.csv,106071,156,760,2025-01-02 22:45:00,2026-01-12 07:20:00
AI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AI_5m.csv,209794,375,1835,2024-01-08 21:30:00,2026-01-12 08:25:00
AIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIA_5m.csv,31530,85,405,2025-09-18 17:30:00,2026-01-12 06:40:00
AIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIN_5m.csv,51665,87,415,2025-07-10 19:45:00,2026-01-12 06:50:00
AIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIO_5m.csv,41863,60,280,2025-08-13 20:30:00,2026-01-12 06:45:00
AIOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIOT_5m.csv,72094,177,830,2025-04-30 21:30:00,2026-01-12 07:00:00
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,109759,191,925,2024-12-21 03:30:00,2026-01-12 07:25:00
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,29178,65,320,2025-09-26 21:30:00,2026-01-12 06:40:00
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,119062,133,655,2024-11-18 20:30:00,2026-01-12 07:30:00
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,104655,248,1190,2025-01-07 20:45:00,2026-01-12 07:20:00
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,586326,827,4075,2020-06-16 18:00:00,2026-01-12 14:25:00
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,507747,673,3330,2021-03-16 12:00:00,2026-01-12 12:10:00
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,43903,44,215,2025-08-06 18:30:00,2026-01-12 06:45:00
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,15649,23,115,2025-11-18 22:35:00,2026-01-12 06:35:00
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,144428,162,775,2024-08-22 19:30:00,2026-01-12 07:55:00
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,540251,718,3475,2020-11-23 16:00:00,2026-01-12 12:50:00
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,70400,153,755,2025-05-06 18:45:00,2026-01-12 07:00:00
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,204879,359,1775,2024-01-25 23:00:00,2026-01-12 08:25:00
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,291624,327,1600,2023-03-30 21:00:00,2026-01-12 09:45:00
