candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
V3MIX07_N02_stop255_rr630_t375,0.0,14.803514321510857
V4R00_top1_ref_stop260_rr625_t390_ff15,0.0,14.809636320289865
V4R01_stop260_rr625_t405_ff15,0.0,14.809636320289743
V4R02_stop260_rr625_t420_ff16,0.0,14.81020589207953
V4R03_stop260_rr630_t390_ff15,0.0,14.809636320289844
V4R04_stop258_rr625_t390_ff15,0.0,14.807188944868898
V4R05_stop262_rr620_t390_ff15,0.0,14.81208179975927
V4R06_stop262_rr625_t405_ff16,0.0,14.812651359764095
V4R07_stop255_rr625_t390_ff15,0.0,14.803514321510969
V4R08_stop260_rr615_t390_ff15,0.0,14.809636320289755
