combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v9_L30_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,2645.7835803778753,2717.054145908335,64.41087442083659,1002.5649376203467,26,68,0,0,True,False,30.0,0.02,0.6,0.0004,50,2645.7835803778753,1
short_max_v9_L25_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,1650.869315687429,1688.6305499107725,57.626187029588834,757.9109639508274,26,68,0,0,True,False,25.0,0.02,0.5,0.0004,50,1650.869315687429,2
short_max_v9_L20_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,979.5036345361575,998.0747922729627,49.59548447521922,553.4792791449297,26,68,0,0,True,False,20.0,0.02,0.4,0.0004,50,979.5036345361575,3
short_max_v9_L30_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,979.5036345361575,998.0747922729627,49.59548447521922,553.4792791449297,26,68,0,0,True,False,30.0,0.013333333333333334,0.4,0.0004,75,979.5036345361575,4
short_max_v9_L25_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,666.0899121055261,677.051406978457,43.44204214404127,439.4844072780101,26,68,0,0,True,False,25.0,0.013333333333333334,0.33333333333333337,0.0004,75,666.0899121055261,5
short_max_v9_L15_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,541.0638038234964,549.3111163718926,40.098256540944476,388.94867918022055,26,68,0,0,True,False,15.0,0.02,0.3,0.0004,50,541.0638038234964,6
short_max_v9_L30_SPLIT100,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,541.0638038234964,549.3111163718926,40.098256540944476,388.94867918022055,26,68,0,0,True,False,30.0,0.01,0.3,0.0004,100,541.0638038234964,7
short_max_v9_L20_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,433.9009819274445,440.00053945558875,36.563202576744615,342.55904829892813,26,68,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,75,433.9009819274445,8
short_max_v9_L25_SPLIT100,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,386.33281245011136,391.53914660011446,34.72066361313247,320.87349298222665,26,68,0,0,True,False,25.0,0.01,0.25,0.0004,100,386.33281245011136,9
short_max_v9_L12_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,359.5688476093013,364.29050056188527,33.590351145759385,308.33369108674407,26,68,0,0,True,False,12.0,0.02,0.24,0.0004,50,359.5688476093013,10
short_max_v9_L30_SPLIT125,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,359.5688476093013,364.29050056188527,33.590351145759385,308.33369108674407,26,68,0,0,True,False,30.0,0.008,0.24,0.0004,125,359.5688476093013,11
short_max_v9_L10_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,264.7032429981853,267.82211281443614,28.87637824756581,261.60840823995136,26,68,0,0,True,False,10.0,0.02,0.2,0.0004,50,264.7032429981853,12
short_max_v9_L15_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,264.7032429981853,267.82211281443614,28.87637824756581,261.60840823995136,26,68,0,0,True,False,15.0,0.013333333333333334,0.2,0.0004,75,264.7032429981853,13
