combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return,mdd_limit
short_max_v9_L3_SPLIT100,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,23.55095289936646,23.708661373233753,4.961504229582047,117.57085090684143,26,68,0,0,True,False,3.0,0.01,0.03,0.0004,100,23.55095289936646,74,5
short_max_v9_L3_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,51.58941567127266,51.97674902556238,9.683947283179776,137.25940076723649,26,68,0,0,True,False,3.0,0.02,0.06,0.0004,50,51.58941567127266,48,10
short_max_v9_L7_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,88.85893280949331,89.61031057798125,14.664312828877598,161.8052614790197,26,68,0,0,True,False,7.0,0.013333333333333334,0.09333333333333334,0.0004,75,88.85893280949331,36,15
short_max_v9_L25_SPLIT200,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,131.18179885788587,132.41475110075604,19.14838310180147,187.91108417488493,26,68,0,0,True,False,25.0,0.005,0.125,0.0004,200,131.18179885788587,25,20
short_max_v9_L25_SPLIT150,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,198.9429475542467,201.07130465710102,24.70170550335709,226.7015576255889,26,68,0,0,True,False,25.0,0.006666666666666667,0.16666666666666669,0.0004,150,198.9429475542467,17,25
short_max_v9_L10_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,264.7032429981853,267.82211281443614,28.87637824756581,261.60840823995136,26,68,0,0,True,False,10.0,0.02,0.2,0.0004,50,264.7032429981853,12,30
short_max_v9_L20_SPLIT75,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,433.9009819274445,440.00053945558875,36.563202576744615,342.55904829892813,26,68,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,75,433.9009819274445,8,40
short_max_v9_L20_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,979.5036345361575,998.0747922729627,49.59548447521922,553.4792791449297,26,68,0,0,True,False,20.0,0.02,0.4,0.0004,50,979.5036345361575,3,50
short_max_v9_L25_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,1650.869315687429,1688.6305499107725,57.626187029588834,757.9109639508274,26,68,0,0,True,False,25.0,0.02,0.5,0.0004,50,1650.869315687429,2,60
short_max_v9_L30_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,2645.7835803778753,2717.054145908335,64.41087442083659,1002.5649376203467,26,68,0,0,True,False,30.0,0.02,0.6,0.0004,50,2645.7835803778753,1,70
short_max_v9_L30_SPLIT50,SHORT_MAX_V9_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,868,146,722,16.82027649769585,2645.7835803778753,2717.054145908335,64.41087442083659,1002.5649376203467,26,68,0,0,True,False,30.0,0.02,0.6,0.0004,50,2645.7835803778753,1,80
