strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,score_rsi_weight,score_wick_weight,short_dev,short_wick_mult,score_min_short,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_baseline_cd,mdd_under_10,cd_delta_vs_baseline,mdd_delta_vs_baseline,trades_delta_vs_baseline,load_errors
short_max_v7_devw120_actual_bar_engine,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,45500,6251,39249,13.738461538461538,1522.7683542126408,1422.7683542126408,1524.4317435070927,1424.4317435070927,6.104584306764704,1431.3715225256192,1.4976180824186338,299,299,3786,0,0,205,45705,45500,0.0004,0.01,1.2,0.8,0.7,0.035,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,False,True,0.0,0.0,0,0
smv8_mix2_01_prev_mix19_all_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61904,7445,54459,12.026686482295167,2288.2800390221355,2188.2800390221355,2288.289007868194,2188.289007868194,6.061916430296432,2149.5748405275644,1.520366331214751,306,306,4172,0,0,979,62883,61904,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,718.2033180019453,-0.04266787646827197,16404,0
smv8_mix2_02_prev_mix18_top2_top3_timereduce6,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,50501,6382,44119,12.637373517356092,2073.439096027405,1973.4390960274047,2073.447230393373,1973.4472303933733,4.814092666588577,1973.629559329422,1.5675065791005796,302,302,3533,0,0,119,50620,50501,0.0004,0.01,1.3,0.8,0.7,0.035,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,542.2580368038027,-1.2904916401761275,5001,0
smv8_mix2_03_prev_mix11_stop2p05,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,60360,8003,52357,13.258780649436714,2290.259817553575,2190.259817553575,2290.8957940756072,2190.8957940756072,6.9651755498923995,2131.33088035314,1.4927729072845821,306,306,3841,0,0,1112,61472,60360,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.05,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,699.9593578275208,0.8605912431276952,14860,0
smv8_mix2_04_prev_mix10_stop1p95,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61265,8138,53127,13.28327756467804,2197.274767524511,2097.274767524511,2197.8842111648673,2097.8842111648673,7.333876816564777,2036.6940905473095,1.4643878934486063,310,310,4403,0,0,643,61908,61265,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.95,5.5,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,605.3225680216904,1.2292925098000724,15765,0
smv8_mix2_05_all_timereduce6_stop2p05,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61623,7448,54175,12.086396313064927,2479.6460776828903,2379.6460776828903,2479.6557965903658,2379.6557965903658,5.590584429099765,2341.028545730915,1.5440525528393403,306,306,3870,0,0,934,62557,61623,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.05,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,909.6570232052959,-0.513999877664939,16123,0
smv8_mix2_06_all_timereduce6_stop1p95,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62506,7613,54893,12.179630755447477,2482.3931187787284,2382.3931187787284,2482.4028370943897,2382.4028370943897,6.439599923913097,2322.546025885643,1.5220508260290833,313,313,4436,0,0,358,62864,62506,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.95,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,891.1745033600237,0.3350156171483931,17006,0
smv8_mix2_07_all_timereduce6_stop2p10,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61313,7423,53890,12.106731035832532,2539.2397349563366,2439.2397349563366,2539.2496874476406,2439.2496874476406,5.749494552844203,2393.255664984725,1.5536052573499515,306,306,3619,0,0,946,62259,61313,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.1,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,961.884142459106,-0.35508975392050157,15813,0
smv8_mix2_08_all_timereduce6_stop1p90,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62887,7629,55258,12.131283095075293,2426.458099278453,2326.458099278453,2426.467598608356,2326.467598608356,6.251966776493845,2274.7656505009736,1.5154235338537572,313,313,4762,0,0,375,63262,62887,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,1.9,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,843.3941279753544,0.14738246972914038,17387,0
smv8_mix2_09_all_timereduce6_rr5p35,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62195,7615,54580,12.243749497548034,2636.247398102539,2536.247398102539,2636.2577307963893,2536.2577307963893,6.063386982003271,2476.411222735226,1.5377016764795421,306,306,4176,0,0,373,62568,62195,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.35,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,1045.039700209607,-0.04119732476143323,16695,0
smv8_mix2_10_all_timereduce6_rr5p40,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,62184,7611,54573,12.239482825164028,2651.050303114342,2551.050303114342,2651.0606938277415,2551.0606938277415,6.061879010116389,2490.3566020831518,1.5368714963000987,306,306,4176,0,0,379,62563,62184,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.4,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,1058.9850795575326,-0.04270529664831546,16684,0
smv8_mix2_11_all_timereduce6_rr5p60,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61893,7437,54456,12.015898405312395,2256.526192925541,2156.526192925541,2256.5350373133365,2156.5350373133365,6.206786652235197,2116.476721814362,1.51969730641594,306,306,4172,0,0,966,62859,61893,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.6,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,685.1051992887428,0.10220234547049234,16393,0
smv8_mix2_12_all_timereduce6_rr5p70,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,61912,7427,54485,11.996058922341387,2212.7898063908915,2112.7898063908915,2212.798479355211,2112.798479355211,6.206824752023121,2075.4539556262002,1.5143623491444882,306,306,4172,0,0,907,62819,61912,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.7,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,644.082433100581,0.10224044525841691,16412,0
