active,date,equity,scenario,spec
1,2019-12-01,99.9708518690658,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-02,99.97581875876813,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2019-12-04,99.98427082074049,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-05,100.00511054972462,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-08,99.99850589080303,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-09,100.00350781673457,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-10,100.00549600192393,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-12,100.00043864508359,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2019-12-13,100.00155076506574,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-14,99.99964697494431,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-17,100.0110858845009,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-18,100.0252053528079,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-19,100.02256942927609,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2019-12-21,100.02650732571031,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2019-12-22,100.02280065341964,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-23,99.97721063702954,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2019-12-24,99.98807942997477,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2019-12-25,100.00826955080029,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-26,99.99893698371537,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-27,100.01148228005106,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-28,99.96850911393862,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2019-12-29,99.96139417877798,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2019-12-30,99.940393609149,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2019-12-31,99.96494383113425,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-01,99.98918474786186,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-01-03,99.94054604402935,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-04,99.88275057326177,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-06,99.83037688207968,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-07,99.83444565230033,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-08,99.9254548086771,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-09,99.9529174131907,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-01-10,99.8795869694699,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-11,99.8279412515924,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-12,99.83784900843563,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-14,99.60503827278448,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-15,99.5818972677527,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-16,99.56453616083886,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-01-17,99.39022210335908,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-18,99.31371147647293,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-01-19,99.45427886372691,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-01-20,99.36016383954411,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-21,99.37943289686193,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-01-22,99.39362657099956,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-23,99.36324896020199,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-01-24,99.37767750583983,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-01-25,99.42483754473633,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-01-26,99.3525037019157,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-01-27,99.14369893936015,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
5,2020-01-28,99.10430284022601,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-29,99.01541501690511,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-30,98.97598538300848,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-01-31,98.95071437520258,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-02-01,98.94434677596621,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
5,2020-02-02,98.79755810315783,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-02-03,98.87695913973617,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-02-04,98.9090911025141,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
6,2020-02-05,98.66439673135125,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
5,2020-02-06,98.61171638034244,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-02-07,98.67788814352183,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-02-08,98.69365010324613,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-09,98.74062088061422,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
6,2020-02-10,98.60768973993422,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-02-11,98.60296681459528,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-12,98.2725722335694,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-13,98.1520387252034,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-02-14,98.13220564602753,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
5,2020-02-15,98.1476425480982,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-02-16,98.62736263954676,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-02-17,98.69813963257265,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-02-18,98.67691878784316,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-02-19,98.67856766799108,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-20,98.83771956599404,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-02-21,98.85359057968091,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-02-22,98.87887707796389,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-02-23,98.8827847615204,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-24,99.01793858672129,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-02-25,99.24640371095602,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-02-26,99.65831158284568,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-02-27,99.69304777700195,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
0,2020-02-28,99.69700324122437,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-02-29,99.64858634505262,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-03-01,99.70824526076753,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
5,2020-03-02,99.63663213814819,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-03-03,99.63461987182289,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
6,2020-03-04,99.60989841655821,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-03-05,99.50014810905466,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-03-06,99.41529282232464,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-03-07,99.42283221588457,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-03-08,99.90587502176999,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-03-09,100.47038666426155,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
2,2020-03-10,100.41787539910402,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
1,2020-03-11,100.46527948355076,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
12,2020-03-12,102.07125968993343,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
4,2020-03-13,102.48523625630486,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
3,2020-03-14,102.6139223931055,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
8,2020-03-15,102.63397646122043,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short
