avg_trade_net_return_pct,bankrupt,cd_value,cooldown_bars,entries,exits,fee_per_side,final_equity,final_return_pct,flats,gap_min,horizon,leverage,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,position_fraction,profit_factor_contribution,return_over_mdd,scenario,selected_after_cap,selected_before_cap,slippage_bps,spec,win_rate_pct,wins,z_threshold
0.2108512806712216,False,1515.72018534041,72,140732,140732,0.0004,1907.1810545549904,1807.1810545549904,0,0.0,72,1.0,64354,0,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,1912.2250160291167,BASE,0.01,1.2139073697745812,87.1549740014897,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,140732,140732,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,54.27194952107553,76378,3.75
0.1698968856353517,False,692.9362710732812,72,128401,128401,0.0004,871.899009452157,771.8990094521569,0,0.0,72,1.0,59259,0,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,874.204938929855,EX_2025Q4,0.01,1.137584199991035,37.2263962877502,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,128401,128401,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,53.84849027655548,69142,3.75
0.1697775402028008,False,672.3629386191011,72,126665,126665,0.0004,845.4311112750663,745.4311112750663,0,0.0,72,1.0,58462,0,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,848.2497254528164,PRE_2025Q4,0.01,1.137496249060751,35.94992818197623,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,126665,126665,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,53.84518217344964,68203,3.75
0.6373037400825208,False,209.67655910725145,72,12331,12331,0.0004,218.73875688347397,118.73875688347395,0,0.0,72,1.0,5095,0,1,-4.582371989067968,1.0,96.68798757090596,quick_exit_order,219.74614489811958,ONLY_2025Q4,0.01,1.3840677430912989,25.9120728667916,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,12331,12331,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,58.68137215148812,7236,3.75
0.1786047711273234,False,99.47001413592383,72,1736,1736,0.0004,103.13069838856237,3.1306983885623696,0,0.0,72,1.0,797,0,1,-3.803969933612905,1.0,96.41813533868573,quick_exit_order,103.40345029548234,2026_ENTRY_ONLY,0.01,1.1401082701191751,0.823008184396694,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,1736,1736,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,54.08986175115207,939,3.75
0.2106394615629824,False,1510.3265820491335,72,140704,140704,0.0004,1900.3944602268305,1800.3944602268305,0,0.0,72,1.0,64343,50,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,1905.4204730535284,BASE,0.01,1.2134135974130242,86.82767671672757,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,140704,140732,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,54.27066750056857,76361,3.75
0.16974951585123454,False,691.5445462930752,72,128394,128394,0.0004,870.1478477538205,770.1478477538207,0,0.0,72,1.0,59258,50,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,872.4491458976867,EX_2025Q4,0.01,1.137290817835627,37.14194296089276,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,128394,128401,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,53.846752963534115,69136,3.75
0.16967901165666324,False,671.5018758678967,72,126663,126663,0.0004,844.3484084715425,744.3484084715426,0,0.0,72,1.0,58462,50,1,-20.73526009570149,1.0,80.9277334296052,quick_exit_order,847.1634129862089,PRE_2025Q4,0.01,1.1373054392836477,35.89771264194796,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,126663,126665,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,53.84445339207188,68201,3.75
0.6384013072663199,False,209.7199779826316,72,12313,12313,0.0004,218.784052317863,118.78405231786301,0,0.0,72,1.0,5087,50,1,-4.582371989068045,1.0,96.68806415781938,quick_exit_order,219.7916489378714,ONLY_2025Q4,0.01,1.3851176929232407,25.921957580318814,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,12313,12331,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,58.6859416876472,7226,3.75
0.17490854115278576,False,99.39752764157217,72,1731,1731,0.0004,103.05554425441278,3.0555442544127898,0,0.0,72,1.0,796,50,1,-3.803969933612905,1.0,96.41813533868573,quick_exit_order,103.32809739962829,2026_ENTRY_ONLY,0.01,1.136870306334038,0.803251420946621,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,1731,1736,1.0,btc_rb_z3.75_gap0_cd72_h72_k1_short,54.01502021952629,935,3.75
0.20552542180098943,False,1081.155638353398,144,126021,126021,0.0004,1310.9393453883945,1210.9393453883945,0,0.0,72,1.0,57561,0,1,-17.775949761799847,1.0,83.79823751905492,quick_exit_order,1314.889786165153,BASE,0.01,1.2036355596153019,68.1223429192334,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,126021,126021,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,54.32427928678554,68460,3.75
0.16455458622799,False,537.5286289789029,144,114769,114769,0.0004,651.7724220301292,551.7724220301292,0,0.0,72,1.0,52919,0,1,-17.775949761799847,1.0,83.79823751905492,quick_exit_order,653.7365009649873,EX_2025Q4,0.01,1.132831334057367,31.04039049524526,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,114769,114769,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,53.890859029877404,61850,3.75
0.16486210138264124,False,525.5389560929816,144,113191,113191,0.0004,637.3833795621466,537.3833795621466,0,0.0,72,1.0,52187,0,1,-17.775949761799847,1.0,83.79823751905492,quick_exit_order,639.1547905637267,PRE_2025Q4,0.01,1.1335165329074701,30.23092362226251,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,113191,113191,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,53.89474428178919,61004,3.75
0.6234228469589675,False,193.5193821328564,144,11252,11252,0.0004,201.13452197088952,101.1345219708895,0,0.0,72,1.0,4642,0,1,-4.311146514974162,1.0,97.05995978198654,quick_exit_order,202.23816576832522,ONLY_2025Q4,0.01,1.3878277239785954,23.458845951909296,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,11252,11252,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,58.745111980092425,6610,3.75
0.14249631761574108,False,98.2347148746291,144,1578,1578,0.0004,102.2575176776443,2.257517677644305,0,0.0,72,1.0,732,0,1,-4.222611916741603,1.0,95.94453751718055,quick_exit_order,102.56566486155853,2026_ENTRY_ONLY,0.01,1.1114673769854926,0.5346258955727876,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,1578,1578,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,53.61216730038023,846,3.75
0.20552542180098943,False,1081.155638353398,144,126021,126021,0.0004,1310.9393453883945,1210.9393453883945,0,0.0,72,1.0,57561,50,1,-17.775949761799847,1.0,83.79823751905492,quick_exit_order,1314.889786165153,BASE,0.01,1.2036355596153019,68.1223429192334,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,126021,126021,1.0,btc_rb_z3.75_gap0_cd144_h72_k1_short,54.32427928678554,68460,3.75
