bucket,end_equity,marks,max_drawdown_pct,min_equity,peak_equity,period,return_pct,scenario,spec,start_equity
2019-12,99.96494383113425,3059,-0.14479735340392486,99.90421099836709,100.04907941746858,BASE,-0.0323969119798484,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,99.99733988131779
2020-01,98.95071437520258,5773,-1.1212493865504047,98.91064904786201,100.03226015115939,BASE,-1.040860415406919,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,99.99148617356025
2020-02,99.64858634505262,7536,-1.0677661071028743,97.955261643439,99.92661521262511,BASE,0.7070679700047489,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,98.9489500128557
2020-03,104.33421047838438,8465,-3.272972155205023,99.35774631283307,105.46646417308548,BASE,4.7000925715238395,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,99.65054272240542
2020-04,102.97001726806225,8558,-2.105503814755305,102.46358107686433,104.66735625563015,BASE,-1.312614070576168,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,104.33959345290708
2020-05,101.58477954121237,8440,-2.0876898903760877,101.1512535981446,103.30800436114144,BASE,-1.3456167248217077,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,102.97036600782377
2020-06,101.78681246075668,8457,-1.0602157541646173,100.94376593348173,102.34857511720298,BASE,0.27858057190079943,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,101.50404192027275
2020-07,99.06374198104876,8849,-2.864883691520459,98.93497742080005,101.85294585596063,BASE,-2.6731655823746148,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,101.78461323006806
2020-08,94.70140109726837,8791,-5.574214740862027,93.85090298125233,99.39118083444266,BASE,-4.42113390547857,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,99.08194663411753
2020-09,99.75877979223176,8640,-2.7853784587545616,94.31399972753886,101.72241290126709,BASE,5.345114056406564,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,94.69711119095318
2020-10,101.36766037483679,8928,-2.058517611476862,98.92837634767065,101.99221951661268,BASE,1.6351322721185113,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,99.7368312597207
2020-11,100.90473779778975,8640,-5.398121698016444,97.4774235543709,103.03962807504537,BASE,-0.48069996470069265,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,101.39212972960927
2020-12,104.69952630940685,8928,-2.6731836062332093,100.33534302082059,106.02851970459359,BASE,3.848963642413983,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,100.81903818503345
2021-01,94.85646179788394,8928,-9.868681952209746,94.38967772067623,104.72461710881457,BASE,-9.319829295979554,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,104.60551745926337
2021-02,90.78513174826095,8064,-12.747721530472,84.25400112831645,96.5636687158162,BASE,-4.230454972408526,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,94.79540883493338
2021-03,80.50238296226726,8928,-12.130233257966715,80.38610718715903,91.48323725856167,BASE,-11.465568997016817,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,90.92776906145669
2021-04,78.31431088604427,8640,-7.737975753666415,75.4278089463593,84.68166078711533,BASE,-2.6837446268790477,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,btc_rb_z4_gap1_cd144_h144_k1_short,80.47402829648429
