fee_tag,fee_per_side,axis,strategy,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,symbol_files,errors
fee_010,0.001,long_main,6V2_L01_doubleflush_core,long,462624,135121,250789,29.207520578266582,-99.75188076993706,0.013744059828413313,99.7529821680653,0.24705178221331178,76800,597,0
fee_010,0.001,long_max,8V4_V51_V002_core_rare22_c1,long,479703,132695,283424,27.661907471914915,-99.85882299395185,0.007906525054135471,99.85937892394212,0.14063219429848847,63644,597,0
fee_010,0.001,short_main,short_beh_dd_brake,short,31801,9995,17666,31.429829250652496,-11.653196789045229,1.0510629019771622,15.098629222291727,85.79373758922284,4144,597,0
fee_010,0.001,short_max,short_only_reference_1x,short,37181,12164,20866,32.71563432936177,35.72592751802062,37.062621697393915,8.998988923769613,124.7283715522172,4155,597,0
