experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
short_guarded_split_pure_atr050_2bar_baseline,8695,116.86953281669408,0.16869532816694077,116.86953281669408,0.16869532816694077,0.3562967222541691,1.1193765976091496,-0.03446196325775841,34,34,5977,0
short_guarded_split_pure_atr025_1bar,8588,117.27818343601082,0.1727818343601082,117.27818343601082,0.1727818343601082,0.3561946902654867,1.1229158162083588,-0.019359743397513784,35,35,6485,0
short_guarded_split_pure_wick075_2bar,8673,119.14808102530199,0.19148081025301988,119.14808102530199,0.19148081025301988,0.3572005073215727,1.1350053169302878,-0.021130147489073714,48,48,5686,0
short_guarded_split_pure_wick050_1bar,8598,119.56235284748828,0.19562352847488285,119.56235284748828,0.19562352847488285,0.35636194463828796,1.1390123880697829,-0.017113866623977514,34,34,5930,0
short_guarded_split_atr050_max60_dd025,8675,115.38768070197342,0.15387680701973427,115.38768070197342,0.15387680701973427,0.3549279538904899,1.1089047175230657,-0.03843626953319923,34,34,5977,0
short_guarded_split_atr050_max40_dd025,8675,115.38768070197342,0.15387680701973427,115.38768070197342,0.15387680701973427,0.3549279538904899,1.1089047175230657,-0.03843626953319923,34,34,5977,0
short_guarded_split_atr050_symbol1_reentry48,8695,116.86953281669408,0.16869532816694077,116.86953281669408,0.16869532816694077,0.3562967222541691,1.1193765976091496,-0.03446196325775841,34,34,5977,0
short_guarded_split_atr050_confirm24,6690,111.62778002042168,0.11627780020421685,111.77661884720062,0.11776618847200626,0.35112107623318384,1.0999235350882985,-0.03412122839202181,33,33,5977,1
short_guarded_split_atr050_quiet48,7389,113.52381637462611,0.1352381637462612,113.52381637462611,0.1352381637462612,0.35187440790364055,1.1143140089249928,-0.035189238639353304,37,37,5977,0
short_guarded_split_wick075_max60_dd025,8673,119.14808102530199,0.19148081025301988,119.14808102530199,0.19148081025301988,0.3572005073215727,1.1350053169302878,-0.021130147489073714,48,48,5686,0
short_guarded_split_wick075_symbol1_reentry48,8673,119.14808102530199,0.19148081025301988,119.14808102530199,0.19148081025301988,0.3572005073215727,1.1350053169302878,-0.021130147489073714,48,48,5686,0
short_guarded_split_wick075_confirm24,6632,115.08725897690556,0.1508725897690555,115.41401255087908,0.15414012550879086,0.3508745476477684,1.130137562564217,-0.024933954510861667,33,33,5686,2
