run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,range_ratio_max,body_ratio_max,release_range_min,release_body_min,close_pos_min,upper_wick_max,release_vol_min,atr_ratio_max,vol_ratio_max,stop_atr,rr,hold,cooldown,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_min,ema50_min,ema100_min,fail_bars,fail_pnl,verdict,note
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_012,range_body_local,range_body_grid,long,5259,1746,3513,33.20022818026241,-3.51659102245927,0.0,18.983133971687472,81.01686602831253,597,0,0.01,0.0004,0.08,RB22_A_012,0.62,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_013,range_body_local,range_body_grid,long,4783,1587,3196,33.18001254442818,-3.782986971347835,0.0,17.08695019499329,82.91304980500671,597,0,0.01,0.0004,0.08,RB22_A_013,0.68,0.55,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_014,range_body_local,range_body_grid,long,11233,3690,7543,32.84963945517671,-10.466719227143894,0.0,34.78369862752425,65.21630137247575,597,0,0.01,0.0004,0.08,RB22_A_014,0.68,0.65,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_015,range_body_local,range_body_grid,long,16386,5383,11003,32.85121445136092,-14.467314380591457,0.0,45.64856284610915,54.35143715389085,597,0,0.01,0.0004,0.08,RB22_A_015,0.68,0.75,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_016,range_body_local,range_body_grid,long,17562,5785,11777,32.940439585468624,-14.894921421421902,0.0,47.780340989901084,52.219659010098916,597,0,0.01,0.0004,0.08,RB22_A_016,0.68,0.8,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_017,range_body_local,range_body_grid,long,18351,6044,12307,32.935534848237154,-15.467215309443361,0.0,49.14608871398555,50.85391128601445,597,0,0.01,0.0004,0.08,RB22_A_017,0.68,0.88,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_018,range_body_local,range_body_grid,long,18529,6103,12426,32.937557342544125,-15.681004672852616,0.0,49.442518783811565,50.557481216188435,597,0,0.01,0.0004,0.08,RB22_A_018,0.68,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_019,range_body_local,range_body_grid,long,6796,2208,4588,32.489699823425546,-5.781034314964117,0.0,22.596364161927298,77.4036358380727,597,0,0.01,0.0004,0.08,RB22_A_019,0.72,0.55,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_020,range_body_local,range_body_grid,long,19263,6289,12974,32.64808181487827,-17.503519956523927,0.0,50.37252828823648,49.62747171176352,597,0,0.01,0.0004,0.08,RB22_A_020,0.72,0.65,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_021,range_body_local,range_body_grid,long,32455,10718,21737,33.02418733631182,-26.15949696324822,0.0,68.37802364520671,31.62197635479329,597,0,0.01,0.0004,0.08,RB22_A_021,0.72,0.75,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_022,range_body_local,range_body_grid,long,36499,12051,24448,33.01734294090249,-28.827608088291846,0.0,72.42956910424114,27.570430895758857,597,0,0.01,0.0004,0.08,RB22_A_022,0.72,0.8,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_023,range_body_local,range_body_grid,long,39749,13110,26639,32.98196181036001,-30.967352015880323,0.0,75.19951128402609,24.800488715973913,597,0,0.01,0.0004,0.08,RB22_A_023,0.72,0.88,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_024,range_body_local,range_body_grid,long,40749,13435,27314,32.97013423642298,-31.69914863239426,0.0,75.97382520911006,24.026174790889943,597,0,0.01,0.0004,0.08,RB22_A_024,0.72,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_025,range_body_local,range_body_grid,long,10013,3202,6811,31.978428043543396,-9.667975175622045,0.0,30.23937470295589,69.76062529704411,597,0,0.01,0.0004,0.08,RB22_A_025,0.78,0.55,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_026,range_body_local,range_body_grid,long,35652,11588,24064,32.503085380904295,-30.32635012692959,0.0,70.85598069759918,29.144019302400825,597,0,0.01,0.0004,0.08,RB22_A_026,0.78,0.65,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_027,range_body_local,range_body_grid,long,74419,24455,49964,32.86123167470672,-51.188101099438946,0.0,91.92426175080107,8.075738249198938,597,0,0.01,0.0004,0.08,RB22_A_027,0.78,0.75,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_028,range_body_local,range_body_grid,long,91711,30186,61525,32.91426328357558,-57.90345849073953,0.0,95.40242891019817,4.597571089801833,597,0,0.01,0.0004,0.08,RB22_A_028,0.78,0.8,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_029,range_body_local,range_body_grid,long,109875,36294,73581,33.0320819112628,-63.97633689976689,0.0,97.42186411354845,2.578135886451549,597,0,0.01,0.0004,0.08,RB22_A_029,0.78,0.88,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_030,range_body_local,range_body_grid,long,117544,38912,78632,33.104199278568025,-66.17870290600392,0.0,97.95810401863322,2.0418959813667814,597,0,0.01,0.0004,0.08,RB22_A_030,0.78,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_031,range_body_local,range_body_grid,long,12685,4077,8608,32.14032321639732,-12.053546015426875,0.0,35.46822042581195,64.53177957418805,597,0,0.01,0.0004,0.08,RB22_A_031,0.84,0.55,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_032,range_body_local,range_body_grid,long,52600,17005,35595,32.32889733840304,-41.76871654521456,0.0,82.75402687481966,17.24597312518035,597,0,0.01,0.0004,0.08,RB22_A_032,0.84,0.65,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_033,range_body_local,range_body_grid,long,132551,43436,89115,32.76927371351404,-72.3048082140328,0.0,98.69055633615076,1.3094436638492413,597,0,0.01,0.0004,0.08,RB22_A_033,0.84,0.75,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_034,range_body_local,range_body_grid,long,178539,58578,119961,32.809638230302625,-81.76723446661842,0.0,99.70060062743717,0.29939937256283633,597,0,0.01,0.0004,0.08,RB22_A_034,0.84,0.8,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_035,range_body_local,range_body_grid,long,241669,79338,162331,32.8292002697905,-89.73261217433482,0.0,99.95937157496014,0.040628425039856975,597,0,0.01,0.0004,0.08,RB22_A_035,0.84,0.88,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_036,range_body_local,range_body_grid,long,278781,91746,187035,32.909703315505716,-92.55144414853548,0.0,99.9871056791034,0.012894320896605915,597,0,0.01,0.0004,0.08,RB22_A_036,0.84,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_037,range_body_local,range_body_grid,long,14432,4618,9814,31.998337028824835,-13.797255566603317,0.0,38.556906813437934,61.443093186562066,597,0,0.01,0.0004,0.08,RB22_A_037,0.9,0.55,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_038,range_body_local,range_body_grid,long,65424,21053,44371,32.17932257275618,-49.125524965818165,0.0,88.18717899183957,11.812821008160423,597,0,0.01,0.0004,0.08,RB22_A_038,0.9,0.65,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_039,range_body_local,range_body_grid,long,186922,60925,125997,32.593809182439735,-83.76094784032895,0.0,99.74496698544559,0.25503301455441774,597,0,0.01,0.0004,0.08,RB22_A_039,0.9,0.75,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_040,range_body_local,range_body_grid,long,270909,88412,182497,32.635312964870124,-92.55840547807695,0.0,99.9820321975217,0.01796780247829144,597,0,0.01,0.0004,0.08,RB22_A_040,0.9,0.8,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_041,range_body_local,range_body_grid,long,410302,134032,276270,32.66666991630555,-97.93315319227666,0.0,99.99977195526091,0.0002280447390923257,597,0,0.01,0.0004,0.08,RB22_A_041,0.9,0.88,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_A_042,range_body_local,range_body_grid,long,517363,169489,347874,32.760170325284186,-99.1917409936151,0.0,99.99999172625044,8.27374955214566e-06,597,0,0.01,0.0004,0.08,RB22_A_042,0.9,0.96,1.1,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_043,release_quality,release_grid,long,54273,18153,36120,33.447570615223036,-38.522151555969145,0.0,84.41375497505199,15.58624502494801,597,0,0.01,0.0004,0.08,RB22_B_043,0.72,0.8,0.95,0.35,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_044,release_quality,release_grid,long,49951,16680,33271,33.392724870372966,-36.12201050085638,0.0,82.18802199015613,17.811978009843866,597,0,0.01,0.0004,0.08,RB22_B_044,0.72,0.8,0.95,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_045,release_quality,release_grid,long,45291,15020,30271,33.16332163122917,-34.50461218132828,0.0,79.31600595639547,20.683994043604525,597,0,0.01,0.0004,0.08,RB22_B_045,0.72,0.8,0.95,0.55,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_046,release_quality,release_grid,long,36430,11970,24460,32.8575349986275,-30.565776123347277,0.0,72.24002600510313,27.759973994896868,597,0,0.01,0.0004,0.08,RB22_B_046,0.72,0.8,0.95,0.7,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_047,release_quality,release_grid,long,43893,14612,29281,33.29004624883239,-32.927170987043944,0.0,78.24903806725511,21.750961932744882,597,0,0.01,0.0004,0.08,RB22_B_047,0.72,0.8,1.05,0.35,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_048,release_quality,release_grid,long,40966,13607,27359,33.21534931406532,-31.260254739147207,0.0,76.1983356708173,23.801664329182703,597,0,0.01,0.0004,0.08,RB22_B_048,0.72,0.8,1.05,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_049,release_quality,release_grid,long,37871,12534,25337,33.0965646536928,-30.071834884354566,0.0,73.68200660180881,26.317993398191184,597,0,0.01,0.0004,0.08,RB22_B_049,0.72,0.8,1.05,0.55,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_050,release_quality,release_grid,long,32047,10530,21517,32.857989827440946,-27.537019080296055,0.0,67.99786326248424,32.002136737515755,597,0,0.01,0.0004,0.08,RB22_B_050,0.72,0.8,1.05,0.7,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_051,release_quality,release_grid,long,33962,11189,22773,32.94564513279548,-27.798444161550517,0.0,69.95041083257512,30.049589167424884,597,0,0.01,0.0004,0.08,RB22_B_051,0.72,0.8,1.15,0.35,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_052,release_quality,release_grid,long,32156,10569,21587,32.86789401666874,-26.619983461980247,0.0,68.17422832792658,31.82577167207341,597,0,0.01,0.0004,0.08,RB22_B_052,0.72,0.8,1.15,0.45,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_053,release_quality,release_grid,long,30184,9901,20283,32.80214683275908,-25.56673908141873,0.0,66.06255350740392,33.93744649259608,597,0,0.01,0.0004,0.08,RB22_B_053,0.72,0.8,1.15,0.55,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_054,release_quality,release_grid,long,26561,8656,17905,32.58913444523926,-24.025595376600016,0.0,61.71240805126361,38.28759194873639,597,0,0.01,0.0004,0.08,RB22_B_054,0.72,0.8,1.15,0.7,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
LONG_RANGE_BODY_COMPRESSION_V22_1H,RB22_B_055,release_quality,release_grid,long,21645,6978,14667,32.23839223839224,-21.497368588210342,0.0,54.708356277330324,45.291643722669676,597,0,0.01,0.0004,0.08,RB22_B_055,0.72,0.8,1.3,0.35,0.58,0.62,1.05,1.1,1.2,0.85,2.0,12,24,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,5,-0.42,invalid_no_peak,max_return <= 0
