horizon,events,mean_return_pct,win_rate_pct,profit_factor,t_stat,avg_mae_pct,p95_mae_pct,avg_mfe_pct,mfe_mae_ratio,rank_score
16,155,-0.08410017305242301,38.064516129032256,0.8856459728223789,-0.4426867183953483,1.526251701256866,4.076364710462241,1.5061976573231164,0.9868605919212178,-0.08410017305242301
288,155,-0.1065164927510776,55.483870967741936,0.9735954277339667,-0.10616785614457998,9.63068967836311,29.078887006748612,7.722233757260886,0.8018360070940842,-0.1065164927510776
1,155,-0.15531396862398564,32.903225806451616,0.43422567676925605,-3.4627028782512728,0.38794235391777654,1.0482327241856078,0.3357567280214883,0.8654809783740477,-0.15531396862398564
3,155,-0.17038708292996485,36.12903225806451,0.5719635092731276,-2.523942364714876,0.6777875816898227,2.0759349640092823,0.5657088818830116,0.8346403757835418,-0.17038708292996485
2,155,-0.1776307118282073,36.12903225806451,0.5011745199224646,-3.1345387942068608,0.5587411624717488,1.6813941881617664,0.45219730872259495,0.8093144716995128,-0.1776307118282073
4,155,-0.1983185276034988,36.774193548387096,0.5763990881945217,-2.4091392758945998,0.7931754009634552,2.2677521796612585,0.6621801046682186,0.8348470008826308,-0.1983185276034988
6,155,-0.23513256672417077,37.41935483870968,0.563001242838155,-2.594354973953173,0.9569006235059252,2.2941059784320794,0.819744521486732,0.8566663051000261,-0.23513256672417077
12,155,-0.2526335123697198,38.70967741935484,0.6167608661773523,-2.210087548065807,1.3780785832326186,3.653449071308548,1.0702524554997765,0.7766265788626067,-0.2526335123697198
8,155,-0.30120438114371134,36.12903225806451,0.5199312861183741,-2.8618325839880066,1.130503201310317,3.647553003156724,0.9177939003048465,0.8118454677890975,-0.30120438114371134
24,155,-0.4446661782674372,37.41935483870968,0.6021572229332277,-2.1169404690029374,2.024055280484469,4.830398943978177,1.833750335462893,0.9059783856417076,-0.4446661782674372
36,155,-0.5026495845957046,35.483870967741936,0.639203494039206,-1.8107914971609917,2.662241102530028,6.5605121408962255,2.263581940746584,0.8502542983786919,-0.5026495845957046
48,155,-0.6722659988408667,40.0,0.6129349735913545,-2.120465900745991,3.2030377828345498,8.549412011433533,2.6146070492385736,0.8162897931615279,-0.6722659988408667
192,155,-0.8732765206235829,50.32258064516129,0.765256433561051,-0.9874584719562401,8.133247473804639,25.00908174815157,5.741844402078983,0.7059719282577067,-0.8732765206235829
144,155,-0.9482340720048956,46.45161290322581,0.7041970185529075,-1.5380414361486527,6.873042826774715,23.446037686338183,4.742533188393763,0.6900194437780438,-0.9482340720048956
72,155,-1.1493154299523045,34.83870967741935,0.5196915913898168,-2.7977174672723377,4.333710116989464,12.842680975904802,3.203740583197662,0.7392604712156502,-1.1493154299523045
96,155,-1.8038880516787752,38.70967741935484,0.4382648695152278,-3.461082569159997,5.497879283956066,16.468596659237104,3.538844153959304,0.6436744008342223,-1.8038880516787752
