break_slip_bucket,horizon,events,win_rate_pct,mean_return_pct,median_return_pct,p05_return_pct,p25_return_pct,p75_return_pct,p95_return_pct,profit_factor,t_stat,avg_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct,max_mfe_pct,mfe_mae_ratio,avg_box_width_pct,avg_first_break_bars,avg_break_slip_pct,avg_break_slip_r_box
"(0.00541, 0.07]",1,31,41.935483870967744,-0.09532527136144059,-0.04932515337423651,-0.7652101649114877,-0.35099558607639914,0.11053173535034579,0.47467408341049755,0.5252303560311257,-1.2901830336527924,0.2396493466742064,0.7819488805777902,0.8997452645133126,0.9440738840430886,0.3308483111360002,0.98951661685331,1.6278920720374175,1.3805516924098906,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",2,31,45.16129032258064,-0.07168909026074383,-0.03874473995434262,-0.9976698907811778,-0.3835595709980233,0.2789614068836569,0.6118583286219464,0.6970069756023519,-0.7606078839365209,0.36354890441813803,1.316568215259738,1.5426781933435116,1.6110826064648653,0.41966064692741745,1.2721838523745883,1.6278920720374175,1.1543444137153613,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",3,31,45.16129032258064,-0.019064518506385873,-0.08,-0.481043126050689,-0.28230206701247335,0.1274844306949213,0.5917051112562338,0.8849821675760686,-0.24369241637960878,0.4035175756964113,1.316568215259738,1.5426781933435116,1.6110826064648653,0.49043122359702707,1.3283181994075175,1.6609571265441756,1.21538999323788,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",4,31,32.25806451612903,-0.186417650737441,-0.15360301477947724,-0.9487845866802678,-0.5158648772276757,0.14829203608390143,0.6116573307105166,0.46538152222609175,-1.5084829830817743,0.5514901836951347,1.4970752512626095,2.469267656173051,2.8370612489051314,0.5372716396306667,1.6444245992907964,2.1059166228929014,0.9742179562123847,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",6,31,35.483870967741936,-0.1863081353668507,-0.26702384554030045,-1.568465698100436,-0.7142012988949291,0.2336703976557176,1.5203874580108274,0.594767780077644,-1.077942085106216,0.7408741305946017,1.6153515762541826,3.0580410912842684,3.6745070392445998,0.6551829943501628,1.7638058927611557,2.989351033857037,0.8843377940924109,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",8,31,29.03225806451613,-0.15539213390619575,-0.25447854706955186,-1.54196392247682,-0.7866518410223551,0.20710344858999533,1.5051169154111732,0.6759120819521044,-0.7258275951974248,0.8637859321922574,2.186635491691535,3.2315718640746436,3.6745070392445998,0.7915502511526005,2.1896328442562227,5.076166372188532,0.916373167995078,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",12,31,35.483870967741936,-0.24142283419241237,-0.32494263185727407,-2.068713681535159,-0.9606377874671208,0.23711695452860046,1.613147178230648,0.5916876095911106,-1.0120130483343286,1.079638178057264,3.1605886363714037,3.5758006491096497,3.6745070392445998,0.879106947867927,2.1896328442562227,5.353134998328642,0.8142607085735155,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",16,31,38.70967741935484,-0.07272130118886545,-0.10052334530528526,-1.567113678312315,-0.79085737606018,0.4728303996117916,1.3141182403320202,0.8445165224259117,-0.301725218483193,1.1568013762124603,3.2356476112802586,3.620836034054963,3.6745070392445998,0.9886086960787543,2.272680700583428,6.18404087674897,0.8546053941564336,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",24,31,29.03225806451613,-1.0772899163902747,-0.598858511275204,-4.142222433970793,-2.3118305924918467,0.06074483897120066,0.6501955350017812,0.19288329732203663,-3.104527067536818,1.9127708266329144,4.57822826815071,5.491050379777158,5.877506179620992,1.1270099049512,2.4718668876102114,6.18404087674897,0.5892027885719567,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",36,31,19.35483870967742,-0.9415278870857693,-1.0251882250167612,-4.719010788542317,-2.042354789118473,-0.11127162268968521,2.7181815266366973,0.3978674219839884,-1.6494102396176427,2.7195764584945548,6.526313284341519,9.356173910442413,10.271903323262853,1.7510298498504226,4.28244456117041,11.408242204288243,0.6438612322816327,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",48,31,32.25806451612903,-0.9982923088089506,-0.9272012102874438,-5.088900219696841,-3.5343052459447124,0.21898393320291185,5.286651180527935,0.4868868561897647,-1.5124850340672116,3.3303752991399715,8.027492782518653,9.84098641163677,10.271903323262853,2.0974320957267207,6.039613728455142,11.408242204288243,0.6297885095017239,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",72,31,29.03225806451613,-1.797175401142589,-1.298865924748271,-10.982801564054244,-4.165147298213493,0.7891825329679691,5.10662449366209,0.36387747694677625,-2.0056467597073353,4.670056785308641,14.11741769547594,14.920336370533077,14.926013296161281,2.354343431049902,7.40295466099904,11.408242204288243,0.5041359322345595,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",96,31,32.25806451612903,-2.134495717033431,-1.3092806725354873,-11.01462887077614,-3.6138209614847137,1.7555583522748757,4.028310661185872,0.3076903828266051,-2.1559883174181524,5.415268105587725,14.700245531791364,19.97038158668914,22.132253711201084,2.618388230978409,7.693267969421001,11.408242204288243,0.48351959310687387,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",144,31,35.483870967741936,-1.8436093580383965,-0.7839892725444152,-15.479697405615845,-3.1427372547391066,1.7332157853785293,6.500652200112324,0.40658500350614984,-1.6226222978451121,6.240284399396027,19.003855156882825,22.584285176157415,23.014637184677667,3.14417714301181,9.715296516233128,12.039434375622376,0.503851578193475,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
"(0.00541, 0.07]",192,31,51.61290322580645,-1.133578558230502,0.03523616837108294,-15.527188836366452,-4.154955819822041,3.0107835168826202,7.5082651187347,0.65080768246986,-0.8188893512536493,7.211059276818381,20.311120311903647,26.73356369790557,28.94217793003218,3.999308220776412,11.72383828995531,17.97731205537396,0.5546075919294012,1.5881592740897288,10.64516129032258,0.0433856265406946,0.038005736558087866
