horizon,events,win_rate_pct,mean_return_pct,median_return_pct,p05_return_pct,p25_return_pct,p75_return_pct,p95_return_pct,profit_factor,t_stat,avg_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct,max_mfe_pct,mfe_mae_ratio,avg_box_width_pct,avg_first_break_bars,avg_break_slip_pct,avg_break_slip_r_box
1,155,32.903225806451616,-0.15531396862398564,-0.11843197540354858,-0.9172832457706721,-0.40303704530717094,0.11053173535034579,0.6633445819272561,0.43422567676925605,-3.4627028782512728,0.38794235391777654,1.0482327241856078,1.770054670192241,3.71240131907665,0.3357567280214883,0.9889688703874945,2.7004100098967836,0.8654809783740477,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
2,155,36.12903225806451,-0.1776307118282073,-0.1342593597395491,-1.2680619431876508,-0.5601782439163416,0.2712526318633294,0.8736461906894343,0.5011745199224646,-3.1345387942068608,0.5587411624717488,1.6813941881617664,2.5403020508406553,4.776656340561608,0.45219730872259495,1.453149914600302,2.7004100098967836,0.8093144716995128,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
3,155,36.12903225806451,-0.17038708292996485,-0.18056989607777787,-1.5795649318752438,-0.541273202842038,0.18677046416643692,1.4318233339847546,0.5719635092731276,-2.523942364714876,0.6777875816898227,2.0759349640092823,3.353854016190678,4.776656340561608,0.5657088818830116,1.8418111204981895,3.11131597142199,0.8346403757835418,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
4,155,36.774193548387096,-0.1983185276034988,-0.1820519240189447,-1.8544812870693743,-0.733655553647915,0.2550095573106528,1.499967701984932,0.5763990881945217,-2.4091392758945998,0.7931754009634552,2.2677521796612585,4.069445941968943,4.776656340561608,0.6621801046682186,2.057720767232397,5.495387083834736,0.8348470008826308,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
6,155,37.41935483870968,-0.23513256672417077,-0.2784949931859939,-1.798739363176005,-0.8732498581978182,0.3098929326594924,1.751358256210263,0.563001242838155,-2.594354973953173,0.9569006235059252,2.2941059784320794,4.6044106430346705,5.189662359316383,0.819744521486732,2.7605160145613326,5.495387083834736,0.8566663051000261,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
8,155,36.12903225806451,-0.30120438114371134,-0.3871567523292723,-2.0870451168533966,-1.0340324943934867,0.31048185411444573,1.6383368383889847,0.5199312861183741,-2.8618325839880066,1.130503201310317,3.647553003156724,4.79439341166187,7.824522834016203,0.9177939003048465,2.927544317922442,5.495387083834736,0.8118454677890975,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
12,155,38.70967741935484,-0.2526335123697198,-0.23349194167306925,-2.549198219926573,-0.9798612934527551,0.47723995844089506,2.119431927148892,0.6167608661773523,-2.210087548065807,1.3780785832326186,3.653449071308548,6.4016981776783215,8.38126540673787,1.0702524554997765,3.3934781406660735,5.495387083834736,0.7766265788626067,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
16,155,38.064516129032256,-0.08410017305242301,-0.25342863149043354,-3.0319614879489887,-0.9762999136587787,0.6151260257411051,2.4370431047645384,0.8856459728223789,-0.4426867183953483,1.526251701256866,4.076364710462241,6.796648924700099,8.38126540673787,1.5061976573231164,4.444050643136756,22.017214742882363,0.9868605919212178,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
24,155,37.41935483870968,-0.4446661782674372,-0.4953873938956091,-3.980619234871963,-1.61827033812696,0.5094763923534489,3.2060843534030963,0.6021572229332277,-2.1169404690029374,2.024055280484469,4.830398943978177,7.060165311261389,16.269515201314693,1.833750335462893,5.1552502979096895,22.017214742882363,0.9059783856417076,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
36,155,35.483870967741936,-0.5026495845957046,-0.6690603085553971,-5.00507867034492,-1.823207808482568,0.9525245537662823,4.756594950876751,0.639203494039206,-1.8107914971609917,2.662241102530028,6.5605121408962255,10.741191739800287,24.486442070665564,2.263581940746584,6.073603671919584,22.017214742882363,0.8502542983786919,1.9750789735633483,9.03225806451613,0.29773912971671546,0.17590712543707251
