run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,atrp_ratio_max,range20_min,range20_max,range60_max,volr_min,volr_max,body_atr_min,body_atr_max,close_pos_min,upper_wick_max,ret3_min,ret5_min,ret10_min,ret20_min,ret60_min,ret120_min,ret3_max,ret5_max,ret20_max,ret60_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,require_ema_stack,rank60_min,rank120_min,close_above_mid20,no_breakout_buffer,rsi_min,rsi_max,fail_bars,fail_pnl,trail_r,trail_atr,verdict,note
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_001_ATR25_RR140_H24,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5898,2374,3524,40.250932519498136,-6.200489705342715,0.0,31.860179670235645,68.13982032976436,597,0,0.01,0.0004,0.08,QAD_A_001_ATR25_RR140_H24,1.1,1.4,24,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_002_ATR25_RR140_H36,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5898,2373,3525,40.23397761953205,-6.176575360830494,0.0,31.906545829497546,68.09345417050245,597,0,0.01,0.0004,0.08,QAD_A_002_ATR25_RR140_H36,1.1,1.4,36,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_003_ATR25_RR140_H54,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5898,2374,3524,40.250932519498136,-6.164034739214186,0.0,31.9097885083493,68.09021149165069,597,0,0.01,0.0004,0.08,QAD_A_003_ATR25_RR140_H54,1.1,1.4,54,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_004_ATR25_RR180_H24,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5894,2034,3860,34.50967085171361,-6.263135407613163,0.0,34.03627610074934,65.96372389925065,597,0,0.01,0.0004,0.08,QAD_A_004_ATR25_RR180_H24,1.1,1.8,24,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_005_ATR25_RR180_H36,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5894,2015,3879,34.18730912792671,-6.338492267169382,0.0,34.20976482639549,65.7902351736045,597,0,0.01,0.0004,0.08,QAD_A_005_ATR25_RR180_H36,1.1,1.8,36,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_006_ATR25_RR180_H54,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5894,2016,3878,34.204275534441805,-6.223931749937172,0.0,34.22272228429727,65.77727771570274,597,0,0.01,0.0004,0.08,QAD_A_006_ATR25_RR180_H54,1.1,1.8,54,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_007_ATR25_RR220_H24,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5886,1813,4073,30.801902820251442,-5.96484755342066,0.0,35.363391987472916,64.63660801252709,597,0,0.01,0.0004,0.08,QAD_A_007_ATR25_RR220_H24,1.1,2.2,24,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_008_ATR25_RR220_H36,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5886,1771,4115,30.088345225959905,-6.111459859226276,0.0,35.69121731486141,64.30878268513858,597,0,0.01,0.0004,0.08,QAD_A_008_ATR25_RR220_H36,1.1,2.2,36,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_009_ATR25_RR220_H54,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5885,1761,4124,29.923534409515717,-6.07933607963862,0.0,35.782499466452556,64.21750053354745,597,0,0.01,0.0004,0.08,QAD_A_009_ATR25_RR220_H54,1.1,2.2,54,20,0.001,0.025,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_QUIET_ACCUMULATION_DRIFT_V5_1H,QAD_A_010_ATR35_RR140_H24,quiet_low_vol_drift,low_vol_positive_micro_drift,long,5898,2374,3524,40.250932519498136,-6.200489705342715,0.0,31.860179670235645,68.13982032976436,597,0,0.01,0.0004,0.08,QAD_A_010_ATR35_RR140_H24,1.1,1.4,24,20,0.001,0.035,0.82,0.004,0.055,0.13,0.35,1.35,0.0,0.7,0.48,0.62,-0.01,-0.015,-0.02,0.004,0.0,-0.01,0.03,0.05,0.12,0.42,0.99,0.98,0.96,False,0.45,0.4,True,0.985,44.0,64.0,12,-0.5,999.0,2.0,invalid_no_peak,max_return <= 0
