master_summary_json_only_short_strict

experiment=atr19_b17_r025 | verdict=hold | final_return_pct=2249.2917 | delta_final_return_pct=128.8665 | pf=1.265875 | delta_pf=0.005882 | mdd_pct=-40.8761 | delta_mdd_pct=0.7952 | max_conc=387 | delta_max_conc=0 | return_retention_pct=106.08
experiment=atr185_b17_r025 | verdict=hold | final_return_pct=2183.4131 | delta_final_return_pct=62.9879 | pf=1.264543 | delta_pf=0.004550 | mdd_pct=-40.9629 | delta_mdd_pct=0.7083 | max_conc=387 | delta_max_conc=0 | return_retention_pct=102.97
experiment=atr19_b15_r030 | verdict=hold | final_return_pct=2102.9452 | delta_final_return_pct=-17.4801 | pf=1.260951 | delta_pf=0.000957 | mdd_pct=-41.3930 | delta_mdd_pct=0.2782 | max_conc=387 | delta_max_conc=0 | return_retention_pct=99.18
experiment=atr19_t27_b16_r030 | verdict=hold | final_return_pct=2194.1685 | delta_final_return_pct=73.7432 | pf=1.262068 | delta_pf=0.002075 | mdd_pct=-41.4004 | delta_mdd_pct=0.2708 | max_conc=387 | delta_max_conc=0 | return_retention_pct=103.48
experiment=atr195_b16_r030 | verdict=hold | final_return_pct=2153.8267 | delta_final_return_pct=33.4015 | pf=1.260169 | delta_pf=0.000176 | mdd_pct=-41.4491 | delta_mdd_pct=0.2222 | max_conc=387 | delta_max_conc=0 | return_retention_pct=101.58
experiment=atr185_b15_r030 | verdict=hold | final_return_pct=2047.2970 | delta_final_return_pct=-73.1282 | pf=1.259963 | delta_pf=-0.000030 | mdd_pct=-41.5042 | delta_mdd_pct=0.1670 | max_conc=387 | delta_max_conc=0 | return_retention_pct=96.55
experiment=atr195_b17_r030 | verdict=hold | final_return_pct=2179.7501 | delta_final_return_pct=59.3248 | pf=1.259957 | delta_pf=-0.000036 | mdd_pct=-41.5766 | delta_mdd_pct=0.0947 | max_conc=387 | delta_max_conc=0 | return_retention_pct=102.80
experiment=tr_b17_r025_reference | verdict=hold | final_return_pct=2142.4508 | delta_final_return_pct=22.0255 | pf=1.264224 | delta_pf=0.004231 | mdd_pct=-41.6177 | delta_mdd_pct=0.0535 | max_conc=387 | delta_max_conc=0 | return_retention_pct=101.04
experiment=atr19_t27_b16_r030_ff8 | verdict=hold | final_return_pct=2139.0680 | delta_final_return_pct=18.6427 | pf=1.262183 | delta_pf=0.002190 | mdd_pct=-41.6320 | delta_mdd_pct=0.0393 | max_conc=387 | delta_max_conc=0 | return_retention_pct=100.88
experiment=atr185_b16_r030 | verdict=fail | final_return_pct=2058.8954 | delta_final_return_pct=-61.5299 | pf=1.258762 | delta_pf=-0.001231 | mdd_pct=-41.7711 | delta_mdd_pct=-0.0999 | max_conc=387 | delta_max_conc=0 | return_retention_pct=97.10
experiment=atr19_b17_r030 | verdict=fail | final_return_pct=2144.8799 | delta_final_return_pct=24.4546 | pf=1.259714 | delta_pf=-0.000279 | mdd_pct=-41.9311 | delta_mdd_pct=-0.2599 | max_conc=387 | delta_max_conc=0 | return_retention_pct=101.15
experiment=atr19_b16_r030_short_light | verdict=fail | final_return_pct=1962.0163 | delta_final_return_pct=-158.4090 | pf=1.280259 | delta_pf=0.020265 | mdd_pct=-42.1394 | delta_mdd_pct=-0.4682 | max_conc=387 | delta_max_conc=0 | return_retention_pct=92.53
experiment=tr_t27_b17_r030_reference | verdict=fail | final_return_pct=2129.6612 | delta_final_return_pct=9.2359 | pf=1.260923 | delta_pf=0.000930 | mdd_pct=-42.3076 | delta_mdd_pct=-0.6364 | max_conc=387 | delta_max_conc=0 | return_retention_pct=100.44
experiment=atr19_b16_r035 | verdict=fail | final_return_pct=2017.1281 | delta_final_return_pct=-103.2971 | pf=1.253761 | delta_pf=-0.006232 | mdd_pct=-42.7968 | delta_mdd_pct=-1.1255 | max_conc=387 | delta_max_conc=0 | return_retention_pct=95.13
