rank_by_cd_mdd10_first,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,score_rsi_weight,score_wick_weight,short_dev,short_wick_mult,score_min_short,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,time_reduce_bars,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_baseline_cd,mdd_under_10,mdd_under_5,short_main_v7_cd_delta,short_main_v7_mdd_delta,cd_delta_vs_baseline,mdd_delta_vs_baseline,trades_delta_vs_baseline,load_errors
1,smv8_mix2_13_all_timereduce5__short_max_formula_top1_RETEST,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,63105,7297,55808,11.563267569923145,2843.319336054713,2743.319336054713,2843.3304850694603,2743.3304850694603,5.686879318598392,2681.6337117546423,1.5925867541542813,307,307,4197,0,0,363,63468,63105,0.0004,0.01,1.3,0.8,0.7,0.032,1.3,2.35,2.0,5.5,0.003,200,5,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,False,1522.6134354202345,1.0792293921750291,1250.262189229023,-0.41770498816631196,17605,0
2,smv8_mix2_02_prev_mix18_top2_top3_timereduce6__short_main_formula_top1_RETEST,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,50501,6382,44119,12.637373517356092,2073.439096027405,1973.4390960274047,2073.447230393373,1973.4472303933733,4.814092666588577,1973.629559329422,1.5675065791005796,302,302,3533,0,0,119,50620,50501,0.0004,0.01,1.3,0.8,0.7,0.035,1.3,2.35,2.0,5.5,0.003,200,6,10,0.0,999.0,-999.0,0.03,5,edge_current,True,True,True,814.6092829950142,0.20644274016521358,542.2580368038027,-1.2904916401761275,5001,0
3,short_max_v7_devw120_actual_bar_engine,short_max,short_max/v8,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,45500,6251,39249,13.738461538461538,1522.7683542126408,1422.7683542126408,1524.4317435070927,1424.4317435070927,6.104584306764704,1431.3715225256192,1.4976180824186338,299,299,3786,0,0,205,45705,45500,0.0004,0.01,1.2,0.8,0.7,0.035,1.3,2.35,1.8975,5.75,0.003,200,8,10,0.0,999.0,-999.0,0.03,5,edge_current,False,True,False,272.35124619121143,1.496934380341341,0.0,0.0,0,0
