strategy,axis,engine,data_scope,end_date,holdout_start,holdout_policy,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,score_dev_weight,timeout_bars,use_rsi_gate,score_min_short,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,old_engine_strategy,old_engine_trades,old_engine_max_return_pct,old_engine_max_drawdown_pct,old_engine_official_cd_value,delta_cd_vs_old_engine,delta_mdd_vs_old_engine,delta_trades_vs_old_engine,load_errors
short_main_v6_timeout210_actual_bar_engine,short_main,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,2026 data is excluded from this run and reserved for validation,35330,4997,30333,14.143787149731107,1214.6701489565148,1114.6701489565148,1215.0033786152128,1115.0033786152128,4.607649926423363,1159.0202763344078,1.5743323511471792,284,284,3187,0,0,39,35369,35330,0.0004,0.01,1.0,210,False,2.35,0.03,5,edge_current,short_main_v6_timeout210,33989,931.6464095007982,4.506694290977831,985.153259660748,173.8670166736598,0.10095563544553254,1341,0
short_max_v7_devw120_actual_bar_engine,short_max,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,2026 data is excluded from this run and reserved for validation,45500,6251,39249,13.738461538461538,1522.7683542126408,1422.7683542126408,1524.4317435070927,1424.4317435070927,6.104584306764704,1431.3715225256192,1.4976180824186338,299,299,3786,0,0,205,45705,45500,0.0004,0.01,1.2,200,False,2.35,0.03,5,edge_current,short_max_v7_devw120,43681,1221.9746135454966,5.6636954922983485,1247.1019969487918,184.2695255768274,0.44088881446635586,1819,0
