window,trades,final_return_pct,max_drawdown_pct,official_cd_value,profit_factor
PREQ4_ALL_BEFORE_2025_10_01,184271,80862.56834028331,6.035556309029067,76076.02693886939,1.9692793943831162
TRAIN_2025_FULL,214226,401173.8751967264,6.035556309029067,377054.764505805,1.9977284935138309
ALL_TO_2026_END,217114,448301.8627085658,6.035556309029067,421338.31579405506,1.9953667122137084
