symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
AIXBT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AIXBT_5m.csv,109759,44112,2024-12-21 03:30:00,2026-01-12 07:25:00
AKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKE_5m.csv,29178,12312,2025-09-26 21:30:00,2026-01-12 06:40:00
AKT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AKT_5m.csv,119062,54700,2024-11-18 20:30:00,2026-01-12 07:30:00
ALCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALCH_5m.csv,104655,42952,2025-01-07 20:45:00,2026-01-12 07:20:00
ALGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALGO_5m.csv,586326,250548,2020-06-16 18:00:00,2026-01-12 14:25:00
ALICE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALICE_5m.csv,507747,184076,2021-03-16 12:00:00,2026-01-12 12:10:00
ALL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALL_5m.csv,43903,21680,2025-08-06 18:30:00,2026-01-12 06:45:00
ALLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALLO_5m.csv,15649,5396,2025-11-18 22:35:00,2026-01-12 06:35:00
ALPACA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPACA_5m.csv,144428,30912,2024-08-22 19:30:00,2026-01-12 07:55:00
ALPHA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPHA_5m.csv,540251,216800,2020-11-23 16:00:00,2026-01-12 12:50:00
ALPINE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALPINE_5m.csv,70400,29900,2025-05-06 18:45:00,2026-01-12 07:00:00
ALT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ALT_5m.csv,204879,84244,2024-01-25 23:00:00,2026-01-12 08:25:00
AMB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AMB_5m.csv,291624,80052,2023-03-30 21:00:00,2026-01-12 09:45:00
ANIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ANIME_5m.csv,99982,34772,2025-01-24 02:00:00,2026-01-12 07:15:00
