ts,equity,peak,drawdown_pct,active_positions
1767237000,99.91206886996135,100.0,0.08793113003865471,0
1767239700,99.79071708643366,100.0,0.20928291356634077,1
1767243000,99.75344346026463,100.0,0.24655653973536573,8
1767243000,99.71679518196396,100.0,0.28320481803604025,7
1767243000,99.68845813448992,100.0,0.3115418655100797,10
1767243000,99.63128636953556,100.0,0.36871363046444117,9
1767243900,99.52437983293392,100.0,0.4756201670660829,10
1767243900,99.49231992607062,100.0,0.5076800739293788,9
1767243900,99.44359172480834,100.0,0.5564082751916573,11
1767243900,99.20034593736132,100.0,0.7996540626386803,10
1767244200,99.19127744781024,100.0,0.8087225521897636,9
1767244500,99.18839382572315,100.0,0.8116061742768466,8
1767244500,98.99252103670369,100.0,1.0074789632963075,7
1767244500,98.92130804530088,100.0,1.0786919546991243,6
1767244800,98.78167953380515,100.0,1.2183204661948537,6
1767245100,98.69790082149702,100.0,1.302099178502985,7
1767245100,98.63973849853635,100.0,1.360261501463654,6
1767245400,98.635975821155,100.0,1.3640241788449998,6
1767246300,98.62819866712341,100.0,1.3718013328765863,9
1767247200,98.61861730458585,100.0,1.3813826954141462,8
1767247500,98.57735059575084,100.0,1.4226494042491566,7
1767248700,98.56736852043363,100.0,1.4326314795663677,7
1767250800,98.5584356415381,100.0,1.4415643584619033,6
1767256500,98.53947546214364,100.0,1.460524537856358,8
1767263700,98.48154836470555,100.0,1.5184516352944541,12
1767265200,98.43412924827987,100.0,1.5658707517201265,13
1767265500,98.35576662529319,100.0,1.6442333747068147,14
1767267300,98.28300183155206,100.0,1.7169981684479438,15
1767267600,98.27937561341403,100.0,1.7206243865859676,14
1767268800,98.21068611886656,100.0,1.7893138811334381,15
1767270000,98.16802052607991,100.0,1.8319794739200856,17
1767270300,98.12977425398438,100.0,1.8702257460156204,16
1767271500,98.12078508159502,100.0,1.8792149184049831,15
1767273600,98.08360303070893,100.0,1.9163969692910712,15
1767274500,98.04850790350062,100.0,1.9514920964993792,15
1767275100,98.14716228877987,100.0,1.8528377112201326,14
1767275400,98.14018952828495,100.0,1.8598104717150505,14
1767276600,98.08678051139596,100.0,1.9132194886040423,14
1767278400,97.98832759828791,100.0,2.01167240171209,17
1767278700,97.93005118850128,100.0,2.069948811498719,17
1767280500,97.92578554537398,100.0,2.0742144546260164,19
1767281700,97.92219879891525,100.0,2.0778012010847533,19
1767282300,97.86945815582914,100.0,2.130541844170864,20
1767282600,97.86556593989849,100.0,2.134434060101512,19
1767282900,97.8273074044656,100.0,2.1726925955344,18
1767283200,97.79732475092557,100.0,2.2026752490744315,18
1767284400,97.79209383462594,100.0,2.2079061653740553,18
1767284400,97.78147802008682,100.0,2.2185219799131772,17
1767284400,97.70256577383557,100.0,2.2974342261644267,16
1767284700,97.72935353761642,100.0,2.2706464623835814,15
1767285000,97.68939399053805,100.0,2.3106060094619494,18
1767285300,97.63286134984048,100.0,2.367138650159518,17
1767285900,97.48656799396693,100.0,2.513432006033071,17
1767286200,97.47708298644842,100.0,2.5229170135515773,16
1767286500,97.51800021873456,100.0,2.4819997812654435,15
1767288000,97.89115826420294,100.0,2.108841735797057,16
1767288000,97.86494307745174,100.0,2.1350569225482587,16
1767288600,97.86133035018088,100.0,2.1386696498191213,15
1767288900,97.85115443922825,100.0,2.148845560771747,14
1767290100,97.80672408725647,100.0,2.1932759127435304,15
1767291900,97.7980199696972,100.0,2.2019800303028063,18
1767292800,97.78936592168898,100.0,2.210634078311017,19
1767293100,97.78553439989962,100.0,2.2144656001003824,18
1767293400,97.75535464568927,100.0,2.244645354310734,19
1767295500,97.94220982558922,100.0,2.0577901744107834,19
1767296100,97.93811335511369,100.0,2.0618866448863145,18
1767296700,97.97668288555684,100.0,2.0233171144431594,17
1767298200,98.09826061733222,100.0,1.9017393826677844,17
1767299100,98.05244569731984,100.0,1.9475543026801605,18
1767299700,98.0486473276045,100.0,1.951352672395501,17
1767300300,98.41129785255241,100.0,1.5887021474475915,16
1767301500,98.27473651139303,100.0,1.72526348860697,17
1767302100,98.2580490032389,100.0,1.741950996761105,19
1767302400,98.22484017962768,100.0,1.7751598203723233,18
1767302400,98.195935265844,100.0,1.8040647341560003,22
1767302400,98.16960067248695,100.0,1.8303993275130497,21
1767302400,98.14766942549717,100.0,1.8523305745028296,20
1767302700,98.28090429549125,100.0,1.7190957045087458,19
1767302700,98.2478523047664,100.0,1.752147695233603,18
1767303000,98.1795376993758,100.0,1.8204623006242002,19
1767303300,98.49289587624398,100.0,1.5071041237560223,20
1767303600,98.43245170534982,100.0,1.5675482946501802,20
1767303900,98.40650048884395,100.0,1.593499511156054,21
1767304500,98.40368446952553,100.0,1.59631553047447,21
1767305100,98.57840911620498,100.0,1.4215908837950195,21
1767305400,103.43117311367632,103.43117311367632,0.0,20
1767305400,104.06815364621244,104.06815364621244,0.0,19
1767305700,104.24358909037639,104.24358909037639,0.0,18
1767306000,104.2015008666559,104.24358909037639,0.04037487972904909,18
1767306600,104.19695990631244,104.24358909037639,0.04473098486998507,17
1767306600,104.1916661488693,104.24358909037639,0.0498092419497097,16
1767306900,104.13502300146844,104.24358909037639,0.10414653779219486,17
1767307200,104.09894478958574,104.24358909037639,0.13875606361293122,16
1767308700,104.13755297821278,104.24358909037639,0.1017195523378203,18
1767309000,104.20703665828191,104.24358909037639,0.03506444128932617,17
1767309000,104.17305805290975,104.24358909037639,0.06765983220847115,18
1767309000,104.13721559407423,104.24358909037639,0.10204320210994614,17
1767309300,104.17892432504811,104.24358909037639,0.062032366587274276,16
1767309600,104.25095718090613,104.25095718090613,0.0,15
1767309600,104.24602837651291,104.25095718090613,0.0047278265125792526,14
1767309900,104.1939428345031,104.25095718090613,0.05468951839366395,14
1767310200,104.18832132179006,104.25095718090613,0.06008180721773065,14
1767311100,104.1455638325049,104.25095718090613,0.10109580885510089,14
