symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side,return,score,same_bar,plan_id
Q,short,short_max_v7_devw120,34,35,38,1767236100,1767237000,0.018813,0.019661708768225948,-0.043965565019328,stop,99.95603443498067,0.01,0.0004,-0.043965565019328,4.004359054018347,False,315
Q,short,short_max_v7_devw120,39,40,47,1767237600,1767239700,0.018982,0.020192098139783492,-0.06072929171631234,stop,99.89533184324058,0.01,0.0004,-0.06072929171631234,3.354735576810949,False,316
EVAA,short,short_max_v7_devw120,41,42,242,1767238200,1767298200,1.0807,1.0168,0.06204421715184907,fail_fast_or_timeout,99.02279664067969,0.01,0.0004,0.06204421715184907,2.3859632842815857,False,370
Q,short,short_max_v7_devw120,48,49,249,1767240300,1767300300,0.020646,0.017412,0.18493397656788427,fail_fast_or_timeout,99.20562027181889,0.01,0.0004,0.18493397656788427,3.6033146093326143,False,372
LIGHT,short,short_max_v7_devw120,51,52,62,1767241200,1767244200,1.3356,1.3406553368781573,-0.00457079532605984,stop,99.59486537975789,0.01,0.0004,-0.00457079532605984,3.033228450539029,False,325
RIVER,short,short_max_v7_devw120,53,54,69,1767241800,1767246300,10.377,10.409710972402808,-0.003942351645451736,stop,99.31131240719228,0.01,0.0004,-0.003942351645451736,3.021097812914558,False,333
IOTX,short,short_max_v7_devw120,54,55,63,1767242100,1767244500,0.00745,0.007454872253741967,-0.0014535663625250043,stop,99.4948577477036,0.01,0.0004,-0.0014535663625250043,2.700920877578324,False,326
BANANAS31,short,short_max_v7_devw120,55,56,58,1767242400,1767243000,0.003961,0.004033095200645727,-0.018675898549130186,stop,99.85832528917244,0.01,0.0004,-0.018675898549130186,3.601218272501505,False,317
4,short,short_max_v7_devw120,56,57,58,1767242700,1767243000,0.01967,0.020021771109625795,-0.018369430181762268,stop,99.8769816400028,0.01,0.0004,-0.018369430181762268,4.0121085928569595,False,318
KOMA,short,short_max_v7_devw120,56,57,66,1767242700,1767245400,0.01115,0.011162359888255279,-0.0019072827232782022,stop,99.31525063245093,0.01,0.0004,-0.0019072827232782022,4.064605639057274,False,332
PIXEL,short,short_max_v7_devw120,56,57,257,1767242700,1767302700,0.00887,0.0083,0.06787469879518074,fail_fast_or_timeout,99.27342392741794,0.01,0.0004,0.06787469879518074,5.44993487245422,False,373
1000CAT,short,short_max_v7_devw120,57,58,58,1767243000,1767243000,0.00269,0.0027265597958535657,-0.014208763640234134,stop,99.81550206350327,0.01,0.0004,-0.014208763640234134,3.375724627231577,True,319
MUBARAK,short,short_max_v7_devw120,57,58,61,1767243000,1767243900,0.02031,0.021443301813397996,-0.05365108717212084,stop,99.76192698635376,0.01,0.0004,-0.05365108717212084,4.429372053839887,False,321
TST,short,short_max_v7_devw120,57,58,58,1767243000,1767243000,0.0167,0.01717886459180608,-0.028675217785608862,stop,99.8296906969187,0.01,0.0004,-0.028675217785608862,3.8037090789445642,True,320
TUT,short,short_max_v7_devw120,57,58,65,1767243000,1767245100,0.01655,0.017268471995698056,-0.04240599709557644,stop,99.31715591885653,0.01,0.0004,-0.04240599709557644,3.372008691364946,False,330
BROCCOLIF3B,short,short_max_v7_devw120,58,59,63,1767243300,1767244500,0.00736,0.008159082204002513,-0.0987377562356849,stop,99.49630979264501,0.01,0.0004,-0.0987377562356849,2.78615924186968,False,327
TURTLE,short,short_max_v7_devw120,59,60,61,1767243600,1767243900,0.06058,0.061521685335699905,-0.016106559476735647,stop,99.7458501431469,0.01,0.0004,-0.016106559476735647,2.7302198010322383,False,322
4,short,short_max_v7_devw120,60,61,61,1767243900,1767243900,0.0205,0.020997395189166556,-0.024488423477555064,stop,99.72142395696255,0.01,0.0004,-0.024488423477555064,4.0084285733509475,True,323
BROCCOLI714,short,short_max_v7_devw120,60,61,61,1767243900,1767243900,0.03718,0.04232230380673177,-0.12230339996174408,stop,99.59943139091673,0.01,0.0004,-0.12230339996174408,3.7048101471401504,True,324
TST,short,short_max_v7_devw120,60,61,63,1767243900,1767244500,0.01702,0.01764039275991179,-0.03596887454578943,stop,99.45898028800099,0.01,0.0004,-0.03596887454578943,2.7134069592306074,False,328
MUBARAK,short,short_max_v7_devw120,62,63,64,1767244500,1767244800,0.02103,0.022607447015988467,-0.07057554851164147,stop,99.38878656711864,0.01,0.0004,-0.07057554851164147,4.297968954856727,False,329
LIGHT,short,short_max_v7_devw120,63,64,72,1767244800,1767247200,1.3835,1.389136161549646,-0.004857313966514764,stop,99.30648478178121,0.01,0.0004,-0.004857313966514764,2.9862666640528412,False,334
TLM,short,short_max_v7_devw120,63,64,65,1767244800,1767245100,0.002307,0.0023750812838878696,-0.02946482269458348,stop,99.35950183737835,0.01,0.0004,-0.02946482269458348,4.560396341943558,False,331
TST,short,short_max_v7_devw120,64,65,265,1767245100,1767305100,0.01788,0.01641,0.08877952468007302,fail_fast_or_timeout,99.48803275070114,0.01,0.0004,0.08877952468007302,3.1513483798505475,False,377
BROCCOLI714,short,short_max_v7_devw120,65,66,266,1767245400,1767305400,0.07139,0.02062,2.461372647914646,fail_fast_or_timeout,101.93255116497616,0.01,0.0004,2.461372647914646,4.322333235913851,False,378
MUBARAK,short,short_max_v7_devw120,65,66,266,1767245400,1767305400,0.0234,0.01788,0.3079248322147651,fail_fast_or_timeout,102.23836748384981,0.01,0.0004,0.3079248322147651,4.310958636305972,False,379
TURTLE,short,short_max_v7_devw120,65,66,73,1767245400,1767247500,0.06331,0.06461010867070685,-0.020922372449998592,stop,99.28570567514424,0.01,0.0004,-0.020922372449998592,4.704704884616425,False,335
TLM,short,short_max_v7_devw120,66,67,77,1767245700,1767248700,0.002829,0.0028411118511880765,-0.0050630673561872005,stop,99.28067727710976,0.01,0.0004,-0.0050630673561872005,4.550801270536132,False,336
RIVER,short,short_max_v7_devw120,75,76,84,1767248400,1767250800,10.862,10.902681799096259,-0.004531357095978938,stop,99.27617828724036,0.01,0.0004,-0.004531357095978938,2.823026570203705,False,337
GPS,short,short_max_v7_devw120,91,92,183,1767253200,1767280500,0.005399,0.005406449563298479,-0.002177903041776207,stop,99.03444886875553,0.01,0.0004,-0.002177903041776207,3.5834611260795723,False,350
LIGHT,short,short_max_v7_devw120,94,95,103,1767254100,1767256500,1.5134,1.5268650413451017,-0.009618750171422863,stop,99.26662915967117,0.01,0.0004,-0.009618750171422863,2.685949249749976,False,338
BMT,short,short_max_v7_devw120,97,98,298,1767255000,1767315000,0.02699,0.02407,0.12051283755712508,fail_fast_or_timeout,102.1922873581511,0.01,0.0004,0.12051283755712508,3.5670313813299774,False,391
NAORIS,short,short_max_v7_devw120,102,103,140,1767256500,1767267600,0.03908,0.03912087286109612,-0.0018447839760949761,stop,99.17502938203927,0.01,0.0004,-0.0018447839760949761,3.153201530385652,False,342
BEAT,short,short_max_v7_devw120,105,106,208,1767257400,1767288000,1.4541,1.2197517976912085,0.19132777775968393,target,99.00301124356676,0.01,0.0004,0.19132777775968393,2.6601664386006023,False,362
LA,short,short_max_v7_devw120,109,110,310,1767258600,1767318600,0.3338,0.3118,0.06975805003207172,fail_fast_or_timeout,102.25970655611948,0.01,0.0004,0.06975805003207172,4.729721597650233,False,393
TLM,short,short_max_v7_devw120,122,123,166,1767262500,1767275400,0.002768,0.0027756391047491177,-0.003552196687259234,stop,99.09303347704636,0.01,0.0004,-0.003552196687259234,3.5664161865376056,False,347
AERGO,short,short_max_v7_devw120,125,126,127,1767263400,1767263700,0.06187,0.06369110960019465,-0.029392838335306457,stop,99.23745187984136,0.01,0.0004,-0.029392838335306457,4.794620305170392,False,339
LIGHT,short,short_max_v7_devw120,127,128,153,1767264000,1767271500,1.7483,1.7549340845826116,-0.004580247156228378,stop,99.11429158102182,0.01,0.0004,-0.004580247156228378,2.7863751947248954,False,345
LAB,short,short_max_v7_devw120,129,130,132,1767264600,1767265200,0.12695,0.1299751890818877,-0.024075127378208692,stop,99.2135603368944,0.01,0.0004,-0.024075127378208692,2.381368201817401,False,340
RIVER,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,131,132,133,1767265200,1767265500,9.913,9.526347399368326,-0.03980460008389728,stop,99.9601953999161,0.01,0.0004,,,,1
AERGO,short,short_max_v7_devw120,131,132,196,1767265200,1767284400,0.06329,0.06340885137876927,-0.0026743657420841053,stop,98.98617039848023,0.01,0.0004,-0.0026743657420841053,2.4890755866605874,False,355
RPL,short,short_max_v7_devw120,133,134,299,1767265800,1767315300,2.078,2.080167016334321,-0.0018417511273396184,stop,102.19046009128513,0.01,0.0004,-0.0018417511273396184,3.1994995222642855,False,392
ZBT,short,short_max_v7_devw120,138,139,139,1767267300,1767267300,0.1599,0.1659041730252495,-0.03699060880605896,stop,99.17686063690762,0.01,0.0004,-0.03699060880605896,2.9177497543792685,True,341
CLO,short,short_max_v7_devw120,139,140,144,1767267600,1767268800,0.4262,0.44126753781152694,-0.03494603731390398,stop,99.14037163926535,0.01,0.0004,-0.03494603731390398,3.901036131928833,False,343
ZBT,short,short_max_v7_devw120,141,142,342,1767268200,1767328200,0.1693,0.1552,0.09005051546391743,fail_fast_or_timeout,101.96493912657557,0.01,0.0004,0.09005051546391743,3.768084259259499,False,409
Q,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,143,144,165,1767268800,1767275100,0.015555,0.01635,0.05030896817743504,time,99.97205691767581,0.01,0.0004,,,,4
ONT,short,short_max_v7_devw120,143,144,148,1767268800,1767270000,0.0675,0.06894237525087257,-0.021721461519478378,stop,99.11883690158946,0.01,0.0004,-0.021721461519478378,3.0984570390669672,False,344
EPT,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,146,147,149,1767269700,1767270300,0.002021,0.0019832477083697245,-0.01948000575471318,stop,99.94072314809978,0.01,0.0004,,,,2
HOME,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,159,160,160,1767273600,1767273600,0.01945,0.019097039258378846,-0.018947081831421773,stop,99.921787297502,0.01,0.0004,,,,3
SENT,short,short_max_v7_devw120,161,162,163,1767274200,1767274500,0.05573,0.05669900960275543,-0.017890414974520794,stop,99.09655962295892,0.01,0.0004,-0.017890414974520794,2.6342487629229554,False,346
