strategy,side,axis,parent,group,entry,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,vol_min,body_min,close_pos_long_min,close_pos_short_max,wick_min,ret3_floor,ret5_floor,ret10_floor,ret20_floor,ret3_ceil,ret5_ceil,ret10_ceil,ret20_ceil,trend_required,reclaim_required,anchor_required,breakout_bonus,absorb_bonus,be_r,trail_r,trail_atr,fail_bars,fail_pnl,post_loss_after,post_loss_bars,sym_dd_pct,sym_dd_bars,shock_lb,shock_ret5,shock_range,shock_close_pos
8V14_long_main_v1_002_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,442011,103525,338486,23.42136281676248,-99.99733723066718,0.0,99.99998226840343,1.7731596568815178e-05,8V14_long_main_v1_002_lm_return_lift,1.1,2.05,21,10,0.0031,0.052,0.19,1.02,0.16,0.57,0.43,0.4,-0.056,-0.086,-0.13,-0.21,0.2,0.26,0.32,0.42,True,False,True,0.26,0.26,0.8999999999999999,1.22,1.32,6,-0.55,3,10,0.18,16,6,-0.038,0.068,0.28
8V14_long_max_v1_010_lx_dd_compress,long,long_max,8V4_V51_V002_core_rare22_c1,lx_dd_compress,long_dd_compress,424035,168785,255250,39.8044972702725,-99.98700424847195,0.0,99.99998298855702,1.7011442976500035e-05,8V14_long_max_v1_010_lx_dd_compress,1.25,1.99,27,12,0.0031,0.051,0.18,1.075,0.195,0.605,0.4,0.6000000000000001,-0.056,-0.086,-0.13,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.38,0.31,1.14,1.2000000000000002,1.27,8,-0.67,3,18,0.16,20,7,-0.044,0.068,0.28
8V14_short_main_v1_017_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,520991,105176,415815,20.187680785272683,-99.99843907288968,0.0,99.99998730779957,1.2692200423991551e-05,8V14_short_main_v1_017_sm_edge_preserve,1.1500000000000001,2.3499999999999996,27,12,0.0028,0.068,0.19,1.185,0.23,0.6399999999999999,0.37,0.7,-0.2,-0.26,-0.32,-0.42,0.05,0.078,0.12,0.21,True,False,True,0.26,0.41000000000000003,0.8999999999999999,1.55,1.52,9,-0.79,2,26,0.22799999999999998,24,7,0.05,0.078,0.72
8V14_short_main_v1_037_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,545049,93746,451303,17.199554535463786,-99.99870452326505,0.0,99.99999045161505,9.548384949376043e-06,8V14_short_main_v1_037_sm_edge_preserve,1.1500000000000001,2.25,15,10,0.0028,0.068,0.218,1.075,0.16,0.605,0.4,0.3,-0.2,-0.26,-0.32,-0.42,0.05,0.078,0.12,0.19,True,True,True,0.26,0.36,0.8999999999999999,1.44,1.7200000000000002,5,-0.67,2,22,0.204,32,6,0.044,0.098,0.72
8V14_short_max_v1_002_sx_dd_compress,short,short_max,short_only_reference_1x,sx_dd_compress,short_dd_compress,536762,161664,375098,30.118376487158184,-99.99823686985987,0.0,99.99999166053051,8.339469492746332e-06,8V14_short_max_v1_002_sx_dd_compress,1.1500000000000001,1.9,18,10,0.0031,0.044,0.15,1.02,0.16,0.57,0.43,0.4,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.21,False,True,True,0.26,0.26,0.8999999999999999,1.1,1.18,6,-0.55,3,10,0.14,16,6,0.038,0.068,0.72
8V14_short_max_v1_034_sx_dd_compress,short,short_max,short_only_reference_1x,sx_dd_compress,short_dd_compress,468415,142738,325677,30.472551049816936,-99.99220135480545,0.0,99.99999183427636,8.165723641706535e-06,8V14_short_max_v1_034_sx_dd_compress,1.25,1.99,24,18,0.0031,0.0545,0.16,1.02,0.30000000000000004,0.57,0.43,0.6000000000000001,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.19,True,True,True,0.33999999999999997,0.31,1.06,1.2000000000000002,1.54,8,-0.55,3,18,0.14,32,10,0.038,0.098,0.72
8V14_short_main_v1_050_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,454995,155357,299638,34.14477082165738,-99.98823117012915,0.0,99.99999665429802,3.345701982127025e-06,8V14_short_main_v1_050_sm_edge_preserve,1.3,2.4499999999999997,18,8,0.0031,0.06,0.20400000000000001,1.185,0.23,0.6749999999999999,0.33999999999999997,0.4,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.21,True,False,True,0.38,0.46,1.14,1.66,1.4200000000000002,6,-0.91,3,10,0.252,16,5,0.056,0.10800000000000001,0.72
8V14_short_max_v1_010_sx_dd_compress,short,short_max,short_only_reference_1x,sx_dd_compress,short_dd_compress,477716,205216,272500,42.95774058227064,-99.99059194627239,0.0,99.9999971591415,2.8408585039940704e-06,8V14_short_max_v1_010_sx_dd_compress,1.3,1.99,24,12,0.0031,0.051,0.18,1.075,0.195,0.605,0.4,0.6000000000000001,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.19,True,True,True,0.38,0.31,1.14,1.2000000000000002,1.27,8,-0.67,3,18,0.16,20,7,0.044,0.068,0.72
8V14_short_main_v1_010_sm_edge_preserve,short,short_main,short_beh_dd_brake,sm_edge_preserve,short_edge_preserve,477590,182134,295456,38.13605812517012,-99.99238735742725,0.0,99.99999748246061,2.517539388069423e-06,8V14_short_main_v1_010_sm_edge_preserve,1.3,2.15,24,12,0.0031,0.06,0.232,1.075,0.195,0.605,0.4,0.6000000000000001,-0.2,-0.26,-0.32,-0.42,0.056,0.086,0.13,0.19,True,True,True,0.38,0.31,1.14,1.33,1.4200000000000002,8,-0.67,3,18,0.204,20,7,0.044,0.068,0.72
8V14_long_main_v1_035_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,377171,112133,265038,29.730016358627786,-99.98005574092886,0.0,99.99999865938717,1.3406128207549273e-06,8V14_long_main_v1_035_lm_return_lift,1.25,2.15,30,20,0.0034,0.064,0.20400000000000001,1.02,0.30000000000000004,0.57,0.43,0.7,-0.062,-0.094,-0.13999999999999999,-0.21,0.2,0.26,0.32,0.42,False,False,True,0.38,0.31,1.14,1.33,1.7200000000000002,9,-0.55,2,18,0.18,32,11,-0.038,0.098,0.28
8V14_long_main_v1_015_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,384866,138929,245937,36.09801853112512,-99.98622853234836,0.0,99.99999917182312,8.28176882627929e-07,8V14_long_main_v1_015_lm_return_lift,1.25,2.25,24,8,0.0034,0.064,0.246,1.1300000000000001,0.23,0.6399999999999999,0.37,0.5,-0.062,-0.094,-0.13999999999999999,-0.23,0.2,0.26,0.32,0.42,False,False,True,0.38,0.36,1.14,1.44,1.4200000000000002,7,-0.79,2,22,0.22799999999999998,20,5,-0.05,0.078,0.28
8V14_long_main_v1_005_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,480808,184233,296575,38.31737408695363,-99.9972153817224,0.0,99.999999507941,4.920590046531004e-07,8V14_long_main_v1_005_lm_return_lift,1.25,2.05,30,16,0.0028,0.055999999999999994,0.20400000000000001,1.02,0.16,0.57,0.43,0.7,-0.05,-0.078,-0.12,-0.21,0.2,0.26,0.32,0.42,True,False,True,0.38,0.26,1.14,1.22,1.32,9,-0.55,2,14,0.18,16,9,-0.038,0.068,0.28
