run_label,baseline_version,strategy,tag,side,entry_key,entry_source_atr_stop,entry_source_rr_target,tp03_min_target_pct,kind,body_atr_min,atr_stop,rr_target,max_hold_bars,cooldown_bars,close_pos_min,quiet_ratio_max,vol_ratio_min,lower_wick_body_ratio_min,round_trip_cost_bps,position_fraction,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,ruined,evaluation_status,verdict,note
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A019_S1280_RR6250_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.28,6.25,17,32,,,,,8.0,0.01,611570,201116,410454,32.88519711562045,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A020_S1280_RR6250_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.28,6.25,17,32,,,,,8.0,0.01,595985,195932,400053,32.87532404339035,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A021_S1280_RR6250_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.28,6.25,17,32,,,,,8.0,0.01,580222,190853,389369,32.893099537763135,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A022_S1280_RR6350_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.28,6.35,17,32,,,,,8.0,0.01,611564,201102,410462,32.88323053678764,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A023_S1280_RR6350_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.28,6.35,17,32,,,,,8.0,0.01,595980,195918,400062,32.87325078022752,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A024_S1280_RR6350_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.28,6.35,17,32,,,,,8.0,0.01,580218,190839,389379,32.89091341530253,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A025_S1290_RR6050_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.29,6.05,17,32,,,,,8.0,0.01,611435,202008,409427,33.038344223016345,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A026_S1290_RR6050_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.29,6.05,17,32,,,,,8.0,0.01,595852,196813,399039,33.030517645321325,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A027_S1290_RR6050_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.29,6.05,17,32,,,,,8.0,0.01,580099,191713,388386,33.04832451012672,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A028_S1290_RR6150_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.29,6.15,17,32,,,,,8.0,0.01,611426,202002,409424,33.03784922459954,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A029_S1290_RR6150_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.29,6.15,17,32,,,,,8.0,0.01,595843,196807,399036,33.03000958306131,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A030_S1290_RR6150_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.29,6.15,17,32,,,,,8.0,0.01,580092,191706,388386,33.047516600815044,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A031_S1290_RR6250_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.29,6.25,17,32,,,,,8.0,0.01,611420,201996,409424,33.03719211016977,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A032_S1290_RR6250_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.29,6.25,17,32,,,,,8.0,0.01,595838,196800,399038,33.02911193982257,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A033_S1290_RR6250_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.29,6.25,17,32,,,,,8.0,0.01,580087,191699,388388,33.046594734927695,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A034_S1290_RR6350_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.29,6.35,17,32,,,,,8.0,0.01,611413,201984,409429,33.0356076825321,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A035_S1290_RR6350_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.29,6.35,17,32,,,,,8.0,0.01,595832,196789,399043,33.02759838343694,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A036_S1290_RR6350_B420_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.42,1.29,6.35,17,32,,,,,8.0,0.01,580083,191688,388395,33.044926329508016,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A037_S1300_RR6050_B380_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.38,1.3,6.05,17,32,,,,,8.0,0.01,611280,202918,408362,33.195589582515375,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
LONG_MAIN_V18_IMPROVE_1H,long_main/v18,LM18_A038_S1300_RR6050_B400_H17_CD32,core_neighborhood_stop_rr_body,long,child::orig_V09_extreme_vol18::tp03,1.1,3.8,0.3,improve,0.4,1.3,6.05,17,32,,,,,8.0,0.01,595707,197712,397995,33.189470662590836,-100.0,0.0,100.0,0.0,597,13,True,INVALID,invalid_no_peak_growth,max_return_pct <= 0
