side,trades,wins,losses,win_rate_pct,avg_pnl_decimal,sum_pnl_decimal,same_bar_trades
long,57164,20480,36684,35.82674410468127,0.00242768223938773,138.77602753236022,16782
short,35387,5017,30370,14.177522819114364,0.006412708435268973,226.92651339886316,3230
