period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,target_expected_trades,delta_vs_target_expected_trades,target_expected_max_return_pct,delta_vs_target_expected_max_return_pct,target_expected_max_drawdown_pct,delta_vs_target_expected_max_drawdown_pct,target_expected_official_cd_value,delta_vs_target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,gate_beats_v3_cd,gate_beats_v3_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v3,gate_mtm_worstbar_mdd_better_or_equal_v3,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
2025_Q4_ONLY,SM2V3MIX07RETEST_V3MIX07_N02_stop255_rr630_t375_slip000000,V3MIX07_N02_stop255_rr630_t375,realism_audit_no_position_limit,0.0,0.0,0.08,True,23003,1781,21222,7.742468373690388,350.6343895138026,5.540389442518778,425.66748937282097,2.005921088772498,152030,-129027,73746.55353592646,-73395.91914641266,5.888592725709996,-0.34820328319121785,69498.03075622236,-69072.36326684954,1.8286053579584032,0.1773157308140949,351.297182489737,7.265142492206689,418.5097991185436,350.69452213234024,7.237031713152787,418.0776166361803,43579,23003,0,1266,200,200,0,0,2.7,2.55,6.3,375,0.088,21.73793042217335,0.21375336368161246,0.07362335538638853,20.129124224266263,0.4897656693352852,True,True,True,True,True,True,True,False,False,False,False,False,True,True,106973.54619066067,23933.648521901203,425.66748937282097,0.2237342723895857,0.003979184616485902,97353.0658974033,21751.602897414876,418.0776166361803,0.22343007584720614,0.004294447357998735,GENERAL_EDGE_CONFIRMED,597,26496,12.794716500000504,0.2132452750000084,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
2025_Q4_ONLY,SM2V3_OFFICIAL_MIX05_BASELINE_slip000000,MIX05_A02_A03_failfast14_rr630,realism_audit_no_position_limit,0.0,0.0,0.08,True,23294,1853,21441,7.954838155748262,326.65596976886883,5.326636078837166,403.9295589506476,1.9322977333861096,152030,-128736,73746.55353592646,-73419.8975661576,5.888592725709996,-0.5619566468728303,69498.03075622236,-69094.10119727171,1.8286053579584032,0.10369237542770637,327.2775173134363,6.8689523382994055,397.92802829690737,326.7419039949024,6.747266043817501,397.94849241191406,43579,23294,0,1390,199,199,0,0,2.7,2.45,6.3,345,0.085,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,False,False,False,False,False,False,False,True,True,81528.0994560266,19227.287110761717,403.9295589506476,0.23583632194360477,0.004954482707750511,74307.00038895881,17525.721414295374,397.94849241191406,0.23585558995191927,0.005355464361754061,GENERAL_EDGE_CONFIRMED,597,26496,26.480638300003193,0.4413439716667199,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SM2V3MIX07RETEST_V3MIX07_N02_stop255_rr630_t375_slip000000,V3MIX07_N02_stop255_rr630_t375,realism_audit_no_position_limit,0.0,0.0,0.08,True,126062,8824,117238,6.999730291443893,25199.522577353076,5.398813559725191,23933.648521901203,1.8163499010894757,152030,-25968,73746.55353592646,-48547.030958573385,5.888592725709996,-0.489779165984805,69498.03075622236,-45564.38223432116,1.8286053579584032,-0.012255456868927483,25256.346610394754,14.803514321510857,21602.716208513033,25206.368256137343,14.046920216852365,21751.602897414876,223592,126062,0,6210,364,364,0,0,2.7,2.55,6.3,375,0.088,4706.361411139485,-0.48053083415516795,0.06002431206370051,4225.881483119501,-0.1861445384928384,True,False,False,True,True,True,True,False,False,False,False,False,True,True,106973.54619066067,23933.648521901203,425.66748937282097,0.2237342723895857,0.003979184616485902,97353.0658974033,21751.602897414876,418.0776166361803,0.22343007584720614,0.004294447357998735,GENERAL_EDGE_CONFIRMED,552,637597,244.54884019999736,4.0758140033332895,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
EXCL_2025_Q4_ALL_BEFORE_2025_10_01,SM2V3_OFFICIAL_MIX05_BASELINE_slip000000,MIX05_A02_A03_failfast14_rr630,realism_audit_no_position_limit,0.0,0.0,0.08,True,127405,9129,118276,7.165338879949766,20328.339546661187,5.879344393880359,19227.287110761717,1.7563255890257752,152030,-24625,73746.55353592646,-53418.21398926528,5.888592725709996,-0.009248331829637024,69498.03075622236,-50270.74364546064,1.8286053579584032,-0.072279768932628,20372.083305807962,15.015490588915748,17398.099563669373,20334.123434983783,14.233064755345204,17525.721414295374,223592,127405,0,6977,364,364,0,0,2.7,2.45,6.3,345,0.085,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,81528.0994560266,19227.287110761717,403.9295589506476,0.23583632194360477,0.004954482707750511,74307.00038895881,17525.721414295374,397.94849241191406,0.23585558995191927,0.005355464361754061,GENERAL_EDGE_CONFIRMED,552,637597,252.06984480000392,4.201164080000066,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
FULL_TRAIN_TO_2025_END,SM2V3MIX07RETEST_V3MIX07_N02_stop255_rr630_t375_slip000000,V3MIX07_N02_stop255_rr630_t375,realism_audit_no_position_limit,0.0,0.0,0.08,True,149151,10603,138548,7.108903057974804,113147.92211118022,5.540389442518634,106973.54619066067,1.9543969406097241,152030,-2879,73746.55353592646,39401.36857525376,5.888592725709996,-0.34820328319136173,69498.03075622236,37475.515434438305,1.8286053579584032,0.12579158265132095,113314.48713387063,14.803514321510857,96625.15728834,113163.03390526188,14.046920216852365,97353.0658974033,267412,149151,0,7479,364,364,0,0,2.7,2.55,6.3,375,0.088,25445.446734634068,-0.3389549513617247,0.07232376625281822,23046.065508444488,-0.1861445384928384,True,False,False,True,True,True,True,False,False,False,True,True,True,True,106973.54619066067,23933.648521901203,425.66748937282097,0.2237342723895857,0.003979184616485902,97353.0658974033,21751.602897414876,418.0776166361803,0.22343007584720614,0.004294447357998735,GENERAL_EDGE_CONFIRMED,597,664093,288.4727112000037,4.807878520000061,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
FULL_TRAIN_TO_2025_END,SM2V3_OFFICIAL_MIX05_BASELINE_slip000000,MIX05_A02_A03_failfast14_rr630,realism_audit_no_position_limit,0.0,0.0,0.08,True,150791,10980,139811,7.281601687103342,86520.8367663832,5.879344393880359,81528.0994560266,1.882073174356906,152030,-1239,73746.55353592646,12774.283230456742,5.888592725709996,-0.009248331829637024,69498.03075622236,12030.068699804237,1.8286053579584032,0.05346781639850273,86647.02501221909,15.015490588915748,73721.53363534494,86538.28336292313,14.233064755345204,74307.00038895881,267412,150791,0,8370,364,364,0,0,2.7,2.45,6.3,345,0.085,0.0,0.0,0.0,0.0,0.0,True,False,False,True,True,False,False,False,False,False,True,True,True,False,81528.0994560266,19227.287110761717,403.9295589506476,0.23583632194360477,0.004954482707750511,74307.00038895881,17525.721414295374,397.94849241191406,0.23585558995191927,0.005355464361754061,GENERAL_EDGE_CONFIRMED,597,664093,275.51183540000056,4.591863923333343,443.1548613999985,7.385914356666642,1844.5966241999995,30.74327706999999
