acceptance_rate_pct,final_asset,final_return_pct,max_drawdown_pct,max_gross_exposure_pct,max_open_positions,max_return_pct,model,official_cd_value,peak_asset,profit_factor,trades,trades_accepted,trades_requested,trades_skipped,window
,80962.56834028331,80862.56834028331,6.035556309029067,,,80863.86375692172,CURRENT_INVERSE_EXIT_COMPOUND,76076.02693886939,80963.86375692172,1.9692793943831162,184271,,,,PREQ4_ALL_BEFORE_2025_10_01
,9027.84999061767,8927.84999061767,6.152159250344836,,,8927.994437950885,LINEAR_FIXED_FEE_EXIT_COMPOUND,8472.442282312628,9027.994437950885,1.634171728962226,184271,,,,PREQ4_ALL_BEFORE_2025_10_01
,9049.427884167395,8949.427884167395,6.154295268930243,,,8949.57267675105,LINEAR_EXACT_FEE_EXIT_COMPOUND,8492.499372026827,9049.57267675105,1.6343037903956128,184271,,,,PREQ4_ALL_BEFORE_2025_10_01
,51.34172010733344,-48.65827989266657,52.35666239619614,,,2.1042112179027406,LINEAR_GAPSTOP_EXACT_FEE_EXIT_COMPOUND,24.46090904233691,102.10421121790274,0.9465001356388856,184271,,,,PREQ4_ALL_BEFORE_2025_10_01
100.0,71807.04536762436,71707.04536762436,6.1568679102626644,320.2188978834664,319,71708.19074694543,CURRENT_INVERSE_ENTRY_STAKE_UNBOUNDED,67385.98043407736,71808.19074694543,,,184271,184271,0,PREQ4_ALL_BEFORE_2025_10_01
100.0,8392.22390977435,8292.22390977435,6.280674308077749,320.2800181697518,319,8292.357885853053,LINEAR_EXACT_ENTRY_STAKE_UNBOUNDED,7865.135658796795,8392.357885853053,,,184271,184271,0,PREQ4_ALL_BEFORE_2025_10_01
100.0,48.923132869276046,-51.07686713072395,54.55708016918447,321.33687181971493,319,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_UNBOUNDED,22.23210004850848,102.08776833623187,,,184271,184271,0,PREQ4_ALL_BEFORE_2025_10_01
97.12000260485915,54.712621054670905,-45.287378945329095,49.17943503404268,99.99806376738839,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_100PCT,27.805263127667068,102.08776833623187,,,178964,184271,5307,PREQ4_ALL_BEFORE_2025_10_01
99.49530854013925,48.34382222180555,-51.65617777819445,55.09518077244036,199.9922196307483,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_200PCT,21.70870597639459,102.08776833623187,,,183341,184271,930,PREQ4_ALL_BEFORE_2025_10_01
99.98806106223985,48.4604977709419,-51.5395022290581,54.98680509585032,299.33687181971453,297,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_300PCT,21.81361831315519,102.08776833623187,,,184249,184271,22,PREQ4_ALL_BEFORE_2025_10_01
