cluster_type,notional_exposure_pct_at_1pct_each,rank,timestamp,timestamp_ns,trade_count
ENTRY,75.0,78,2024-12-23 12:25:00,1734956700000000000,75
ENTRY,75.0,79,2025-05-10 09:15:00,1746868500000000000,75
ENTRY,74.0,80,2024-12-23 12:20:00,1734956400000000000,74
ENTRY,74.0,81,2024-08-05 23:00:00,1722898800000000000,74
ENTRY,73.0,82,2025-03-03 00:35:00,1740962100000000000,73
ENTRY,73.0,83,2025-10-22 00:20:00,1761092400000000000,73
ENTRY,73.0,84,2025-08-22 23:50:00,1755906600000000000,73
ENTRY,72.0,85,2024-05-02 03:40:00,1714621200000000000,72
ENTRY,71.0,86,2023-08-29 23:20:00,1693351200000000000,71
ENTRY,71.0,87,2025-12-03 00:00:00,1764720000000000000,71
ENTRY,70.0,88,2024-04-18 03:00:00,1713409200000000000,70
ENTRY,69.0,89,2025-04-10 02:35:00,1744252500000000000,69
ENTRY,69.0,90,2024-11-21 21:40:00,1732225200000000000,69
ENTRY,69.0,91,2022-06-19 07:25:00,1655623500000000000,69
ENTRY,69.0,92,2024-12-31 02:45:00,1735613100000000000,69
ENTRY,69.0,93,2025-01-20 15:50:00,1737388200000000000,69
ENTRY,69.0,94,2025-10-17 20:15:00,1760732100000000000,69
ENTRY,69.0,95,2025-02-13 02:25:00,1739413500000000000,69
ENTRY,69.0,96,2025-11-08 01:45:00,1762566300000000000,69
ENTRY,67.0,97,2024-05-15 21:30:00,1715808600000000000,67
ENTRY,67.0,98,2025-12-10 01:10:00,1765329000000000000,67
ENTRY,66.0,99,2022-11-10 22:30:00,1668119400000000000,66
ENTRY,66.0,100,2023-03-14 22:00:00,1678831200000000000,66
EXIT,231.99999999999997,1,2025-01-15 22:45:00,1736981100000000000,232
EXIT,220.00000000000003,2,2025-10-13 00:05:00,1760313900000000000,220
EXIT,189.0,3,2025-04-10 02:35:00,1744252500000000000,189
EXIT,171.0,4,2024-04-15 07:20:00,1713165600000000000,171
EXIT,158.0,5,2024-12-24 06:15:00,1735020900000000000,158
EXIT,156.0,6,2025-01-20 15:55:00,1737388500000000000,156
EXIT,155.0,7,2024-04-15 07:40:00,1713166800000000000,155
EXIT,147.0,8,2025-01-20 16:15:00,1737389700000000000,147
EXIT,147.0,9,2024-04-19 16:00:00,1713542400000000000,147
EXIT,141.0,10,2024-06-12 21:45:00,1718228700000000000,141
EXIT,140.0,11,2024-07-08 18:00:00,1720461600000000000,140
EXIT,135.0,12,2025-10-22 00:10:00,1761091800000000000,135
EXIT,124.0,13,2025-11-08 01:35:00,1762565700000000000,124
EXIT,113.00000000000001,14,2025-12-03 00:55:00,1764723300000000000,113
EXIT,112.00000000000001,15,2024-12-27 18:20:00,1735323600000000000,112
EXIT,111.00000000000001,16,2025-10-13 00:25:00,1760315100000000000,111
EXIT,111.00000000000001,17,2025-01-20 16:00:00,1737388800000000000,111
EXIT,109.00000000000001,18,2025-08-22 23:45:00,1755906300000000000,109
EXIT,107.0,19,2024-08-06 23:30:00,1722987000000000000,107
EXIT,106.0,20,2024-11-21 21:30:00,1732224600000000000,106
EXIT,103.0,21,2025-08-22 23:15:00,1755904500000000000,103
EXIT,102.0,22,2025-04-10 03:00:00,1744254000000000000,102
EXIT,99.0,23,2025-08-22 23:25:00,1755905100000000000,99
EXIT,95.0,24,2024-04-15 15:35:00,1713195300000000000,95
EXIT,91.0,25,2022-01-24 08:25:00,1643012700000000000,91
EXIT,91.0,26,2022-11-09 01:20:00,1667956800000000000,91
EXIT,90.0,27,2024-04-18 03:20:00,1713410400000000000,90
EXIT,90.0,28,2025-01-20 16:20:00,1737390000000000000,90
EXIT,89.0,29,2025-03-10 18:30:00,1741631400000000000,89
EXIT,89.0,30,2024-05-02 03:15:00,1714619700000000000,89
EXIT,88.0,31,2025-04-10 03:10:00,1744254600000000000,88
EXIT,88.0,32,2024-01-11 07:30:00,1704958200000000000,88
EXIT,88.0,33,2023-03-14 00:20:00,1678753200000000000,88
EXIT,86.0,34,2025-12-03 00:25:00,1764721500000000000,86
EXIT,85.0,35,2025-03-03 01:35:00,1740965700000000000,85
EXIT,84.0,36,2025-03-03 01:50:00,1740966600000000000,84
EXIT,84.0,37,2025-03-03 00:45:00,1740962700000000000,84
EXIT,83.0,38,2025-11-08 02:35:00,1762569300000000000,83
EXIT,82.0,39,2025-02-04 01:00:00,1738630800000000000,82
EXIT,80.0,40,2025-04-10 02:30:00,1744252200000000000,80
EXIT,80.0,41,2025-10-20 13:05:00,1760965500000000000,80
EXIT,80.0,42,2025-11-08 01:55:00,1762566900000000000,80
EXIT,79.0,43,2025-01-19 23:15:00,1737328500000000000,79
EXIT,78.0,44,2022-02-25 05:15:00,1645766100000000000,78
EXIT,77.0,45,2025-01-14 06:05:00,1736834700000000000,77
EXIT,76.0,46,2025-01-15 23:05:00,1736982300000000000,76
EXIT,75.0,47,2025-08-23 00:05:00,1755907500000000000,75
EXIT,74.0,48,2025-08-23 00:15:00,1755908100000000000,74
EXIT,74.0,49,2023-08-29 23:45:00,1693352700000000000,74
EXIT,74.0,50,2024-08-05 23:15:00,1722899700000000000,74
EXIT,74.0,51,2025-08-12 21:45:00,1755035100000000000,74
EXIT,73.0,52,2024-12-23 12:35:00,1734957300000000000,73
EXIT,73.0,53,2024-04-15 15:55:00,1713196500000000000,73
EXIT,73.0,54,2025-12-03 00:40:00,1764722400000000000,73
EXIT,72.0,55,2025-01-19 23:25:00,1737329100000000000,72
EXIT,71.0,56,2024-08-05 23:35:00,1722900900000000000,71
EXIT,70.0,57,2024-05-02 03:55:00,1714622100000000000,70
EXIT,69.0,58,2024-12-23 12:40:00,1734957600000000000,69
EXIT,69.0,59,2024-07-08 18:20:00,1720462800000000000,69
EXIT,69.0,60,2025-08-22 23:30:00,1755905400000000000,69
EXIT,67.0,61,2024-12-31 03:00:00,1735614000000000000,67
EXIT,67.0,62,2025-04-10 02:50:00,1744253400000000000,67
EXIT,67.0,63,2024-05-15 21:45:00,1715809500000000000,67
EXIT,66.0,64,2025-10-01 17:55:00,1759341300000000000,66
EXIT,65.0,65,2025-02-04 07:05:00,1738652700000000000,65
EXIT,65.0,66,2024-08-08 11:15:00,1723115700000000000,65
EXIT,64.0,67,2023-08-29 23:25:00,1693351500000000000,64
EXIT,64.0,68,2025-10-13 00:45:00,1760316300000000000,64
EXIT,63.0,69,2025-11-08 02:00:00,1762567200000000000,63
EXIT,63.0,70,2025-11-20 06:35:00,1763620500000000000,63
EXIT,62.0,71,2025-03-03 01:45:00,1740966300000000000,62
EXIT,62.0,72,2025-10-13 01:15:00,1760318100000000000,62
EXIT,61.0,73,2025-12-03 01:00:00,1764723600000000000,61
EXIT,61.0,74,2022-06-19 19:35:00,1655667300000000000,61
EXIT,61.0,75,2023-03-14 21:55:00,1678830900000000000,61
EXIT,60.0,76,2024-11-21 21:55:00,1732226100000000000,60
EXIT,60.0,77,2025-12-03 00:35:00,1764722100000000000,60
EXIT,59.0,78,2024-01-11 07:10:00,1704957000000000000,59
EXIT,59.0,79,2025-04-07 23:10:00,1744067400000000000,59
EXIT,57.99999999999999,80,2025-04-07 23:30:00,1744068600000000000,58
EXIT,57.99999999999999,81,2025-02-04 00:35:00,1738629300000000000,58
EXIT,57.99999999999999,82,2025-08-22 23:10:00,1755904200000000000,58
EXIT,57.00000000000001,83,2024-04-18 03:15:00,1713410100000000000,57
EXIT,57.00000000000001,84,2025-01-27 22:20:00,1738016400000000000,57
EXIT,57.00000000000001,85,2022-05-13 12:20:00,1652444400000000000,57
EXIT,56.00000000000001,86,2025-08-23 00:00:00,1755907200000000000,56
EXIT,56.00000000000001,87,2025-04-10 02:55:00,1744253700000000000,56
EXIT,56.00000000000001,88,2022-03-01 00:30:00,1646094600000000000,56
EXIT,56.00000000000001,89,2025-01-15 23:10:00,1736982600000000000,56
EXIT,55.00000000000001,90,2025-08-22 23:35:00,1755905700000000000,55
EXIT,55.00000000000001,91,2024-11-21 22:05:00,1732226700000000000,55
EXIT,55.00000000000001,92,2025-04-10 03:15:00,1744254900000000000,55
EXIT,55.00000000000001,93,2024-12-23 12:30:00,1734957000000000000,55
EXIT,54.0,94,2025-04-10 03:30:00,1744255800000000000,54
EXIT,54.0,95,2024-03-21 04:10:00,1710994200000000000,54
EXIT,53.0,96,2022-11-14 16:00:00,1668441600000000000,53
EXIT,53.0,97,2025-06-24 05:30:00,1750743000000000000,53
EXIT,53.0,98,2024-05-21 04:45:00,1716266700000000000,53
EXIT,53.0,99,2024-04-14 14:25:00,1713104700000000000,53
EXIT,53.0,100,2022-05-05 04:05:00,1651723500000000000,53
