cluster_type,notional_exposure_pct_at_1pct_each,rank,timestamp,timestamp_ns,trade_count
ENTRY,271.0,1,2025-04-10 02:20:00,1744251600000000000,271
ENTRY,244.0,2,2025-03-04 23:35:00,1741131300000000000,244
ENTRY,242.0,3,2025-01-15 22:30:00,1736980200000000000,242
ENTRY,237.0,4,2025-01-20 15:45:00,1737387900000000000,237
ENTRY,227.0,5,2025-10-12 23:50:00,1760313000000000000,227
ENTRY,219.0,6,2025-04-07 23:10:00,1744067400000000000,219
ENTRY,178.0,7,2024-06-12 21:30:00,1718227800000000000,178
ENTRY,174.0,8,2024-04-15 07:05:00,1713164700000000000,174
ENTRY,164.0,9,2024-04-15 07:25:00,1713165900000000000,164
ENTRY,162.0,10,2025-03-10 18:20:00,1741630800000000000,162
ENTRY,162.0,11,2025-01-20 16:00:00,1737388800000000000,162
ENTRY,160.0,12,2024-12-24 06:00:00,1735020000000000000,160
ENTRY,158.0,13,2025-08-12 21:30:00,1755034200000000000,158
ENTRY,151.0,14,2025-03-03 01:30:00,1740965400000000000,151
ENTRY,151.0,15,2024-04-19 15:45:00,1713541500000000000,151
ENTRY,149.0,16,2025-11-20 06:20:00,1763619600000000000,149
ENTRY,144.0,17,2025-01-14 05:50:00,1736833800000000000,144
ENTRY,142.0,18,2024-07-08 17:45:00,1720460700000000000,142
ENTRY,141.0,19,2025-10-21 23:55:00,1761090900000000000,141
ENTRY,140.0,20,2025-12-03 00:40:00,1764722400000000000,140
ENTRY,140.0,21,2025-03-03 00:30:00,1740961800000000000,140
ENTRY,134.0,22,2025-08-22 23:10:00,1755904200000000000,134
ENTRY,133.0,23,2025-01-27 22:05:00,1738015500000000000,133
ENTRY,132.0,24,2025-11-08 01:20:00,1762564800000000000,132
ENTRY,131.0,25,2025-10-13 00:15:00,1760314500000000000,131
ENTRY,130.0,26,2024-08-06 23:15:00,1722986100000000000,130
ENTRY,129.0,27,2025-08-22 23:00:00,1755903600000000000,129
ENTRY,127.0,28,2025-03-03 01:35:00,1740965700000000000,127
ENTRY,123.0,29,2025-12-19 12:25:00,1766147100000000000,123
ENTRY,122.0,30,2024-12-27 18:05:00,1735322700000000000,122
ENTRY,115.00000000000001,31,2022-11-09 01:05:00,1667955900000000000,115
ENTRY,115.00000000000001,32,2025-08-22 23:30:00,1755905400000000000,115
ENTRY,114.00000000000001,33,2025-01-20 16:05:00,1737389100000000000,114
ENTRY,113.00000000000001,34,2025-10-13 00:10:00,1760314200000000000,113
ENTRY,111.00000000000001,35,2025-01-15 22:50:00,1736981400000000000,111
ENTRY,110.00000000000001,36,2025-01-20 16:20:00,1737390000000000000,110
ENTRY,108.0,37,2024-12-24 06:20:00,1735021200000000000,108
ENTRY,108.0,38,2025-02-04 00:40:00,1738629600000000000,108
ENTRY,107.0,39,2025-03-10 18:15:00,1741630500000000000,107
ENTRY,105.0,40,2024-11-21 21:15:00,1732223700000000000,105
ENTRY,103.0,41,2025-10-20 12:50:00,1760964600000000000,103
ENTRY,101.0,42,2022-01-24 08:10:00,1643011800000000000,101
ENTRY,100.0,43,2024-08-08 21:30:00,1723152600000000000,100
ENTRY,100.0,44,2025-04-10 02:45:00,1744253100000000000,100
ENTRY,99.0,45,2025-04-10 02:55:00,1744253700000000000,99
ENTRY,98.0,46,2025-11-08 02:20:00,1762568400000000000,98
ENTRY,96.0,47,2025-10-13 01:00:00,1760317200000000000,96
ENTRY,96.0,48,2024-04-15 15:20:00,1713194400000000000,96
ENTRY,96.0,49,2024-04-19 16:05:00,1713542700000000000,96
ENTRY,95.0,50,2022-02-25 05:00:00,1645765200000000000,95
ENTRY,95.0,51,2025-12-03 00:10:00,1764720600000000000,95
ENTRY,94.0,52,2025-08-22 23:05:00,1755903900000000000,94
ENTRY,92.0,53,2024-04-18 03:05:00,1713409500000000000,92
ENTRY,91.0,54,2023-03-14 00:05:00,1678752300000000000,91
ENTRY,90.0,55,2024-01-11 07:15:00,1704957300000000000,90
ENTRY,90.0,56,2024-07-08 18:05:00,1720461900000000000,90
ENTRY,90.0,57,2024-05-02 03:00:00,1714618800000000000,90
ENTRY,90.0,58,2025-03-03 01:40:00,1740966000000000000,90
ENTRY,89.0,59,2025-12-03 00:15:00,1764720900000000000,89
ENTRY,88.0,60,2025-08-23 01:05:00,1755911100000000000,88
ENTRY,88.0,61,2025-04-07 23:15:00,1744067700000000000,88
ENTRY,87.0,62,2025-10-01 17:40:00,1759340400000000000,87
ENTRY,86.0,63,2023-08-29 23:30:00,1693351800000000000,86
ENTRY,85.0,64,2024-04-15 15:40:00,1713195600000000000,85
ENTRY,85.0,65,2025-11-08 01:40:00,1762566000000000000,85
ENTRY,83.0,66,2022-06-19 19:20:00,1655666400000000000,83
ENTRY,82.0,67,2023-03-14 21:40:00,1678830000000000000,82
ENTRY,82.0,68,2025-08-23 00:00:00,1755907200000000000,82
ENTRY,82.0,69,2024-05-02 03:50:00,1714621800000000000,82
ENTRY,82.0,70,2025-01-19 23:10:00,1737328200000000000,82
ENTRY,80.0,71,2025-01-28 06:15:00,1738044900000000000,80
ENTRY,80.0,72,2025-01-19 23:00:00,1737327600000000000,80
ENTRY,79.0,73,2024-08-28 18:55:00,1724871300000000000,79
ENTRY,77.0,74,2023-08-29 23:25:00,1693351500000000000,77
ENTRY,76.0,75,2025-02-04 07:05:00,1738652700000000000,76
ENTRY,75.0,76,2025-01-10 00:50:00,1736470200000000000,75
ENTRY,75.0,77,2021-09-26 18:45:00,1632681900000000000,75
