symbol,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,avg_mae_pct,avg_max_abs_excursion_pct,avg_realized_vol_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct,up_first_break_rate_pct,down_first_break_rate_pct,both_same_bar_rate_pct,none_rate_pct,avg_first_break_bars,med_first_break_bars,avg_box_width_pct,med_box_width_pct,avg_dir_ret_follow_first_break_pct,med_dir_ret_follow_first_break_pct,win_rate_follow_first_break_pct
0G,6,114,49.122807017543856,0.09961553919317909,-0.016414720167784447,0.4651389133541268,0.38417526876595165,0.5711878149315927,-0.44168023173918297,0.7849402948061863,0.5310140972797218,0.9107064126231246,1.168699454435591,46.49122807017544,43.859649122807014,0.0,9.649122807017543,2.0679611650485437,2.0,0.7294188010610521,0.5879829375146528,0.195782135773694,0.21201413427562876,66.99029126213593
0G,12,114,56.14035087719298,0.22979247542853973,0.1305119932411669,0.7975377495077252,0.629758024120447,0.8996058204935279,-0.6391021331449769,1.2192559482328587,0.8458007903470061,1.3704628870012225,2.0384291278299043,52.63157894736842,47.368421052631575,0.0,0.0,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.07875369608471414,0.22479034041194002,59.64912280701754
0G,36,114,54.385964912280706,0.26504149970770985,0.11678855846506409,1.3615901196895401,1.0820857476985746,1.8915297040608023,-1.267839810169439,2.4572163551455075,1.897689639882026,3.027382620315028,4.70402424753621,52.63157894736842,47.368421052631575,0.0,0.0,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.3414926381269122,0.1483826839062674,53.50877192982456
0G,72,114,44.73684210526316,0.3006862398763236,-0.2830617288779036,2.5897803382721096,1.4765512614614562,2.9816166691616943,-2.1738103845581564,4.042430352281895,2.994542546745242,4.272631704557867,8.108777147293646,52.63157894736842,47.368421052631575,0.0,0.0,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.5312737223101005,0.13234889551909657,51.75438596491229
0G,288,114,42.10526315789473,0.29009930395082556,-0.6457605442818148,5.834270443592443,3.2585032220379784,6.459739931863949,-5.50551130386464,9.1688342333641,7.153506882976448,10.130066145001804,14.390964998533486,52.63157894736842,47.368421052631575,0.0,0.0,2.6578947368421053,2.0,0.7294188010610521,0.5879829375146528,0.6390272094782398,0.9619838781788126,56.14035087719298
1000000BOB,6,105,44.761904761904766,-0.0368719237285764,-0.07720020586720056,0.6238292703827142,0.429022082018915,0.7143213537600164,-0.7754982882253605,1.1384622842392453,0.7766745104613632,1.4621741894469187,2.2949490816717244,55.23809523809524,39.04761904761905,1.9047619047619049,3.8095238095238098,1.7227722772277227,1.0,0.8439112781316389,0.8403361344537785,0.31193918709293844,0.24999999999999467,64.64646464646465
1000000BOB,12,105,45.714285714285715,0.04091009865771589,-0.03920031360251652,1.0077706792058627,0.7429614181439059,1.1162112910404436,-1.169025450610424,1.7588477896108494,1.2573537347301105,2.360060514372142,3.2262363298713823,57.14285714285714,40.0,1.9047619047619049,0.9523809523809524,1.8942307692307692,1.0,0.8439112781316389,0.8403361344537785,0.3359435113995188,0.2759595965399153,60.78431372549019
1000000BOB,36,105,48.57142857142857,0.0448582370879151,-0.2356780275561965,1.9185266448008864,1.4054813773717534,2.18625635293305,-2.1898528763503173,3.4992912161458283,2.5193500871471435,4.187817258883253,6.433184844835892,58.0952380952381,40.0,1.9047619047619049,0.0,2.038095238095238,1.0,0.8439112781316389,0.8403361344537785,0.2907335405276142,0.27418723070897766,54.36893203883495
1000000BOB,72,105,46.666666666666664,0.06588577645975909,-0.1591343093570785,2.7815751356377127,2.0487050637804316,3.2320861217321566,-2.9515770193203212,4.943856200415449,3.743524972338749,5.442176870748305,8.89399616958045,58.0952380952381,40.0,1.9047619047619049,0.0,2.038095238095238,1.0,0.8439112781316389,0.8403361344537785,0.3381307829914964,0.35152326749245955,55.33980582524271
1000000BOB,288,105,42.857142857142854,-2.2845704039927917,-1.128349788434424,8.046700718882558,6.77506775067751,6.34024928909915,-8.904896089184888,12.92823493753634,9.24661196730146,16.35540464063383,24.603596177440348,58.0952380952381,40.0,1.9047619047619049,0.0,2.038095238095238,1.0,0.8439112781316389,0.8403361344537785,-1.8385860875234035,-0.7522910682533079,46.601941747572816
1000000MOG,6,218,51.8348623853211,0.07112089093371178,0.04359987963014067,0.5977573788991822,0.43074910375455744,0.6329969948168206,-0.535829604792009,0.9397675620116417,0.6366101319383485,1.093614898003206,1.6951610892678266,48.62385321100918,47.706422018348626,0.9174311926605505,2.7522935779816518,1.7028301886792452,1.0,0.7071664064334194,0.6436759919787316,0.2948545625550007,0.24597373531367595,68.57142857142857
1000000MOG,12,218,48.62385321100918,0.09450370259274088,-0.014403405688484527,0.850019233840496,0.569456851435568,0.9293166237983563,-0.7880736168866391,1.386072986083033,0.9921410465556388,1.5966334745680433,2.5978063955325172,50.45871559633027,48.1651376146789,0.9174311926605505,0.45871559633027525,1.8571428571428572,1.0,0.7071664064334194,0.6436759919787316,0.23471027406614317,0.18711574445335888,59.53488372093023
1000000MOG,36,218,49.08256880733945,0.10097023888801118,-0.026061181159664493,1.4408770764038505,1.02298577077381,1.5995344996287928,-1.4603210768861177,2.4339476523993837,1.8948503189413313,3.067787145449352,4.682801890154664,50.45871559633027,48.62385321100918,0.9174311926605505,0.0,1.908256880733945,1.0,0.7071664064334194,0.6436759919787316,0.06572447428138613,-0.018820943047509475,49.074074074074076
1000000MOG,72,218,48.62385321100918,0.3014587315910656,-0.047030366165728976,2.1832600912947884,1.5127499756987905,2.4091861396604366,-2.1745268999313287,3.680433731429873,2.860309248548477,4.479607717732478,7.0336118833836965,50.45871559633027,48.62385321100918,0.9174311926605505,0.0,1.908256880733945,1.0,0.7071664064334194,0.6436759919787316,-0.25974263490903904,-0.23525560977520898,44.44444444444444
1000000MOG,288,218,52.293577981651374,1.0645579960655773,0.45438368547452423,5.255391991507567,4.065613736463342,6.393315259950224,-4.379345410899372,8.84983191232366,6.771632647934668,11.039318871242372,15.20378658954125,50.45871559633027,48.62385321100918,0.9174311926605505,0.0,1.908256880733945,1.0,0.7071664064334194,0.6436759919787316,-0.13408777275239894,-0.03758402312726283,49.074074074074076
1000BONK,6,658,46.6565349544073,-0.002910210366571959,-0.0339848278782251,0.535893619834628,0.39917161800599454,0.5399094345078315,-0.5531724861084258,0.8744015158512911,0.6020783342475529,1.0611056662635732,1.529036045296992,48.02431610942249,47.56838905775076,1.82370820668693,2.5835866261398177,1.7628705148205928,1.0,0.6844903526941282,0.6090413662569683,0.2741178838876684,0.24206121276770798,66.61367249602543
1000BONK,12,658,47.56838905775076,-0.012709463752498661,-0.03558624251815412,0.7421865682851831,0.5057012312288445,0.7935586345809191,-0.7790084600755157,1.2545896509274086,0.9421896821956236,1.509526258939775,2.210643053562591,49.088145896656535,48.78419452887538,1.82370820668693,0.303951367781155,1.9070121951219512,1.0,0.6844903526941282,0.6090413662569683,0.27684309945002206,0.2217068916098741,60.71428571428571
1000BONK,36,658,47.11246200607903,-5.65329967680977e-05,-0.09227666340604346,1.3679001103740052,0.867983082609658,1.5551756469964872,-1.4891452959854201,2.4008360956478287,1.8783107167548263,2.870090630340552,4.509952436309508,49.088145896656535,49.088145896656535,1.82370820668693,0.0,1.9452887537993921,1.0,0.6844903526941282,0.6090413662569683,0.2847538931701889,0.23790828173928524,57.120743034055735
1000BONK,72,658,48.48024316109423,0.08690380089652475,-0.03519462396853745,2.161392948541874,1.3281368519594439,2.4119176380725134,-2.211361104017934,3.60073745491113,2.8760579079029336,4.567328423125641,7.156777969485381,49.088145896656535,49.088145896656535,1.82370820668693,0.0,1.9452887537993921,1.0,0.6844903526941282,0.6090413662569683,0.35581882639564305,0.2694363506324793,57.585139318885446
1000BONK,288,658,45.2887537993921,-0.08871118883245602,-0.5806367307738924,4.671315516371605,3.466040991935382,5.344256752434524,-5.110422468701633,8.185510207121396,6.64507965951071,9.964791283830206,14.71617180850326,49.088145896656535,49.088145896656535,1.82370820668693,0.0,1.9452887537993921,1.0,0.6844903526941282,0.6090413662569683,0.3393593337220695,0.5186990651956214,52.32198142414861
1000CAT,6,199,45.22613065326633,-0.08291204897423915,-0.07043245527540432,0.5077692625603153,0.41017227235438103,0.5106603358907883,-0.5711326504784162,0.8413862978975956,0.5959321856880966,1.002455385150075,1.3804674253800677,45.22613065326633,49.74874371859296,0.5025125628140703,4.522613065326634,1.694736842105263,1.0,0.7461035592915127,0.694444444444442,0.22138028500931958,0.2271989613761738,66.13756613756614
1000CAT,12,199,44.72361809045226,-0.1160527411073292,-0.09735518416355005,0.7643661359836393,0.5742411812961423,0.7479980788485561,-0.880696870010116,1.2875252363389968,0.9559800615332952,1.6590853273579065,2.349357379516226,46.733668341708544,52.26130653266332,0.5025125628140703,0.5025125628140703,1.97979797979798,1.0,0.7461035592915127,0.694444444444442,0.27321374257816017,0.2949852507374562,65.48223350253807
1000CAT,36,199,38.19095477386934,-0.4799684689074513,-0.46663555762949116,1.3444811862630175,0.9803921568627527,1.2804036731783612,-1.7606400209320512,2.3807245981670984,1.9225360211589413,2.9799755160835053,4.27290616264988,46.733668341708544,52.76381909547738,0.5025125628140703,0.0,2.0351758793969847,1.0,0.7461035592915127,0.694444444444442,0.24831357415177155,0.3044245938756074,54.54545454545454
1000CAT,72,199,31.155778894472363,-0.9309820133536401,-1.001669449081799,2.1904056063899517,1.6013252346769868,1.8771274948794725,-2.7832356018023976,3.702859057900417,3.001654792086928,4.6639937143856445,7.138733092076964,46.733668341708544,52.76381909547738,0.5025125628140703,0.0,2.0351758793969847,1.0,0.7461035592915127,0.694444444444442,0.3170448361696128,0.16970192250863048,53.03030303030303
1000CAT,288,199,47.73869346733669,-0.40852088755813415,-0.2712477396021762,5.499988271295188,4.15639888286512,5.619048207189061,-5.964077632225591,9.462122374126634,7.32126382466,11.690352759583055,17.22857705301581,46.733668341708544,52.76381909547738,0.5025125628140703,0.0,2.0351758793969847,1.0,0.7461035592915127,0.694444444444442,-0.18318801827823755,0.037285607755399575,50.0
1000CHEEMS,6,255,46.666666666666664,0.041058282636285755,-0.017889087656541847,0.42775171727076655,0.25595370576452225,0.47320432395759165,-0.4624634087969614,0.742469944760211,0.5094602169570318,0.9466135130740183,1.4710094569192234,41.17647058823529,53.333333333333336,1.1764705882352942,4.313725490196078,1.7540983606557377,1.0,0.5860353755907843,0.47164249498878874,0.1987753078567934,0.11693802284787891,65.14522821576763
1000CHEEMS,12,255,46.666666666666664,0.11375872824094126,-0.040537801499906934,0.6548534042135133,0.4013761467889898,0.7472691713842972,-0.6285272385646213,1.0785117311147543,0.8096042153880388,1.4276799399384033,2.000178027031869,42.745098039215684,55.68627450980392,1.1764705882352942,0.39215686274509803,2.0236220472440944,1.0,0.5860353755907843,0.47164249498878874,0.1991964024168977,0.11693802284787891,60.95617529880478
1000CHEEMS,36,255,45.88235294117647,0.13491233276535486,-0.07918910357933573,1.2092086338085821,0.7993662681837765,1.5970348418988276,-1.1624334907141805,2.168130888833128,1.6838689595976897,2.8581125906636973,4.117361592078021,42.745098039215684,56.07843137254902,1.1764705882352942,0.0,2.1019607843137256,1.0,0.5860353755907843,0.47164249498878874,0.16580027379934256,0.16360195323392168,56.74603174603175
1000CHEEMS,72,255,47.45098039215686,0.024661872716217288,-0.05733944954128267,1.8764052013350838,1.0168907273353955,2.3747834463966457,-1.9223466243878278,3.2770881185569727,2.6591718834272693,3.8156224348609378,6.595696518868923,42.745098039215684,56.07843137254902,1.1764705882352942,0.0,2.1019607843137256,1.0,0.5860353755907843,0.47164249498878874,0.021757746419677572,-0.08014423429970052,47.61904761904761
1000CHEEMS,288,255,49.80392156862745,-0.22175836719513742,-0.006166748889990803,4.130309433477776,2.809573361082185,5.770553946355992,-4.588675526870105,8.203911339417637,6.5693489589064145,9.946711161600213,14.368746006069683,42.745098039215684,56.07843137254902,1.1764705882352942,0.0,2.1019607843137256,1.0,0.5860353755907843,0.47164249498878874,-0.37724134082552246,-0.39698156410338803,46.42857142857143
1000FLOKI,6,661,47.95763993948563,-0.00016522453462136847,-0.02103049421662284,0.4453867092073731,0.32867707477404196,0.4526133991526383,-0.44505766779805156,0.713240827838726,0.504867701383156,0.8893956670467551,1.2827128639882224,47.0499243570348,47.0499243570348,1.059001512859304,4.841149773071105,1.8314785373608904,1.0,0.6215469114343459,0.5459770114942586,0.22313469003043768,0.21709438013081672,68.48874598070739
1000FLOKI,12,661,49.167927382753405,0.006190651294218831,-0.013129102844644525,0.6612028694509052,0.47429330297856787,0.696099280926578,-0.658813651196365,1.0875912024954448,0.8095926750511484,1.2873637204811494,2.016404647983594,49.47049924357035,48.86535552193646,1.059001512859304,0.6051437216338881,2.105022831050228,1.0,0.6215469114343459,0.5459770114942586,0.214645455459825,0.19869787896879543,61.846153846153854
1000FLOKI,36,661,48.86535552193646,0.06716717860723417,-0.015541223094250878,1.2452938700532734,0.7879787428990204,1.3842288636472737,-1.2736416744476846,2.123306854845699,1.6434871980291526,2.5076896787423197,3.83660733281328,49.62178517397882,49.319213313161875,1.059001512859304,0.0,2.201210287443268,1.0,0.6215469114343459,0.5459770114942586,0.2983651905472769,0.21470368826561614,57.18654434250765
1000FLOKI,72,661,50.832072617246595,0.3291183392640058,0.035198873636033134,2.0090316206523617,1.2373787368837874,2.429795696321713,-1.917530934079599,3.497248838394643,2.6142720198211356,3.8412291933418663,6.619060697610535,49.62178517397882,49.319213313161875,1.059001512859304,0.0,2.201210287443268,1.0,0.6215469114343459,0.5459770114942586,0.32999902559651534,0.23869500650601227,55.35168195718655
1000FLOKI,288,661,47.95763993948563,1.2712009571952405,-0.30293533897419733,5.464664757058389,2.9607622169859793,6.381210091323294,-4.481683211283457,9.130209365642145,6.6694158222580135,8.974901297236315,16.90072819141031,49.62178517397882,49.319213313161875,1.059001512859304,0.0,2.201210287443268,1.0,0.6215469114343459,0.5459770114942586,-0.39021157624458847,0.3327608058055931,53.36391437308868
1000LUNC,6,662,48.18731117824773,0.008753819250970839,0.0,0.3747617744243965,0.2719464342516631,0.4043773969656838,-0.4009225760722975,0.6437105925584454,0.4361727907227101,0.7612142065148764,1.2265807192579432,50.30211480362537,45.31722054380665,0.906344410876133,3.474320241691843,1.9311424100156493,1.0,0.49050581034946505,0.4174655459893706,0.16310672587992203,0.16416105063071784,65.40284360189574
1000LUNC,12,662,51.20845921450151,0.04489061073545967,0.023596090871835784,0.5508432131653896,0.4075281087214333,0.5950596422135226,-0.5902593901260137,0.9462456484225961,0.6829337468278825,1.1224670739767573,1.738041913524624,51.20845921450151,47.88519637462236,0.906344410876133,0.0,2.1465256797583083,1.0,0.49050581034946505,0.4174655459893706,0.20832440849947392,0.17951307305515973,60.670731707317074
1000LUNC,36,662,52.11480362537765,0.09024058884080031,0.054610038945235306,1.013576170458363,0.6765648585752126,1.210787468470915,-1.1185390855364772,1.8518227665693487,1.4235014037056257,2.1833295319896973,3.31919583141027,51.20845921450151,47.88519637462236,0.906344410876133,0.0,2.1465256797583083,1.0,0.49050581034946505,0.4174655459893706,0.16537585342216163,0.17939012933808618,56.09756097560976
1000LUNC,72,662,53.17220543806647,0.03819758842274243,0.13057026872915767,1.4044440274510397,0.9140930479413334,1.7474978701026245,-1.6358491195821432,2.7018662825928548,2.141106697666489,3.1095972671140726,4.84460919826082,51.20845921450151,47.88519637462236,0.906344410876133,0.0,2.1465256797583083,1.0,0.49050581034946505,0.4174655459893706,0.1368709898435347,0.1520304972625397,53.8109756097561
1000LUNC,288,662,49.848942598187314,0.06544233541090698,-0.015603655525719962,3.6669960069528185,2.357893810284817,4.168857522771288,-3.9161023660579226,6.475136021732748,5.097500968490707,7.234538515348912,11.138791273875906,51.20845921450151,47.88519637462236,0.906344410876133,0.0,2.1465256797583083,1.0,0.49050581034946505,0.4174655459893706,0.07532206315244155,0.27888030107250383,53.65853658536586
1000PEPE,6,786,48.473282442748086,-0.020424487838933147,-0.01346145835460777,0.4524597015626608,0.3193634478747265,0.4587863195647818,-0.4934946696100329,0.7563446104741489,0.49533020803451566,0.8938706952140607,1.3956106159508985,50.50890585241731,44.02035623409669,2.035623409669211,3.435114503816794,1.7984189723320159,1.0,0.5682582759967711,0.4801934260803775,0.22449855224428472,0.1876595105840151,67.96769851951548
1000PEPE,12,786,51.01781170483461,0.026293971549692013,0.010296425848832502,0.6403656222427451,0.43696331285105194,0.6966122746080317,-0.7057807918885568,1.115390985569186,0.8011054325447773,1.329041531710462,2.3108416832978538,51.526717557251914,45.80152671755725,2.035623409669211,0.6361323155216284,2.0089628681177976,1.0,0.5682582759967711,0.4801934260803775,0.2180856641112342,0.14338786417260607,59.47712418300654
1000PEPE,36,786,46.69211195928753,-0.039942110151142296,-0.06824109837592074,1.1730777901175709,0.791703835704205,1.3258016151837095,-1.3715883772066804,2.1128179999973105,1.6189629802043357,2.5400502934087825,3.7452278625893953,51.908396946564885,46.0559796437659,2.035623409669211,0.0,2.090330788804071,1.0,0.5682582759967711,0.4801934260803775,0.2842351676117429,0.16441418543905462,55.97402597402598
1000PEPE,72,786,46.43765903307888,0.02914404320676804,-0.13568661989595832,1.86695202599918,1.0885791593800265,2.1092306491100894,-2.084889168071167,3.312247318373058,2.507387949253246,3.6620146160112306,6.842430707500036,51.908396946564885,46.0559796437659,2.035623409669211,0.0,2.090330788804071,1.0,0.5682582759967711,0.4801934260803775,0.3606909882573929,0.15471110968664492,53.76623376623376
1000PEPE,288,786,47.45547073791349,0.3597172275304828,-0.29346720185652875,4.71849518967866,3.2071421804300004,5.07864990119098,-4.657407704739371,7.91502354774503,5.805387881508917,9.162979283112374,14.108101323308219,51.908396946564885,46.0559796437659,2.035623409669211,0.0,2.090330788804071,1.0,0.5682582759967711,0.4801934260803775,0.2644608357687911,-0.11331128752303243,48.57142857142857
1000RATS,6,437,44.16475972540046,-0.06372323774660031,-0.0699745547073749,0.5910364497623191,0.4721967721474263,0.566500841180585,-0.6511522559184227,0.9792762339515876,0.687318893183073,1.1854951185495177,1.6924178636041898,44.62242562929062,51.029748283752866,1.1441647597254003,3.203661327231121,1.8699763593380614,1.0,0.742768962847443,0.6703619480765477,0.2339057534687769,0.22981364578419372,63.1578947368421
1000RATS,12,437,47.139588100686495,-0.024350641608559688,-0.05170248910555397,0.8135562548421849,0.6151742993848242,0.836688383436956,-0.9239781700666158,1.3975527462743198,1.079818234346153,1.675807434491139,2.4602197620256576,45.30892448512586,53.08924485125858,1.1441647597254003,0.4576659038901602,2.0344827586206895,1.0,0.742768962847443,0.6703619480765477,0.22693939880570593,0.13742055625303173,57.44186046511628
1000RATS,36,437,47.139588100686495,0.05447763071056018,-0.07923930269413404,1.5794294329622016,1.1177347242921076,1.8052932196444451,-1.7155987441363278,2.78220217625857,2.204976519767882,3.409090909090906,4.772081877361558,45.30892448512586,53.546910755148744,1.1441647597254003,0.0,2.0846681922196795,1.0,0.742768962847443,0.6703619480765477,0.22502707298508862,0.17890270635530503,53.93518518518518
1000RATS,72,437,48.51258581235698,0.12078552863301734,-0.06662780044973671,2.4855347867129187,1.834862385321101,3.0326800581001097,-2.7561594932447098,4.534546055899577,3.561300425205136,5.319950671416818,8.152327032988351,45.30892448512586,53.546910755148744,1.1441647597254003,0.0,2.0846681922196795,1.0,0.742768962847443,0.6703619480765477,-0.01945251805709236,-0.03456485434619738,49.30555555555556
