experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
long_session_baseline_symbol1_dd_conf,30479,207.76705236645077,1.0776705236645077,215.0228731196742,1.150228731196742,0.4931920338593786,1.2303105397852616,-0.2989514607461239,255,255,4920,0
long_session_symbol1_dd_conf_us_only,11099,171.91066838370534,0.7191066838370535,190.06221270749958,0.9006221270749959,0.5438327777277232,1.495241811726064,-0.13183737140033935,227,227,4920,0
long_session_symbol1_dd_conf_entrygap24,8661,150.5951958595804,0.5059519585958041,155.7330783658771,0.5573307836587711,0.5122965015587114,1.5651312087301017,-0.07511458188491782,156,156,4920,0
long_session_symbol1_dd_conf_reentry24,8661,150.5951958595804,0.5059519585958041,155.7330783658771,0.5573307836587711,0.5122965015587114,1.5651312087301017,-0.07511458188491782,156,156,4920,0
long_session_symbol1_dd_conf_prior2_win48,22444,150.20039780007767,0.5020039780007766,160.96356870921554,0.6096356870921553,0.48649973266797364,1.1588559502031457,-0.25664836048145256,218,218,4920,0
long_session_symbol1_dd_conf_us_entrygap24,3190,119.95057011498606,0.19950570114986066,119.95172603416037,0.19951726034160377,0.5573667711598747,1.7823839577338578,-0.0229475651727441,156,156,4920,0
long_session_symbol1_dd_conf_us_reentry24,3190,119.95057011498606,0.19950570114986066,119.95172603416037,0.19951726034160377,0.5573667711598747,1.7823839577338578,-0.0229475651727441,156,156,4920,0
long_session_max50_conf_us_only,9701,162.56271499569215,0.6256271499569215,166.7607576509979,0.6676075765099789,0.5442737862076075,1.524189707610478,-0.05893650997086919,50,50,4920,0
long_session_max50_conf_us_entrygap24,3181,118.34658894119113,0.18346588941191122,118.34772940339352,0.1834772940339351,0.5507701980509274,1.704102822942824,-0.0229475651727441,50,50,4920,0
long_session_symbol1_dd_conf_asia_only,19427,119.91533621846571,0.19915336218465707,124.10312333511177,0.24103123335111776,0.46337571421217894,1.1023100226575826,-0.2695662631961683,255,255,4920,0
