symbol,trades,wins,losses,win_rate_pct,sum_trade_return_pct,avg_trade_return_pct,gross_profit_return_pct,gross_loss_abs_return_pct,profit_factor,asset_pnl,rank,positive_pool_share_pct,negative_pool_share_pct,net_contribution_pct,cumulative_positive_pool_share_pct
JELLYJELLY,36,3,33,8.333333333333332,1117.3210850954056,31.03669680820571,1226.4462051391602,109.12512004375458,11.238899023867345,56.042943089073205,1,6.10115534997989,0.0,7.0779109817884125,6.10115534997989
BAS,9,1,8,11.11111111111111,971.1645132899284,107.90716814332538,1025.5440673828125,54.379554092884064,18.859001043500868,42.827766436892155,2,4.662475628891082,0.0,5.408907913835992,10.763630978870971
BANANAS31,32,2,30,6.25,639.4314519166946,19.982232872396708,682.3260250091553,42.89457309246063,15.907047810882267,19.305996309510356,3,2.1017611884381324,0.0,2.438239602732285,12.865392167309103
BDXN,8,2,6,25.0,301.5909277051687,37.69886596314609,307.18650817871094,5.595580473542213,54.89805921498083,19.295965961528406,4,2.100669227383286,0.0,2.4369728257534287,14.966061394692389
BROCCOLI714,19,2,17,10.526315789473683,547.1386299729347,28.796769998575513,581.0656890869141,33.92705911397934,17.12691003174782,18.400208005243996,5,2.0031518925319474,0.0,2.323843594375751,16.969213287224335
BLESS,5,1,4,20.0,374.5648152977228,74.91296305954457,392.6910705566406,18.12625525891781,21.664213868081955,16.7665950932488,6,1.8253074466759445,0.0,2.1175273994638437,18.794520733900278
TRUST,2,2,0,100.0,239.59381484985352,119.79690742492676,239.59381484985352,0.0,inf,14.34974526939713,7,1.5621953504847377,0.0,1.8122927531965185,20.356716084385017
COAI,9,1,8,11.11111111111111,239.6329950094223,26.625888334380257,240.2729949951172,0.6399999856948853,375.4265630713082,12.69984700804062,8,1.38257798834516,0.0,1.6039198095356473,21.73929407273018
SLERF,11,1,10,9.090909090909092,279.96644499897957,25.451494999907233,322.2602844238281,42.29383942484856,7.619556153005422,12.665081021796272,9,1.3787931642213644,0.0,1.5995290594738514,23.118087236951542
BAKE,54,5,49,9.25925925925926,492.5212768316269,9.120764385770869,559.7359313964844,67.21465456485748,8.32758771164074,12.35946407541214,10,1.34552195531086,0.0,1.5609313445466593,24.463609192262403
COMMON,3,2,1,66.66666666666666,174.88040344417095,58.29346781472365,174.9604034423828,0.07999999821186066,2187.005091913158,12.322381165395681,11,1.341484897612442,0.0,1.5562479799413245,25.805094089874846
BROCCOLIF3B,22,4,18,18.181818181818183,359.45679995417595,16.338945452462543,449.4095973968506,89.95279744267464,4.996060269090036,11.468093886788854,12,1.2484822979451162,0.0,1.4483562637399976,27.053576387819962
AT,4,1,3,25.0,159.25363247096539,39.813408117741346,175.46438598632812,16.21075351536274,10.823950029222429,10.72381286360335,13,1.1674556084780865,0.0,1.354357723742399,28.22103199629805
NAORIS,9,1,8,11.11111111111111,175.3389097303152,19.482101081146133,204.87359619140625,29.53468646109104,6.9367113973363645,9.51440321909549,14,1.0357923567609393,0.0,1.2016160343786229,29.256824353058988
PTB,7,1,6,14.285714285714285,104.85299256443977,14.97899893777711,105.33299255371094,0.47999998927116394,219.4437393918476,8.751028479101445,15,0.9526870160661847,0.0,1.105206064494704,30.209511369125174
COTI,66,5,61,7.575757575757576,219.59777867794037,3.3272390708778845,245.94435119628906,26.346572518348694,9.334965716128906,7.866919827679046,16,0.8564378911760793,0.0,0.9935480753157453,31.065949260301252
GPS,9,2,7,22.22222222222222,183.85854096710682,20.42872677412298,184.41854095458984,0.5599999874830246,329.31883049404564,6.9800499201294635,17,0.7598881601495999,0.0,0.8815413548962614,31.825837420450853
TRB,107,8,99,7.476635514018691,364.9600819051266,3.4108418869637998,478.40599250793457,113.445910602808,4.217040437736969,6.968155493644561,18,0.7585932648464043,0.0,0.8800391552043972,32.58443068529726
XPIN,3,1,2,33.33333333333333,155.99516662955284,51.998388876517616,156.15516662597656,0.1599999964237213,975.9698132269788,6.91291149148504,19,0.7525790867759529,0.0,0.8730621460037677,33.33700977207321
MYRO,22,2,20,9.090909090909092,119.36755801737309,5.425798091698777,132.42260360717773,13.05504558980465,10.143404149472545,6.387610739799578,20,0.6953918422302772,0.0,0.8067195923447478,34.03240161430349
TST,19,4,15,21.052631578947366,168.652670443058,8.876456339108316,187.77038383483887,19.117713391780853,9.82180138319082,6.112294175938633,21,0.6654193062792559,0.0,0.7719486466482937,34.69782092058274
SAPIEN,14,1,13,7.142857142857142,106.82152952253819,7.630109251609871,144.2059326171875,37.384403094649315,3.8573822417891472,5.873461646987483,22,0.639418631056979,0.0,0.7417854309730407,35.33723955163972
PLUME,3,2,1,66.66666666666666,95.78750793635845,31.929169312119484,95.86750793457031,0.07999999821186066,1198.3438759672017,5.758698018647428,23,0.6269248060286047,0.0,0.7272914251167293,35.964164357668324
SOON,19,3,16,15.789473684210526,140.46573868393898,7.392933614944157,159.4476203918457,18.981881707906723,8.399990203575513,5.716781208003824,24,0.6223615022580327,0.0,0.7219975658362776,36.586525859926354
RLC,63,7,56,11.11111111111111,281.1977694928646,4.463456658616899,319.071496963501,37.87372747063637,8.424613004116857,5.71510165606794,25,0.6221786566272652,0.0,0.7217854477989971,37.20870451655362
LEVER,39,3,36,7.6923076923076925,189.4630835056305,4.858027782195654,218.6535530090332,29.19046950340271,7.490580204047247,5.7081593014745176,26,0.6214228721959979,0.0,0.7209086671535169,37.83012738874962
HEMI,10,1,9,10.0,63.71016839146614,6.371016839146614,103.34529876708984,39.6351303756237,2.6074166474963585,5.626830957388917,27,0.6125690034611917,0.0,0.7106373511232498,38.442696392210806
KDA,13,1,12,7.6923076923076925,121.46869195997715,9.343745535382858,129.4062042236328,7.9375122636556625,16.30311865043143,5.531844552572853,28,0.6022282401112405,0.0,0.6986410982373213,39.044924632322044
FIS,11,2,9,18.181818181818183,107.58447921276093,9.780407201160084,115.3755111694336,7.7910319566726685,14.80875855869384,5.459125761217187,29,0.594311656533206,0.0,0.6894571206738911,39.63923628885525
1000FLOKI,56,5,51,8.928571428571429,145.31987005472183,2.5949976795486043,193.98299407958984,48.66312402486801,3.986242107688358,5.386520266274038,30,0.5864074070506926,0.0,0.680287451815146,40.225643695905944
DOOD,19,2,17,10.526315789473683,119.70893675088882,6.300470355309938,159.3612937927246,39.652357041835785,4.018961435876011,5.208923913409221,31,0.5670732522277394,0.0,0.65785802347,40.79271694813368
RED,22,3,19,13.636363636363635,89.16747751832008,4.05306715992364,119.55155754089355,30.38408002257347,3.9346775499562345,5.089178187793559,32,0.5540370475923753,0.0,0.6427348065288369,41.346753995726054
ALLO,1,1,0,100.0,67.1797866821289,67.1797866821289,67.1797866821289,0.0,inf,4.961190758434934,33,0.5401036039450555,0.0,0.6265707083952237,41.88685759967111
OPEN,3,2,1,66.66666666666666,85.72975397109985,28.576584657033283,90.92428588867188,5.1945319175720215,17.503845838562263,4.44468043227079,34,0.4838733354028126,0.0,0.5613383364272874,42.37073093507392
BIO,27,3,24,11.11111111111111,124.1309043765068,4.597440902833585,151.9480209350586,27.81711655855179,5.462392934049283,4.369050876720745,35,0.4756398693850239,0.0,0.551786745588729,42.84637080445895
HMSTR,6,2,4,33.33333333333333,79.26605734229088,13.21100955704848,94.95783424377441,15.691776901483536,6.051439224502158,4.324276782591873,36,0.47076550539060086,0.0,0.5461320273482774,43.31713630984955
MAVIA,16,3,13,18.75,96.25361669063568,6.01585104316473,138.15273666381836,41.89911997318268,3.297270605020877,4.257657879805338,37,0.4635129905735283,0.0,0.5377184316725813,43.78064930042308
NIL,10,2,8,20.0,69.66934771835804,6.966934771835804,76.23137664794922,6.562028929591179,11.6170436713845,4.235380083970944,38,0.4610877022901356,0.0,0.534904870373067,44.241737002713215
ORDI,49,4,45,8.16326530612245,119.02386462688446,2.429058461773152,161.762601852417,42.73873722553253,3.784917673135613,4.193443905669769,39,0.4565222900455776,0.0,0.5296085650655394,44.69825929275879
KGEN,1,1,0,100.0,77.80354309082031,77.80354309082031,77.80354309082031,0.0,inf,4.171762932151163,40,0.4541619752533017,0.0,0.5268703790941263,45.15242126801209
WIF,53,3,50,5.660377358490567,93.56590929627419,1.7653945150240413,125.13895034790039,31.573041051626205,3.963474729699975,4.168273148612259,41,0.4537820574557153,0.0,0.5264296389068235,45.60620332546781
