run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,rsi_max,ema20_min,ret20_min,ret60_min,block_ret3_max,block_ret12_max,block_atr_spike_max,block_vol_spike_max,block_range_atr_max,block_upper_max,atrp_max,range20_max,stop_atr,rr,hold,cooldown,verdict,note
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_B_014,pump_block,recent_pump_block,long,4754282,1583686,3170596,33.310729149007145,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_B_014,72,0.84,-0.16,-0.32,0.055,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_B_015,pump_block,recent_pump_block,long,4754304,1583687,3170617,33.31059604097676,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_B_015,72,0.84,-0.16,-0.32,0.055,0.22,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_B_016,pump_block,recent_pump_block,long,4754083,1583636,3170447,33.31107176715257,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_B_016,72,0.84,-0.16,-0.32,0.075,0.1,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_B_017,pump_block,recent_pump_block,long,4754437,1583716,3170721,33.3102741712636,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_B_017,72,0.84,-0.16,-0.32,0.075,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_B_018,pump_block,recent_pump_block,long,4754466,1583716,3170750,33.31007099430304,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_B_018,72,0.84,-0.16,-0.32,0.075,0.22,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_019,volume_wick_block,volume_upper_block,long,4716907,1570707,3146200,33.29951173512643,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_019,72,0.84,-0.16,-0.32,0.07,0.16,2.0,2.2,4.0,0.62,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_020,volume_wick_block,volume_upper_block,long,4716907,1570707,3146200,33.29951173512643,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_020,72,0.84,-0.16,-0.32,0.07,0.16,2.0,2.2,4.0,0.75,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_021,volume_wick_block,volume_upper_block,long,4716907,1570707,3146200,33.29951173512643,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_021,72,0.84,-0.16,-0.32,0.07,0.16,2.0,2.2,4.0,0.88,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_022,volume_wick_block,volume_upper_block,long,4746616,1581086,3165530,33.30975162094427,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_022,72,0.84,-0.16,-0.32,0.07,0.16,2.0,3.2,4.0,0.62,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_C_023,volume_wick_block,volume_upper_block,long,4746616,1581086,3165530,33.30975162094427,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_C_023,72,0.84,-0.16,-0.32,0.07,0.16,2.0,3.2,4.0,0.75,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
