run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,range60_max,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,rsi_min,rsi_max,volr_min,volr_max,close_pos_min,upper_wick_max,body_atr_max,early_bars,early_adverse_pct,early_adverse_atr,early_close_fail_pct,early_require_favorable,early_favorable_pct,early_favorable_atr,late_fail_bars,late_fail_pnl,verdict,note
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_001_EB1_ADV45_RR160,early_adverse_cut,cut_if_early_adverse_excursion,long,4746645,1565555,3181090,32.98234858515857,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_001_EB1_ADV45_RR160,0.85,1.6,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.34,0.45,-0.23399999999999999,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_002_EB1_ADV45_RR220,early_adverse_cut,cut_if_early_adverse_excursion,long,4627667,1321004,3306663,28.545787758712976,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_002_EB1_ADV45_RR220,0.85,2.2,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.34,0.45,-0.23399999999999999,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_003_EB1_ADV65_RR160,early_adverse_cut,cut_if_early_adverse_excursion,long,4665574,1644857,3020717,35.25519046531038,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_003_EB1_ADV65_RR160,0.85,1.6,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.38,0.65,-0.258,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_004_EB1_ADV65_RR220,early_adverse_cut,cut_if_early_adverse_excursion,long,4534080,1365384,3168696,30.113804785094224,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_004_EB1_ADV65_RR220,0.85,2.2,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.38,0.65,-0.258,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_005_EB1_ADV85_RR160,early_adverse_cut,cut_if_early_adverse_excursion,long,4622758,1693639,2929119,36.6369816460217,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_005_EB1_ADV85_RR160,0.85,1.6,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.42000000000000004,0.85,-0.282,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_006_EB1_ADV85_RR220,early_adverse_cut,cut_if_early_adverse_excursion,long,4486231,1397984,3088247,31.161658862417024,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_006_EB1_ADV85_RR220,0.85,2.2,12,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,1,-0.42000000000000004,0.85,-0.282,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_007_EB2_ADV45_RR160,early_adverse_cut,cut_if_early_adverse_excursion,long,4792368,1509093,3283275,31.48950581424465,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_007_EB2_ADV45_RR160,0.85,1.6,14,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,2,-0.34,0.45,-0.23399999999999999,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_008_EB2_ADV45_RR220,early_adverse_cut,cut_if_early_adverse_excursion,long,4669677,1268834,3400843,27.171772266047522,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_008_EB2_ADV45_RR220,0.85,2.2,14,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,2,-0.34,0.45,-0.23399999999999999,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_009_EB2_ADV65_RR160,early_adverse_cut,cut_if_early_adverse_excursion,long,4693323,1602229,3091094,34.13847715147668,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_009_EB2_ADV65_RR160,0.85,1.6,14,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,2,-0.38,0.65,-0.258,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
LONG_HOLDING_TIME_EDGE_V12_1H,HTE_A_010_EB2_ADV65_RR220,early_adverse_cut,cut_if_early_adverse_excursion,long,4553784,1318177,3235607,28.946849477269893,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,HTE_A_010_EB2_ADV65_RR220,0.85,2.2,14,20,0.001,0.08,0.18,0.32,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.9,0.84,0.74,30.0,70.0,0.3,3.5,0.5,0.7,2.0,2,-0.38,0.65,-0.258,False,0.2,0.35,5,-0.42,invalid_ruin,MDD >= 100
