candidate,period,period_col,trades,wins,losses,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,max_mfe_pct,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct,final_asset,final_return_pct,max_return_pct,exit_mdd_pct,official_cd_value,max_concurrent
ALL_BASE,2020,year,8,3,5,37.5,-3.223590941499263,-2.698911282695191,-13.181548946154187,8.072773753049875,0.36595931064021264,8.948513629038255,6.583428512631873,14.549189272717472,19.004539900494972,19.05097660957605,19.088125976840917,19.097413318657132,3.083943053348215,1.6483137540481807,9.914534148365757,12.713112432738605,87.5,62.5,37.5,99.74216268712058,-0.25783731287941647,0.013258515663117088,0.3781826207419458,99.63502575351917,2
ALL_BASE,2021,year,53,26,27,49.056603773584904,0.09486214941083565,-0.49317821028595826,-10.076508950719601,13.519656613884884,1.040828465488665,6.223004142359621,4.796982132388572,8.772600644562178,12.155616190444587,13.579994014684155,28.33420804752329,35.65112540192927,5.4683703977339375,2.8650543399971307,19.04138964324695,42.954545454545446,64.15094339622641,45.28301886792453,18.867924528301888,100.04910092547621,0.0491009254762087,0.3946782787674019,0.587086209782597,99.80527496723715,5
ALL_BASE,2022,year,65,40,25,61.53846153846154,1.2455191576661762,1.427095201002473,-6.121476710545547,7.577904819551141,2.0808299788830933,3.824334337642807,2.453271028037385,5.620000000000003,9.247229429654062,12.111637511936676,13.144273072060674,13.40075853350189,5.466466968108737,4.639175257731942,13.194425840552654,18.95643848731452,43.07692307692308,30.76923076923077,7.6923076923076925,100.81217673986687,0.8121767398668656,1.0350633725667358,0.2206032492679892,100.81217673986687,18
ALL_BASE,2023,year,69,34,35,49.275362318840585,0.20726067897676825,-0.022410135816084354,-5.62781615638795,5.831619239687712,1.1718139124928233,2.8764924250342334,2.0634253911582467,3.710575139146566,6.465854448199973,7.216066810531004,10.567828139638566,13.563183475091133,3.2401850884519576,2.3459203621771785,9.069288389513108,26.16984402079723,33.33333333333333,17.391304347826086,1.4492753623188406,100.14261634659228,0.1426163465922725,0.1426163465922725,0.357459527331588,99.78464702354226,6
ALL_BASE,2024,year,108,67,41,62.03703703703704,0.8576238025910109,0.9375069585510842,-5.476617078770304,8.761053962719217,1.688953572834222,3.414688929950854,2.206631035257478,3.579795896383675,6.687835678397035,10.084454060200947,19.407368099344904,45.39085545722714,3.9644729886455545,2.690129354673776,12.858468614747308,19.893508553302365,35.18518518518518,16.666666666666664,5.555555555555555,100.92898269735588,0.9289826973558846,0.9289826973558846,0.5262806632542288,100.3978129778005,9
ALL_BASE,2025,year,177,91,86,51.41242937853108,0.9361853947137356,0.12521768287193877,-7.203455926257644,9.125038899416982,1.5618121576522581,4.699569533602248,2.8677678408468577,5.145754119138157,9.768414269585591,13.278902652204282,37.627370447402996,57.67472371530125,5.07522509469523,3.1197192252697237,16.608109363292396,63.3118941933146,48.0225988700565,25.423728813559322,10.16949152542373,101.66481235991576,1.6648123599157572,1.6656256849212348,0.5569050693128396,101.09944466173329,10
ALL_BASE,2026,year,6,3,3,50.0,-0.5686463874477071,-0.5200910673198977,-10.657039265918005,8.788525836041897,0.8262533137670969,6.242817362864025,4.572436440284777,8.54643722337235,12.873975093194812,14.749642633446037,16.250176665647018,16.62531017369726,5.2110832245962735,2.7772972928364448,13.47301587301587,14.488888888888884,50.0,50.0,16.666666666666664,99.96572627300245,-0.03427372699755793,0.12751441655713958,0.1962746424338596,99.93098949565812,2
B_FAST_BREAK,2020,year,3,2,1,66.66666666666666,3.0656671045566526,1.036625310173691,-2.2296440016459473,9.781307466827323,4.547455538494964,3.025327084505388,3.140782431719402,4.537990626758082,5.376315543781289,5.655757182789025,5.879310493995214,5.935198821796761,5.077590297719162,2.386934673366814,11.680494656801425,12.713112432738605,66.66666666666666,33.33333333333333,0.0,100.09195059182981,0.09195059182980359,0.09195059182980359,0.02592562814069549,100.06600112492059,1
B_FAST_BREAK,2021,year,19,10,9,52.63157894736842,0.712998368395667,1.1272746033793268,-8.359524531443189,13.988385155873168,1.3495575167475864,5.102323359276869,4.796982132388572,7.697813139204135,12.105578052734627,13.051591756764951,14.195215479998696,14.48112141080713,6.015974370657539,2.8603639033086825,24.682077001088548,41.44682646121276,57.89473684210527,36.84210526315789,15.789473684210526,100.13516611194383,0.13516611194384076,0.2077768157557447,0.23529441432575696,99.97199351418824,2
B_FAST_BREAK,2022,year,24,15,9,62.5,1.8619765146556941,1.7935350691729157,-5.213846089036862,8.947701697227979,3.2413349990071127,2.98196672144003,2.211822145562803,3.945318834994649,6.786049529470032,7.4781925941143195,8.878141221206468,9.286165508528121,5.7660932871260515,5.219287963785768,11.858553305774638,15.845070422535223,33.33333333333333,20.833333333333336,0.0,100.44763191118123,0.44763191118122325,0.46917985912227067,0.10614071039326275,100.36254115789352,6
