fee_tag,axis,strategy,status,trades,ref_trades,trades_delta,max_return_pct,ref_max_return_pct,max_return_delta,max_drawdown_pct,ref_max_drawdown_pct,mdd_delta,official_cd_value,ref_official_cd_value,cd_delta,trade_tolerance,max_return_tolerance,mdd_tolerance,cd_tolerance
fee_004,long_main,6V2_L01_doubleflush_core,DRIFT,859776,592,859184,0.0,23.91906,-23.91906,100.0,1.751183,98.248817,0.0,121.7490287208,-121.7490287208,5,0.5,0.25,1.0
fee_004,long_max,8V4_V51_V002_core_rare22_c1,DRIFT,438074,2276,435798,0.0,44.266371,-44.266371,99.99999982602851,6.758722,93.24127782602851,1.739714816650917e-07,134.5158668232,-134.51586664922854,11,0.5,0.25,1.0
fee_004,short_main,short_beh_dd_brake,DRIFT,79059,28017,51042,376.86114451622564,311.81215,65.04899451622566,99.9989414110949,4.758886,95.2400554110949,0.005047999168584923,392.2144692142,-392.2094212150314,140,0.5,0.25,1.0
fee_004,short_max,short_only_reference_1x,DRIFT,95045,36505,58540,499.0004459848927,394.614496,104.3859499848927,99.99987319166237,7.77924,92.22063319166237,0.0007595825079524684,456.137448816,-456.13668923349206,183,0.5,0.25,1.0
fee_010,long_main,6V2_L01_doubleflush_core,DRIFT,860656,592,860064,0.0,23.91906,-23.91906,100.0,1.751183,98.248817,0.0,121.7490287208,-121.7490287208,5,0.5,0.25,1.0
fee_010,long_max,8V4_V51_V002_core_rare22_c1,DRIFT,438074,2276,435798,0.0,44.266371,-44.266371,99.99999996969828,6.758722,93.24127796969827,3.030171669138326e-08,134.5158668232,-134.5158667928983,11,0.5,0.25,1.0
fee_010,short_main,short_beh_dd_brake,DRIFT,79059,28017,51042,196.74679546264468,311.81215,-115.06535453735529,99.99926763255111,4.758886,95.2403816325511,0.00217327693557989,392.2144692142,-392.2122959372644,140,0.5,0.25,1.0
fee_010,short_max,short_only_reference_1x,DRIFT,95045,36505,58540,238.66157420006977,394.614496,-155.9529217999302,99.99991861630659,7.77924,92.22067861630659,0.0002756152972705501,456.137448816,-456.13717320070276,183,0.5,0.25,1.0
