month,trades,avg_pnl_pct,sum_pnl_pct,wins,losses,win_rate_pct,max_trade_pct,min_trade_pct
2019-09,1,-1.0616343956688734,-1.0616343956688734,0,1,0.0,-1.0616343956688734,-1.0616343956688734
2019-10,1,1.1769567281776494,1.1769567281776494,1,0,100.0,1.1769567281776494,1.1769567281776494
2019-11,1,1.042833806568968,1.042833806568968,1,0,100.0,1.042833806568968,1.042833806568968
2019-12,2,0.14816016826950335,0.2963203365390067,1,1,50.0,1.1199874359135853,-0.8236670993745786
2020-01,19,-0.2676562833284763,-5.085469383241049,7,12,36.84210526315789,2.7182727678101726,-3.6278571129626935
2020-02,110,1.800022434802149,198.00246782823638,95,15,86.36363636363636,10.091538449793104,-3.3733065025722686
2020-03,224,0.6945058256947227,155.5693049556179,129,95,57.58928571428571,8.14207517410738,-4.3844209380724735
2020-04,13,1.1264303798262014,14.643594937740618,11,2,84.61538461538461,2.1561418097725404,-1.7647114745708992
2020-05,60,-0.38240988317998964,-22.94459299079938,30,30,50.0,3.9973434216057058,-4.42114409524139
2020-06,73,0.24509380369488987,17.89184766972696,32,41,43.83561643835616,4.9382481751824825,-4.650453284389931
2020-07,65,1.2757551406488568,82.92408414217569,52,13,80.0,4.789056699720309,-2.8870580111002164
2020-08,228,1.14343210204656,260.7025192666157,154,74,67.54385964912281,8.334654909572672,-4.905075607295137
2020-09,408,1.0180110965954716,415.3485274109524,252,156,61.76470588235294,10.132234094696582,-5.138820658957686
2020-10,198,1.056201677929222,209.12793222998596,131,67,66.16161616161617,7.866847316310568,-2.648130156621784
2020-11,472,1.6047350550026895,757.4349459612695,355,117,75.21186440677965,15.249313543599277,-5.212453714857266
2020-12,436,0.7867781447679906,343.03527111884387,281,155,64.44954128440367,9.399901278931525,-4.34670244885663
2021-01,972,1.5254609961294054,1482.748088237782,645,327,66.35802469135803,26.183436098934024,-5.16742129560641
2021-02,1209,1.3840887858592992,1673.3633421038926,855,354,70.71960297766749,18.24310026516173,-8.136799949337744
2021-03,573,1.0608201665098913,607.8499554101677,375,198,65.44502617801047,14.632670888323377,-9.807669451132549
2021-04,933,1.4797966439524528,1380.6502688076384,663,270,71.06109324758843,13.222269227085016,-5.973500515076344
2021-05,1838,1.1597032002278238,2131.53448201874,1070,768,58.21545157780196,14.61932104752667,-7.737667433833037
2021-06,565,1.053424683634601,595.1849462535496,378,187,66.90265486725664,7.109649525057318,-4.789599802265929
2021-07,323,1.5412994316717616,497.839716429979,280,43,86.687306501548,5.076613820686728,-3.4338348917942385
2021-08,389,1.5911568350485255,618.9600088338764,334,55,85.8611825192802,3.946983944817708,-2.945518050042004
2021-09,941,1.8551707119608496,1745.7156399551595,649,292,68.9691817215728,37.696176753121996,-10.320090102276211
2021-10,231,0.08948207154682748,20.67035852731715,109,122,47.18614718614719,7.999549590963108,-4.8499556936187656
2021-11,520,0.5052930688048602,262.75239577852733,272,248,52.307692307692314,10.850076061909899,-5.445355540314676
2021-12,510,0.8433238764811984,430.0951770054112,339,171,66.47058823529412,7.424217348841324,-4.642868606448689
2022-01,525,1.413590464823503,742.134994032339,371,154,70.66666666666667,10.61554554269092,-4.064015100850602
2022-02,356,0.2881080271823194,102.56645767690571,169,187,47.47191011235955,3.9160295415456314,-2.717683401328883
2022-03,186,1.8642558561438063,346.75158924274797,171,15,91.93548387096774,5.140159618221576,-3.0850481624873782
2022-04,392,0.7654869621226442,300.0708891520765,253,139,64.54081632653062,8.049662979161312,-2.836633202384262
2022-05,1068,1.8819753804677661,2009.9497063395743,799,269,74.812734082397,13.30432122370936,-8.212707377622861
2022-06,733,1.3598818649065365,996.7934069764913,532,201,72.57844474761255,16.534958197714527,-6.69946121326239
2022-07,292,0.15679546526834248,45.784275858356004,150,142,51.369863013698634,7.207989808604789,-3.3691519974020845
2022-08,352,1.37016680671767,482.2987159646198,304,48,86.36363636363636,8.295865943260496,-3.4525574575100726
2022-09,423,0.8740334757258916,369.7161602320522,260,163,61.46572104018912,6.136116903042934,-3.97027031004483
2022-10,95,1.4632991757242435,139.01342169380314,82,13,86.31578947368422,4.386883457520132,-2.8408164265032654
2022-11,785,1.1245697007318791,882.7872150745251,509,276,64.84076433121018,26.44840360286968,-8.608068341090634
2022-12,251,1.0319022933718418,259.0074756363323,190,61,75.69721115537848,13.478728212314964,-3.3129159591713786
2023-01,641,0.7297956580466589,467.79901680790834,437,204,68.17472698907956,7.927766533301952,-4.4484193079670415
2023-02,434,1.451822403937483,630.0909233088676,341,93,78.57142857142857,6.226769494430164,-4.245603731125966
2023-03,532,0.5187187121921718,275.9583548862354,260,272,48.87218045112782,6.318974874105723,-5.191435809815901
2023-04,349,0.2721095348162302,94.96622765086433,157,192,44.985673352435526,5.942495793109561,-2.966786126346197
