strategy,quarter,trades,wins,losses,win_rate_pct,sum_trade_pnl_pct,quarter_trade_mdd_proxy_pct,worst_trade_pnl_pct,best_trade_pnl_pct
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q27,79,60,19,75.9493670886076,105.48675006966579,2.210827051173993,-2.2108270511740002,13.21707314141475
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q28,1,1,0,100.0,0.4631698419132491,0.0,0.4631698419132491,0.4631698419132491
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q29,3,0,3,0.0,-6.36048743585063,6.36048743585063,-2.5949911414882543,-1.8094688308675533
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q3,1,0,1,0.0,-0.9698429631802207,0.9698429631802207,-0.9698429631802207,-0.9698429631802207
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q30,2,2,0,100.0,3.2376261211770885,0.0,1.0978438030560334,2.139782318121055
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q31,1,0,1,0.0,-1.7225309213494389,1.7225309213494389,-1.7225309213494389,-1.7225309213494389
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q32,1,1,0,100.0,1.9324580737901353,0.0,1.9324580737901353,1.9324580737901353
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q33,2,1,1,50.0,3.6413071274026088,1.9961871355728444,-1.9961871355728444,5.637494262975453
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q4,5,1,4,20.0,-8.60745654226348,8.60745654226348,-4.021790541728973,1.6335862913096655
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q5,1,0,1,0.0,-1.4066936287030463,1.4066936287030463,-1.4066936287030463,-1.4066936287030463
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q6,1,0,1,0.0,-1.6871287604390584,1.6871287604390584,-1.6871287604390584,-1.6871287604390584
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1708-Q8,1,0,1,0.0,-1.3508355471975797,1.3508355471975797,-1.3508355471975797,-1.3508355471975797
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q0,217,0,217,0.0,-467.5225653739789,467.5225653739789,-6.971296307116635,-1.356550265885501
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q1,6,1,5,16.666666666666664,-3.7843141485513696,9.90774509639405,-2.6632329001748922,6.123430947842681
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q10,4,1,3,25.0,-3.428030344031243,3.428030344031243,-2.5543012407527743,1.6571649983855208
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q11,4,4,0,100.0,45.05153882490181,0.0,7.160070363855211,17.06800193919246
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q13,2,2,0,100.0,4.979151590034241,0.0,1.4079816863792471,3.5711699036549938
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q15,9,0,9,0.0,-21.626049172016238,21.626049172016238,-3.170280772394094,-1.4709036250978613
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q16,12,2,10,16.666666666666664,-5.496827401877823,21.443214744269877,-4.209456436643208,16.105400668730777
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q17,51,49,2,96.07843137254902,208.62143453518362,0.9975269648077898,-0.997526964807791,15.906185845457857
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q18,4,3,1,75.0,11.195824218684223,1.4280166009583795,-1.4280166009583795,5.066152708631146
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q19,2,1,1,50.0,0.2533751692989239,2.3574055982352493,-2.3574055982352493,2.610780767534173
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q2,12,11,1,91.66666666666666,64.59607760243469,0.05928074589315102,-0.05928074589315095,30.4536141829033
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,1709-Q20,2,1,1,50.0,4.494099992512018,2.9512860138866537,-2.9512860138866537,7.445386006398671
