strategy_name,side,description,symbols_tested,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,delta_cd_value_vs_baseline,verdict
5V2_L01_reclaim_uptrend_gate,long,L01 정제형: 상위 추세 또는 중립 회복 구간에서의 급락 회수,597,105,38,67,36.1905,-27.9897,0.0,43.5431,40.6548,108.8106,-68.1558,mdd_fail
5V2_L02_two_step_flush_reversal,long,L01 변형: 2단계 확인형 급락 반전,597,1952,689,1263,35.2971,-63.8706,474.1948,95.6093,1.5863,108.8106,-107.2243,mdd_fail
5V2_L03_range_failure_recovery,long,L01 변형: 장기 하단 이탈 실패 후 범위 복귀,597,64785,21996,42789,33.9523,-100.0,0.8182,100.0,0.0,108.8106,-108.8106,ruin
5V2_S01_trend_bounce_fail,short,신규 숏: 하락 추세 중 약한 반등 실패,597,17496,5297,12199,30.2755,-100.0,16.8953,100.0,0.0,391.9606,-391.9606,ruin
5V2_S02_failed_breakout_short,short,신규 숏: 상방 돌파 실패 후 재하락,597,178942,62593,116349,34.9795,-100.0,1.493,100.0,0.0,391.9606,-391.9606,ruin
5V2_S03_range_break_pressure,short,신규 숏: 압축 후 하단 이탈 + 추세 압력,597,161099,49893,111206,30.9704,-100.0,0.0,100.0,0.0,391.9606,-391.9606,ruin
