events,reason,symbol,usable_bars
149,,0G,31513
220,,1000000BOB,61554
418,,1000000MOG,122002
744,,1000BONK,223100
423,,1000CAT,126900
456,,1000CHEEMS,116825
1002,,1000FLOKI,280690
1399,,1000LUNC,351294
1041,,1000PEPE,280980
792,,1000RATS,216472
630,,1000SATS,217336
1921,,1000SHIB,491509
312,,1000WHY,116828
1764,,1000XEC,454233
329,,1000X,120274
1544,,1INCH,530780
398,,1MBABYDOGE,136994
112,,2Z,27232
83,,42,15431
122,,4,25515
189,,A2Z,45718
1701,,AAVE,550980
672,,ACE,215655
946,,ACH,303462
393,,ACT,120852
316,,ACX,113618
2032,,ADA,625586
287,,AERGO,75929
342,,AERO,114203
444,,AEVO,190837
489,,AGIX,143001
748,,AGLD,256660
261,,AGT,66139
196,,AI16Z,105853
94,,AIA,22991
204,,AIN,51447
339,,AIOT,71876
163,,AIO,41645
336,,AIXBT,109541
610,,AI,209576
123,,AKE,28960
374,,AKT,118844
436,,ALCH,104437
1453,,ALGO,586109
1395,,ALICE,507530
52,,ALLO,15432
85,,ALL,43685
224,,ALPACA,72774
1541,,ALPHA,540034
343,,ALPINE,70182
606,,ALT,204661
683,,AMB,291406
274,,ANIME,99764
1763,,ANKR,521598
1115,,APE,401961
1432,,API3,408724
75,,APR,21207
999,,APT,339905
843,,ARB,293389
283,,ARC,101540
146,,ARIA,35601
817,,ARKM,256947
930,,ARK,241537
1780,,ARPA,445015
1377,,AR,451064
385,,ASR,70185
83,,ASTER,30982
826,,ASTR,305912
1208,,ATA,459130
311,,ATH,79904
1667,,ATOM,623516
57,,AT,15432
661,,AUCTION,216484
342,,AVAAI,101537
1779,,AVAX,557607
263,,AVA,111624
123,,AVNT,33826
320,,AWE,65882
571,,AXL,194271
2089,,AXS,540898
165,,A,63865
333,,B2,70137
364,,B3,93781
207,,BABY,79067
459,,BADGER,150798
1420,,BAKE,460751
1159,,BAL,563948
369,,BANANAS31,83151
526,,BANANA,146331
1796,,BAND,573744
384,,BANK,75261
