avg_trade_net_return_pct,bankrupt,cd_value,cooldown_bars,entries,exits,final_equity,final_return_pct,flats,gap_min,horizon,leveraged_final_equity_at_optimal,leveraged_mdd_pct_at_optimal,leveraged_peak_equity_at_optimal,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,max_leveraged_cd_value,min_equity,mtm_mode,optimal_leverage,peak_equity,period,profit_factor_contribution,return_over_mdd,scenario,selected_after_cap,spec,win_rate_pct,wins,z_threshold
-0.05879377464510085,False,37.39932381486128,144,99297,99297,48.10065609902802,-51.89934390097197,0,1.0,144,48.10065609902802,-63.98909420242737,103.85554871930557,45471,50,50,-63.98909420242737,50.0,37.39932381486128,37.39932381486128,bar_close_mtm,0.0,103.85554871930557,BASE,0.9562430676304668,-0.8110654565102942,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,99297,btc_rb_z4_gap1_cd144_h144_k1_short,54.207075742469556,53826,4.0
-0.0793239613185305,False,40.700105750721704,144,91512,91512,42.544762412343545,-57.45523758765645,0,1.0,144,42.544762412343545,-60.81085098233561,103.85554871930557,42312,50,50,-60.81085098233561,50.0,40.700105750721704,40.7001057507217,bar_close_mtm,0.0,103.85554871930557,EX_2025Q4,0.9477485814898005,-0.9448188384067524,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,91512,btc_rb_z4_gap1_cd144_h144_k1_short,53.76344086021505,49200,4.0
-0.07923641880574353,False,41.37191906102694,144,90469,90469,42.95729409462271,-57.04270590537729,0,1.0,144,42.95729409462271,-60.163978168519016,103.85554871930557,41837,50,50,-60.163978168519016,50.0,41.37191906102694,41.371919061026944,bar_close_mtm,0.0,103.85554871930557,PRE_2025Q4,0.9477482766192511,-0.9481205804842383,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,90469,btc_rb_z4_gap1_cd144_h144_k1_short,53.75543003680819,48632,4.0
0.18117913166411187,False,95.25180526796895,144,7791,7791,112.93902696771237,12.939026967712364,0,1.0,144,112.93902696771237,-19.281977496019508,118.00562292426298,3164,50,50,-19.281977496019508,50.0,95.25180526796895,87.25753766921339,bar_close_mtm,0.0,118.00562292426298,ONLY_2025Q4,1.064789095464927,0.6710425302790362,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,7791,btc_rb_z4_gap1_cd144_h144_k1_short,59.38903863432166,4627,4.0
-0.08691733005230241,False,94.74550622548767,144,1043,1043,99.03967023302125,-0.9603297669787403,0,1.0,144,99.03967023302125,-5.721886302071832,100.49575931170733,475,50,50,-5.721886302071832,50.0,94.74550622548767,94.74550622548767,bar_close_mtm,0.0,100.49575931170733,2026_ENTRY_ONLY,0.9477907031534206,-0.16783447210948868,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,1043,btc_rb_z4_gap1_cd144_h144_k1_short,54.45829338446788,568,4.0
-0.05525574964538027,False,36.64563155361299,144,101199,101199,48.80575375138908,-51.19424624861093,0,1.0,144,48.80575375138908,-64.7148062809272,103.85554871930557,46269,0,77,-64.7148062809272,77.0,36.64563155361299,36.64563155361299,bar_close_mtm,0.0,103.85554871930557,BASE,0.9573460713366726,-0.7910747043941772,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,101199,btc_rb_z4_gap1_cd144_h144_k1_short,54.27919248213915,54930,4.0
-0.08465372488090404,False,38.32789053896469,144,92461,92461,40.06428160115038,-59.93571839884962,0,1.0,144,40.06428160115038,-63.09499972644219,103.85554871930557,42767,0,72,-63.09499972644219,72.0,38.32789053896469,38.32789053896469,bar_close_mtm,0.0,103.85554871930557,EX_2025Q4,0.9456985427523302,-0.9499281822443917,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,92461,btc_rb_z4_gap1_cd144_h144_k1_short,53.74590367830761,49694,4.0
-0.0832035046714194,False,39.300953048015025,144,91248,91248,41.0441301499759,-58.9558698500241,0,1.0,144,41.0441301499759,-62.15806133359785,103.85554871930557,42208,0,70,-62.15806133359785,70.0,39.300953048015025,39.30095304801502,bar_close_mtm,0.0,103.85554871930557,PRE_2025Q4,0.9461383225581886,-0.9484830862663522,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,91248,btc_rb_z4_gap1_cd144_h144_k1_short,53.74364369630019,49040,4.0
0.255818430745071,False,101.4548610717791,144,8738,8738,121.81874318308552,21.81874318308552,0,1.0,144,113.8591487062688,-12.722219232771195,117.06407807939496,3502,0,76,-20.02885170235521,76.0,102.17092942331189,89.27636138626764,bar_close_mtm,0.6351946393050171,126.86432948814745,ONLY_2025Q4,1.0948326479837085,1.0893656564704521,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,8738,btc_rb_z4_gap1_cd144_h144_k1_short,59.92217898832685,5236,4.0
-0.19374662980675245,False,93.3821484312468,144,1213,1213,97.61269505470042,-2.387304945299573,0,1.0,144,97.61269505470042,-7.078518466034245,100.49575931170733,559,0,72,-7.078518466034245,72.0,93.3821484312468,93.3821484312468,bar_close_mtm,0.0,100.49575931170733,2026_ENTRY_ONLY,0.8932599785626457,-0.3372605378872545,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,1213,btc_rb_z4_gap1_cd144_h144_k1_short,53.915910964550704,654,4.0
